,Source,Target,Interaction
645,KAG9280587.1,KAG9266214.1,?
646,KAG9280587.1,KAG9267809.1,?
647,KAG9280587.1,KAG9280587.1,?
649,KAG9280587.1,KAG9276696.1,?
650,KAG9280587.1,KAG9278225.1,?
665,KAG9280587.1,KAG9269430.1,?
672,KAG9280587.1,KAG9260811.1,?
696,KAG9280587.1,KAG9262676.1,?
698,KAG9280587.1,KAG9280924.1,?
709,KAG9280587.1,KAG9269981.1,?
714,KAG9280587.1,KAG9275167.1,?
732,KAG9280587.1,KAG9269106.1,?
749,KAG9280587.1,KAG9273703.1,?
750,KAG9280587.1,KAG9270081.1,?
756,KAG9280587.1,KAG9270846.1,?
757,KAG9280587.1,KAG9265586.1,?
758,KAG9280587.1,KAG9283039.1,?
760,KAG9280587.1,KAG9279307.1,?
763,KAG9280587.1,KAG9272399.1,?
767,KAG9280587.1,KAG9268869.1,?
769,KAG9280587.1,KAG9278789.1,?
772,KAG9280587.1,KAG9264637.1,?
776,KAG9280587.1,KAG9269236.1,?
779,KAG9280587.1,KAG9262223.1,?
780,KAG9280587.1,KAG9283913.1,?
784,KAG9280587.1,KAG9262164.1,?
786,KAG9280587.1,KAG9260890.1,?
792,KAG9280587.1,KAG9264767.1,?
795,KAG9280587.1,KAG9265745.1,?
797,KAG9280587.1,KAG9279527.1,?
800,KAG9280587.1,KAG9263256.1,?
801,KAG9280587.1,KAG9262480.1,?
802,KAG9280587.1,KAG9273628.1,?
803,KAG9280587.1,KAG9281210.1,?
807,KAG9280587.1,KAG9283392.1,?
808,KAG9280587.1,KAG9266359.1,?
810,KAG9280587.1,KAG9266498.1,?
813,KAG9280587.1,KAG9274186.1,?
815,KAG9280587.1,KAG9269438.1,?
818,KAG9280587.1,KAG9268193.1,?
819,KAG9280587.1,KAG9280857.1,?
821,KAG9280587.1,KAG9278460.1,?
822,KAG9280587.1,KAG9281238.1,?
823,KAG9280587.1,KAG9264331.1,?
828,KAG9280587.1,KAG9272642.1,?
829,KAG9280587.1,KAG9277474.1,?
830,KAG9280587.1,KAG9264340.1,?
833,KAG9280587.1,KAG9267411.1,?
834,KAG9280587.1,KAG9281728.1,?
835,KAG9280587.1,KAG9259538.1,?
839,KAG9280587.1,KAG9267552.1,?
841,KAG9280587.1,KAG9262444.1,?
844,KAG9280587.1,KAG9280861.1,?
845,KAG9280587.1,KAG9278754.1,?
847,KAG9280587.1,KAG9263993.1,?
848,KAG9280587.1,KAG9268614.1,?
849,KAG9280587.1,KAG9283292.1,?
854,KAG9280587.1,KAG9282801.1,?
855,KAG9280587.1,KAG9274094.1,?
856,KAG9280587.1,KAG9266005.1,?
860,KAG9280587.1,KAG9264742.1,?
861,KAG9280587.1,KAG9268563.1,?
862,KAG9280587.1,KAG9263653.1,?
864,KAG9280587.1,KAG9273012.1,?
869,KAG9280587.1,KAG9269993.1,?
870,KAG9280587.1,KAG9264885.1,?
873,KAG9280587.1,KAG9266478.1,?
880,KAG9280587.1,KAG9279066.1,?
881,KAG9280587.1,KAG9273357.1,?
887,KAG9280587.1,KAG9274020.1,?
891,KAG9280587.1,KAG9268455.1,?
899,KAG9280587.1,KAG9265201.1,?
902,KAG9280587.1,KAG9265382.1,?
903,KAG9280587.1,KAG9282508.1,?
904,KAG9280587.1,KAG9280192.1,?
911,KAG9280587.1,KAG9274001.1,?
912,KAG9280587.1,KAG9276144.1,?
913,KAG9280587.1,KAG9260724.1,?
914,KAG9280587.1,KAG9260463.1,?
917,KAG9280587.1,KAG9283022.1,?
921,KAG9280587.1,KAG9277062.1,?
922,KAG9280587.1,KAG9276592.1,?
924,KAG9280587.1,KAG9265262.1,?
926,KAG9280587.1,KAG9267162.1,?
928,KAG9280587.1,KAG9265638.1,?
930,KAG9280587.1,KAG9276673.1,?
932,KAG9280587.1,KAG9271924.1,?
933,KAG9280587.1,KAG9263825.1,?
1248,KAG9278819.1,KAG9266101.1,?
1265,KAG9264196.1,KAG9274238.1,?
1266,KAG9264196.1,KAG9264241.1,?
1273,KAG9264196.1,KAG9265699.1,?
1274,KAG9264196.1,KAG9262455.1,?
1275,KAG9264196.1,KAG9260309.1,?
1276,KAG9264196.1,KAG9260891.1,?
1277,KAG9264196.1,KAG9273335.1,?
1278,KAG9264196.1,KAG9272551.1,?
3658,KAG9267165.1,KAG9276187.1,?
3717,KAG9267165.1,KAG9280036.1,?
3718,KAG9267165.1,KAG9273354.1,?
3719,KAG9267165.1,KAG9281498.1,?
3723,KAG9267165.1,KAG9265728.1,?
3729,KAG9267165.1,KAG9273628.1,?
3730,KAG9267165.1,KAG9275507.1,?
3742,KAG9267165.1,KAG9263982.1,?
3743,KAG9267165.1,KAG9275055.1,?
3745,KAG9267165.1,KAG9266569.1,?
3749,KAG9267165.1,KAG9278395.1,?
3751,KAG9267165.1,KAG9268881.1,?
3755,KAG9267165.1,KAG9279997.1,?
3756,KAG9267165.1,KAG9276673.1,?
