,Source,Target,Interaction
0,KAG9281985.1,KAG9264203.1,-
1,KAG9281985.1,KAG9260832.1,?
3,KAG9281985.1,KAG9273957.1,+
5,KAG9281890.1,KAG9264203.1,+
6,KAG9281890.1,KAG9283483.1,-
7,KAG9281890.1,KAG9277742.1,-
8,KAG9281890.1,KAG9271954.1,+
9,KAG9281890.1,KAG9260832.1,+
12,KAG9281890.1,KAG9282496.1,+
13,KAG9281890.1,KAG9282715.1,+
14,KAG9281890.1,KAG9282715.1,-
15,KAG9281890.1,KAG9270022.1,+
20,KAG9261101.1,KAG9275618.1,?
21,KAG9261101.1,KAG9278757.1,+
22,KAG9261101.1,KAG9276351.1,?
24,KAG9261101.1,KAG9263511.1,-
25,KAG9261101.1,KAG9267104.1,?
26,KAG9261101.1,KAG9266044.1,+
27,KAG9261101.1,KAG9273424.1,+
28,KAG9261101.1,KAG9273424.1,-
29,KAG9261101.1,KAG9273424.1,?
31,KAG9261101.1,KAG9275526.1,+
32,KAG9261101.1,KAG9275526.1,?
34,KAG9261101.1,KAG9282293.1,?
36,KAG9261101.1,KAG9262952.1,?
39,KAG9261101.1,KAG9279747.1,?
41,KAG9261101.1,KAG9273957.1,?
42,KAG9261101.1,KAG9263395.1,+
43,KAG9261101.1,KAG9263701.1,+
44,KAG9261101.1,KAG9271745.1,+
46,KAG9275732.1,KAG9261101.1,+
47,KAG9275732.1,KAG9268337.1,-
48,KAG9275732.1,KAG9275553.1,-
49,KAG9275732.1,KAG9272858.1,-
51,KAG9264757.1,KAG9271466.1,?
53,KAG9263534.1,KAG9273375.1,-
54,KAG9263037.1,KAG9268166.1,-
56,KAG9263037.1,KAG9267915.1,?
57,KAG9263037.1,KAG9278789.1,?
58,KAG9263037.1,KAG9278979.1,-
59,KAG9263037.1,KAG9263782.1,?
60,KAG9263037.1,KAG9266142.1,?
61,KAG9263037.1,KAG9273957.1,-
62,KAG9263037.1,KAG9264903.1,+
63,KAG9263037.1,KAG9268815.1,-
64,KAG9263037.1,KAG9282614.1,-
65,KAG9263037.1,KAG9282614.1,?
66,KAG9263037.1,KAG9269795.1,-
76,KAG9271938.1,KAG9268166.1,+
77,KAG9271938.1,KAG9268166.1,-
78,KAG9271938.1,KAG9266523.1,?
79,KAG9271938.1,KAG9267570.1,+
80,KAG9271938.1,KAG9274930.1,+
81,KAG9271938.1,KAG9283645.1,?
82,KAG9271938.1,KAG9266658.1,?
83,KAG9271938.1,KAG9280684.1,-
85,KAG9271938.1,KAG9270051.1,+
86,KAG9271938.1,KAG9266670.1,+
87,KAG9271938.1,KAG9266670.1,?
89,KAG9271938.1,KAG9261214.1,?
90,KAG9271938.1,KAG9274619.1,+
92,KAG9271938.1,KAG9279787.1,?
93,KAG9271938.1,KAG9260832.1,+
94,KAG9271938.1,KAG9260832.1,-
96,KAG9271938.1,KAG9278249.1,-
98,KAG9271938.1,KAG9283750.1,?
99,KAG9271938.1,KAG9263822.1,+
100,KAG9271938.1,KAG9278243.1,-
101,KAG9271938.1,KAG9275830.1,+
102,KAG9271938.1,KAG9260271.1,?
103,KAG9271938.1,KAG9267782.1,+
104,KAG9271938.1,KAG9267287.1,+
105,KAG9271938.1,KAG9267287.1,?
106,KAG9271938.1,KAG9277050.1,+
107,KAG9271938.1,KAG9264961.1,+
108,KAG9271938.1,KAG9272976.1,?
109,KAG9271938.1,KAG9262232.1,?
110,KAG9271938.1,KAG9265282.1,?
111,KAG9271938.1,KAG9268649.1,?
112,KAG9271938.1,KAG9268874.1,?
