,Source,Target,Interaction
1,KAG9281985.1,KAG9264203.1,?
3,KAG9281985.1,KAG9260731.1,?
4,KAG9281985.1,KAG9262540.1,+
5,KAG9281985.1,KAG9281523.1,+
6,KAG9281890.1,KAG9281523.1,?
7,KAG9281890.1,KAG9270332.1,?
8,KAG9280549.1,KAG9279605.1,?
9,KAG9280549.1,KAG9275789.1,?
11,KAG9261101.1,KAG9277872.1,?
12,KAG9261101.1,KAG9280671.1,?
13,KAG9261101.1,KAG9273473.1,+
14,KAG9261101.1,KAG9273425.1,+
15,KAG9261101.1,KAG9273425.1,?
17,KAG9261101.1,KAG9275526.1,?
18,KAG9261101.1,KAG9268364.1,?
19,KAG9261101.1,KAG9282541.1,-
24,KAG9261101.1,KAG9275034.1,?
26,KAG9261101.1,KAG9267072.1,+
27,KAG9261101.1,KAG9267072.1,?
28,KAG9261101.1,KAG9282615.1,+
29,KAG9261101.1,KAG9282614.1,+
31,KAG9261101.1,KAG9276472.1,?
32,KAG9261101.1,KAG9274792.1,?
33,KAG9261101.1,KAG9275789.1,+
35,KAG9261101.1,KAG9276798.1,+
36,KAG9264757.1,KAG9268738.1,?
38,KAG9267165.1,KAG9265518.1,+
39,KAG9268373.1,KAG9281670.1,-
41,KAG9263534.1,KAG9260454.1,-
42,KAG9263534.1,KAG9261813.1,?
43,KAG9263037.1,KAG9263822.1,?
44,KAG9263037.1,KAG9273957.1,-
46,KAG9263037.1,KAG9266117.1,+
47,KAG9263037.1,KAG9281523.1,-
71,KAG9266755.1,KAG9269078.1,?
74,KAG9267610.1,KAG9264569.1,?
75,KAG9269870.1,KAG9283031.1,-
76,KAG9269870.1,KAG9283919.1,+
77,KAG9276351.1,KAG9268772.1,?
78,KAG9276351.1,KAG9273425.1,+
80,KAG9276351.1,KAG9275526.1,?
81,KAG9276351.1,KAG9268364.1,?
82,KAG9276351.1,KAG9276472.1,?
83,KAG9276351.1,KAG9281130.1,-
99,KAG9283403.1,KAG9270354.1,?
100,KAG9283403.1,KAG9278398.1,+
102,KAG9280174.1,KAG9277502.1,+
103,KAG9280174.1,KAG9265143.1,?
104,KAG9280174.1,KAG9282989.1,+
105,KAG9280174.1,KAG9260220.1,?
106,KAG9280174.1,KAG9282764.1,+
107,KAG9280174.1,KAG9265306.1,+
108,KAG9280174.1,KAG9261048.1,+
109,KAG9280174.1,KAG9259371.1,+
110,KAG9279390.1,KAG9278551.1,?
114,KAG9277196.1,KAG9281622.1,+
115,KAG9277196.1,KAG9279963.1,?
116,KAG9277196.1,KAG9268175.1,?
117,KAG9271470.1,KAG9267104.1,+
118,KAG9271470.1,KAG9260932.1,+
119,KAG9271470.1,KAG9267881.1,+
120,KAG9271470.1,KAG9267102.1,+
121,KAG9271470.1,KAG9282293.1,+
122,KAG9271470.1,KAG9277227.1,+
124,KAG9271470.1,KAG9282128.1,+
125,KAG9271470.1,KAG9282128.1,?
126,KAG9271470.1,KAG9274369.1,?
127,KAG9271470.1,KAG9260361.1,+
128,KAG9271470.1,KAG9259909.1,+
129,KAG9271470.1,KAG9268810.1,+
131,KAG9271470.1,KAG9264569.1,?
132,KAG9271470.1,KAG9264931.1,?
134,KAG9282578.1,KAG9282578.1,-
135,KAG9282578.1,KAG9267104.1,+
136,KAG9282578.1,KAG9270492.1,?
