Source,Target,Interaction
AATF,CDKN1A,?
AATF,MYCB,+
AATF,TP53,?
ABL1,BCL2,-
ABL1,BCL6,-
ABL1,CCND2,+
ABL1,CDKN1A,+
ABL1,JUN,+
ABL1,PIM1,+
ABL1,TP53,+
AHR,ABCG2,?
AHR,AHRR,+
AHR,CA9,-
AHR,CCND1,?
AHR,CCNG2,+
AHR,CYP1B1,+
AHR,FOS,?
AHR,IL1B,?
AHR,MFSD2AB,?
AHR,MYCB,?
AHR,PCNA,+
AHR,UGT1A5,+
AIP,AHR,+
AIP,GREB1,-
AIP,NFKB2,-
AIRE,BMP2,?
AIRE,CHRNA1,?
ANKRD1,MYL2,-
APBB1,GMPS,-
APBB1,KAG9261813.1,?
APBB1,LRP1,-
APC,AKT1,-
APC,DNMT1,-
APC,F8,?
APC,KLF4,?
APC,MYCB,-
APC,NOS2,+
APC,ODC1,-
APC,PTGS2,-
APC,SGK1,-
ARID1B,CDKN1A,?
ARID1B,KAG9260855.1,?
ARID3A,CDK1,?
ARID3A,CSMD3,?
ARID3A,KAG9266670.1,?
ARL6IP5,PARP1,-
ARL6IP5,XRCC1,+
ARNT,BCR,?
ARNT,ADAM10,?
ARNT,ADD1,?
ARNT,ARID1B,?
ARNT,ASH2L,?
ARNT,ASNA1,?
ARNT,BPTF,?
ARNT,BRD2,?
ARNT,CAMTA2,?
ARNT,CLASP1B,?
ARNT,CSNK1A1,?
ARNT,CTNNB1,?
ARNT,DYNC1I2A,?
ARNT,EIF4G2,?
ARNT,ETS2,?
ARNT,EXT1B,?
ARNT,FBXL14,?
ARNT,FNBP1,?
ARNT,FYNA,?
ARNT,FSCN1,?
ARNT,FXR1,?
ARNT,FZD5,?
ARNT,GALNT1,?
ARNT,GRB2,?
ARNT,GRK6,?
ARNT,GSK3B,?
ARNT,HS6ST3B,?
ARNT,KAG9260001.1,?
ARNT,KAG9260673.1,?
ARNT,KAG9263052.1,?
ARNT,KAG9271284.1,?
ARNT,KAG9277335.1,?
ARNT,KAG9280552.1,?
ARNT,KAG9280779.1,?
ARNT,KALRN,?
ARNT,KIF2A,?
ARNT,KIF5B,?
ARNT,LIMK1,?
ARNT,LIMS1,?
ARNT,LRP1,?
ARNT,MARK1,?
ARNT,MED13,?
ARNT,MPDU1,?
ARNT,MTA3,?
ARNT,MYO18A,?
ARNT,NEBL,?
ARNT,PAPOLG,?
ARNT,PGK1,?
ARNT,PKN2,?
ARNT,PPFIA2,?
ARNT,PPP2R2A,?
ARNT,PPP2R5B,?
ARNT,PPP3CC,?
ARNT,PPP4R3B,?
ARNT,PRKACA,?
ARNT,PTPN11,?
ARNT,PTPN2,?
ARNT,PTPRD,?
ARNT,QKI-B,?
ARNT,RAB8B,?
ARNT,RBM26,?
ARNT,SCAMP1,?
ARNT,SIN3A,?
ARNT,SLK,?
ARNT,SMARCC1,?
ARNT,SSBP2,?
ARNT,STRN3,?
ARNT,SUZ12A,?
ARNT,TENM4,?
ARNT,TIAL1,?
ARNT,TLE3B,?
ARNT,TRIM33,?
ARNT,UGDH,?
ARNT,USP7,?
ARNT,USP9X,?
ARNT,ZRANB1,?
ARNTL,RPL13A,?
ARNTL,RPS5,?
ARNTL,SLC7A5,?
ARNTL,U2AF2,?
ARX,KDM5C,?
ARX,LMO1,?
ARX,PAX4,?
ARX,IHHB,+
ARX,SHHA,+
ARX,SHOX,?
ASH1L,TGFB1,?
ATF2,ATF3,+
ATF2,CCND1,+
ATF2,CDKN1A,?
ATF2,CYP11B,?
ATF2,DUSP1,?
ATF2,DUSP10,?
ATF2,FASLG,?
ATF2,INS,+
ATF2,ITGB8,?
ATF2,JUN,+
ATF2,KAG9259909.1,+
ATF2,KAT5,-
ATF2,MAP3K1,?
ATF2,MMP2,+
ATF2,PCK1,+
ATF2,PLAU,?
ATF2,POLB,+
ATF2,PTGS2,?
ATF2,TGFB2,-
ATF2,TNF,+
ATF3,ADIPOR1,-
ATF3,ADIPOR2,-
ATF3,AK4,?
ATF3,ASNS,+
ATF3,ATF3,-
ATF3,CCND1,+
ATF3,CD82,?
ATF3,GCK,?
ATF3,ID1,-
ATF3,LDLR,-
ATF3,MMP2,-
ATF3,PDX1,-
ATF3,PENK,?
ATF3,SORT1,-
ATF3,TP53,?
ATF4,ASNS,+
ATF4,ATF3,+
ATF4,ATG5,+
ATF4,BGLAP,?
ATF4,CA9,?
ATF4,CCL11,?
ATF4,CHAC1,+
ATF4,CXCL8,?
ATF4,DDIT4,+
ATF4,DDR2,+
ATF4,F7,?
ATF4,FGF19,+
ATF4,HSPA5,-
