,Source_ortolog,Target_ortolog,Interaction,ID_source,ID_target,Grupo_interaccion
0,ETV6,SPTAN1,?,33,26,33-26
1,ETV6,ETV6,?,33,33,33-33
2,ETV6,TGFBR1,?,33,65,33-65
3,ETV6,ACVR1B,?,33,65,33-65
4,ETV6,KAG9278225.1,?,33,68,33-68
5,ETV6,TUBB4B,?,33,78,33-78
6,ETV6,TUBB3,?,33,78,33-78
7,ETV6,TUBB2A,?,33,78,33-78
8,ETV6,TUBB6,?,33,78,33-78
9,ETV6,CAMTA2,?,33,125,33-125
10,ETV6,APIP,?,33,172,33-172
11,ETV6,UBE2Q2,?,33,297,33-297
12,ETV6,UBE2Q2,?,33,297,33-297
13,ETV6,BICDL1,?,33,334,33-334
14,ETV6,ATP10D,?,33,353,33-353
15,ETV6,ATP10A,?,33,353,33-353
16,ETV6,PPM1L,?,33,494,33-494
17,ETV6,PPM1L,?,33,494,33-494
18,ETV6,FNBP1,?,33,591,33-591
19,ETV6,FNBP1L,?,33,591,33-591
20,ETV6,MYO7A,?,33,593,33-593
21,ETV6,MYO7A,?,33,593,33-593
22,ETV6,EPB41,?,33,610,33-610
23,ETV6,CSK,?,33,619,33-619
24,ETV6,CSK,?,33,619,33-619
25,ETV6,DAAM2,?,33,651,33-651
26,ETV6,DAAM1,?,33,651,33-651
27,ETV6,DAAM1,?,33,651,33-651
28,ETV6,KAG9277335.1,?,33,683,33-683
29,ETV6,KAG9278789.1,?,33,683,33-683
30,ETV6,DCHS1,?,33,703,33-703
31,ETV6,DMD,?,33,708,33-708
32,ETV6,UTRN,?,33,708,33-708
33,ETV6,ERBB4,?,33,724,33-724
34,ETV6,ERBB4,?,33,724,33-724
35,ETV6,EGFR,?,33,724,33-724
36,ETV6,EGFR,?,33,724,33-724
37,ETV6,CDK14,?,33,726,33-726
38,ETV6,NCAM2,?,33,747,33-747
39,ETV6,NCAM1,?,33,747,33-747
40,ETV6,NCAM1,?,33,747,33-747
41,ETV6,FHOD3,?,33,759,33-759
42,ETV6,CSNK1G2,?,33,811,33-811
43,ETV6,CSNK1G1,?,33,811,33-811
44,ETV6,CSNK1G2,?,33,811,33-811
45,ETV6,CSNK1G1,?,33,811,33-811
46,ETV6,PYGM,?,33,815,33-815
47,ETV6,PYGB,?,33,815,33-815
48,ETV6,PYGM,?,33,815,33-815
49,ETV6,PYGL,?,33,815,33-815
50,ETV6,PTBP3,?,33,844,33-844
51,ETV6,PTBP2,?,33,844,33-844
52,ETV6,PTBP1,?,33,844,33-844
53,ETV6,PTBP2,?,33,844,33-844
54,ETV6,IHHB,?,33,850,33-850
55,ETV6,SHHA,?,33,850,33-850
56,ETV6,KY,?,33,851,33-851
57,ETV6,ADD1,?,33,879,33-879
58,ETV6,DAGLA,?,33,889,33-889
59,ETV6,KIRREL3,?,33,919,33-919
60,ETV6,KIRREL3,?,33,919,33-919
61,ETV6,KIRREL1,?,33,919,33-919
62,ETV6,KIF1C,?,33,925,33-925
63,ETV6,SPTBN5,?,33,934,33-934
64,ETV6,ADAM10,?,33,937,33-937
65,ETV6,ADAM10,?,33,937,33-937
66,ETV6,NEBL,?,33,961,33-961
67,ETV6,RGS12,?,33,978,33-978
68,ETV6,MBNL2A,?,33,999,33-999
69,ETV6,MBNL3,?,33,999,33-999
70,ETV6,MBNL1,?,33,999,33-999
71,ETV6,MCM5,?,33,1001,33-1001
72,ETV6,MMP25,?,33,1042,33-1042
73,ETV6,UAP1,?,33,1043,33-1043
74,ETV6,UAP1L1,?,33,1043,33-1043
75,ETV6,NEURL1,?,33,1117,33-1117
76,ETV6,NRCAM,?,33,1145,33-1145
77,ETV6,CNTNAP2,?,33,1150,33-1150
78,ETV6,KAG9268614.1,?,33,1157,33-1157
79,ETV6,SLCO5A1,?,33,1169,33-1169
80,ETV6,SLCO5A1,?,33,1169,33-1169
81,ETV6,MARK1,?,33,1195,33-1195
82,ETV6,MARK1,?,33,1195,33-1195
83,ETV6,MARK3,?,33,1195,33-1195
84,ETV6,PDE11A,?,33,1207,33-1207
85,ETV6,PDE5A,?,33,1207,33-1207
86,ETV6,PDE11A,?,33,1207,33-1207
87,ETV6,PKN2,?,33,1244,33-1244
88,ETV6,PKN2,?,33,1244,33-1244
89,ETV6,KAG9268563.1,?,33,1249,33-1249
90,ETV6,ETS2,?,33,1253,33-1253
91,ETV6,ETS1,?,33,1253,33-1253
92,ETV6,SPOP,?,33,1333,33-1333
93,ETV6,SPOPLB,?,33,1333,33-1333
94,ETV6,SPOPLA,?,33,1333,33-1333
95,ETV6,TANC2,?,33,1364,33-1364
96,ETV6,TANC1,?,33,1364,33-1364
97,ETV6,TANC1,?,33,1364,33-1364
98,ETV6,TANC2,?,33,1364,33-1364
99,ETV6,KIRREL3,?,33,1405,33-1405
100,ETV6,KIRREL3,?,33,1405,33-1405
101,ETV6,MED13,?,33,1467,33-1467
102,ETV6,MED13B,?,33,1467,33-1467
103,ETV6,KLHDC10,?,33,1475,33-1475
104,ETV6,FYNA,?,33,1513,33-1513
105,ETV6,SRC,?,33,1513,33-1513
106,ETV6,YES1,?,33,1513,33-1513
107,ETV6,FRK,?,33,1513,33-1513
108,ETV6,ALDH5A1,?,33,1518,33-1518
109,ETV6,CELSR2,?,33,1523,33-1523
110,ETV6,CELSR1,?,33,1523,33-1523
111,ETV6,CELSR1,?,33,1523,33-1523
112,ETV6,SULF2,?,33,1537,33-1537
113,ETV6,SULF2,?,33,1537,33-1537
114,ETV6,SLC35F6,?,33,1563,33-1563
115,ETV6,LHFPL3,?,33,1586,33-1586
116,ETV6,LHFPL4,?,33,1586,33-1586
117,ETV6,TMOD4,?,33,1587,33-1587
118,ETV6,TRAF4,?,33,1603,33-1603
119,ETV6,CD82,?,33,1623,33-1623
120,ETV6,TSPAN18,?,33,1623,33-1623
121,ETV6,KAG9265403.1,?,33,1630,33-1630
122,ETV6,KAG9265638.1,?,33,1630,33-1630
123,ETV6,MPP2,?,33,1661,33-1661
124,ETV6,MPP6,?,33,1661,33-1661
125,ETV6,MPP6,?,33,1661,33-1661
126,ETV6,TRIM71,?,33,1695,33-1695
127,LHX6,PAX7,?,62,830,62-830
128,LHX6,PAX7,?,62,830,62-830
129,LHX8,PAX7,?,62,830,62-830
130,LHX8,PAX7,?,62,830,62-830
131,LHX6,LHX1A,?,62,969,62-969
132,LHX6,LHX5,?,62,969,62-969
133,LHX8,LHX1A,?,62,969,62-969
134,LHX8,LHX5,?,62,969,62-969
135,MLX,GABARAP,?,84,55,84-55
136,MLX,GABARAP,?,84,55,84-55
137,MLX,ACLY,?,84,60,84-60
138,MLX,ACLY,?,84,60,84-60
139,MLX,CLCN5,?,84,602,84-602
140,MLX,CLCN4,?,84,602,84-602
141,MLX,CLCN5,?,84,602,84-602
142,MLX,CLCN3,?,84,602,84-602
143,MLX,CHD5,?,84,1030,84-1030
144,MLX,CHD3,?,84,1030,84-1030
145,MLX,CHD4,?,84,1030,84-1030
146,MLX,SLC9A5,?,84,1120,84-1120
147,MLX,RNF7,?,84,1362,84-1362
148,MLX,STX5,?,84,1553,84-1553
149,SHOX,SGSM1,?,370,265,370-265
150,SHOX,SGSM1,?,370,265,370-265
151,SHOX,SGSM2,?,370,265,370-265
152,SHOX2,SGSM1,?,370,265,370-265
153,SHOX2,SGSM1,?,370,265,370-265
154,SHOX2,SGSM2,?,370,265,370-265
155,SHOX,RASD1,?,370,539,370-539
156,SHOX,RASD1,?,370,539,370-539
157,SHOX2,RASD1,?,370,539,370-539
158,SHOX2,RASD1,?,370,539,370-539
159,SHOX,B3GLCT,?,370,554,370-554
160,SHOX2,B3GLCT,?,370,554,370-554
161,SHOX,CRHR1,?,370,670,370-670
162,SHOX,CRHR2,?,370,670,370-670
163,SHOX,CRHR1,?,370,670,370-670
164,SHOX2,CRHR1,?,370,670,370-670
165,SHOX2,CRHR2,?,370,670,370-670
166,SHOX2,CRHR1,?,370,670,370-670
