,Source_ortolog,Target_ortolog,Interaction,ID_source,ID_target,Grupo_interaccion
0,AATF,CDKN1A,?,2,262,2-262
1,AATF,CDKN1B,?,2,262,2-262
2,AATF,MYCB,+,2,1007,2-1007
3,AATF,MYC,+,2,1007,2-1007
4,AATF,TP53,?,2,1621,2-1621
5,ABL1,BCL2,-,16,147,16-147
6,ABL1,BCL2,-,16,147,16-147
7,ABL1,BCL6,-,16,149,16-149
8,ABL1,CCND2,+,16,222,16-222
9,ABL1,CDKN1A,+,16,262,16-262
10,ABL1,CDKN1B,+,16,262,16-262
11,ABL1,JUN,+,16,820,16-820
12,ABL1,JUN,-,16,820,16-820
13,ABL1,PIM1,+,16,1186,16-1186
14,ABL1,TP53,+,16,1621,16-1621
15,AHR,ABCG2,?,56,13,56-13
16,AHR,ABCG2,?,56,13,56-13
17,AHR,AHRR,+,56,57,56-57
18,AHR,CA9,-,56,187,56-187
19,AHR,CCND1,?,56,221,56-221
20,AHR,CCNG2,+,56,225,56-225
21,AHR,CYP1B1,+,56,367,56-367
22,AHR,CYP1B1,+,56,367,56-367
23,AHR,CYP1B1,?,56,367,56-367
24,AHR,CYP1B1,?,56,367,56-367
25,AHR,FOS,?,56,559,56-559
26,AHR,IL1B,?,56,774,56-774
27,AHR,IL1B,?,56,774,56-774
28,AHR,MFSD2AB,?,56,964,56-964
29,AHR,MFSD2AB,?,56,964,56-964
30,AHR,MYCB,?,56,1007,56-1007
31,AHR,MYC,?,56,1007,56-1007
32,AHR,PCNA,+,56,1139,56-1139
33,AHR,UGT1A5,+,56,1667,56-1667
34,AHR,UGT1A5,?,56,1668,56-1668
35,AIP,AHR,+,58,56,58-56
36,AIP,GREB1,-,58,641,58-641
37,AIP,NFKB2,-,58,1052,58-1052
38,AIRE,CHRNA1,?,59,288,59-288
39,AIRE,CHRNA1,?,59,288,59-288
40,APBB1,GMPS,-,86,634,86-634
41,APC,AKT1,-,87,63,87-63
42,APC,DNMT1,-,87,423,87-423
43,APC,F8,?,87,514,87-514
44,APC,KLF4,?,87,845,87-845
45,APC,MYCB,-,87,1007,87-1007
46,APC,MYC,-,87,1007,87-1007
47,APC,NOS2,+,87,1075,87-1075
48,APC,NOS2,+,87,1075,87-1075
49,APC,ODC1,-,87,1110,87-1110
50,APC,PTGS2,-,87,1279,87-1279
51,APC,PTGS2,?,87,1279,87-1279
52,APC,SGK1,-,87,1382,87-1382
53,ARID1A,CDKN1A,?,98,262,98-262
54,ARID1A,CDKN1B,?,98,262,98-262
55,ARID1A,CDKN1A,?,98,262,98-262
56,ARID1A,CDKN1B,?,98,262,98-262
57,ARID1A,KAG9260855.1,?,98,1440,98-1440
58,ARID1A,KAG9273192.1,?,98,1440,98-1440
59,ARID1A,KAG9260855.1,?,98,1440,98-1440
60,ARID1A,KAG9273192.1,?,98,1440,98-1440
61,ARID3A,KAG9266670.1,?,100,249,100-249
62,ARID3A,CDK1,?,100,256,100-256
63,ARID3A,CSMD3,?,100,319,100-319
64,ARX,KDM5C,?,103,835,103-835
65,ARX,LMO1,?,103,885,103-885
66,ARX,PAX4,?,103,1134,103-1134
67,ARX,SHOX2,?,103,1387,103-1387
68,KAG9280174.1,DKK1,-,106,407,106-407
69,KAG9280174.1,IGF2,-,106,762,106-762
70,KAG9280174.1,IGF2,-,106,762,106-762
71,KAG9280174.1,TPH,-,106,1628,106-1628
72,ASH1L,TGFB1,?,108,1576,108-1576
73,ASH1L,TGFB1,?,108,1576,108-1576
74,ATF2,ATF3,+,114,115,114-115
75,ATF2,CCND1,+,114,221,114-221
76,ATF2,CDKN1A,?,114,262,114-262
77,ATF2,CDKN1B,?,114,262,114-262
78,ATF2,CYP11B,?,114,364,114-364
79,ATF2,DUSP1,?,114,437,114-437
80,ATF2,DUSP10,?,114,438,114-438
81,ATF2,FASLG,?,114,524,114-524
82,ATF2,KAT5,-,114,825,114-825
83,ATF2,INS,+,114,786,114-786
84,ATF2,INS,?,114,786,114-786
85,ATF2,ITGB8,?,114,814,114-814
86,ATF2,JUN,+,114,820,114-820
87,ATF2,MAP3K1,?,114,925,114-925
88,ATF2,MMP2,+,114,981,114-981
89,ATF2,PCK1,+,114,1138,114-1138
90,ATF2,PLAU,?,114,1200,114-1200
91,ATF2,POLB,+,114,1216,114-1216
92,ATF2,PTGS2,?,114,1279,114-1279
93,ATF2,KAG9259909.1,+,114,1317,114-1317
94,ATF2,TGFB2,-,114,1577,114-1577
95,ATF2,TNF,+,114,1601,114-1601
96,ATF3,ADIPOR1,-,115,45,115-45
97,ATF3,ADIPOR1,-,115,45,115-45
98,ATF3,ADIPOR2,-,115,46,115-46
99,ATF3,AK4,?,115,60,115-60
100,ATF3,ASNS,+,115,109,115-109
101,ATF3,ASNS,+,115,109,115-109
102,ATF3,ASNS,?,115,109,115-109
103,ATF3,ASNS,?,115,109,115-109
104,ATF3,CD82,?,115,241,115-241
105,ATF3,CD82,?,115,241,115-241
106,ATF3,ID1,-,115,753,115-753
107,ATF3,LDLR,-,115,868,115-868
108,ATF3,MMP2,-,115,981,115-981
109,ATF3,PENK,?,115,1166,115-1166
110,ATF3,TP53,?,115,1621,115-1621
111,ATF4,ASNS,+,116,109,116-109
112,ATF4,ASNS,+,116,109,116-109
113,ATF4,ASNS,?,116,109,116-109
114,ATF4,ASNS,?,116,109,116-109
115,ATF4,ATF3,+,116,115,116-115
116,ATF4,ATF3,?,116,115,116-115
117,ATF4,ATG5,+,116,118,116-118
118,ATF4,BGLAP,?,116,152,116-152
119,ATF4,CA9,?,116,187,116-187
120,ATF4,CCL11,?,116,212,116-212
121,ATF4,CHAC1,+,116,284,116-284
122,ATF4,CXCL8,?,116,355,116-355
123,ATF4,CXCL8,?,116,355,116-355
124,ATF4,DDIT4,+,116,396,116-396
125,ATF4,DDR2,+,116,397,116-397
126,ATF4,F7,?,116,513,116-513
127,ATF4,FGF19,+,116,539,116-539
128,ATF4,HSPA5,-,116,746,116-746
129,ATF4,IGFBP1,+,116,765,116-765
130,ATF4,IRF3,-,116,797,116-797
131,ATF4,MAP1LC3B,+,116,923,116-923
132,ATF4,KAG9268785.1,+,116,1034,116-1034
133,ATF4,PLAU,+,116,1200,116-1200
134,ATF4,PTGS2,?,116,1279,116-1279
135,ATF4,TNFRSF23,?,116,1603,116-1603
136,ATF4,KAG9260490.1,+,116,1635,116-1635
137,ATF4,KAG9260490.1,?,116,1635,116-1635
138,ATF6,ATP2A2,?,117,122,117-122
139,ATF6,ATP2A2,?,117,122,117-122
140,ATF6,BGLAP,?,117,152,117-152
141,ATF6,KAG9271209.1,+,117,419,117-419
142,ATF6,KAG9274323.1,+,117,419,117-419
143,ATF6,HSPA5,?,117,746,117-746
144,ATF6,MAFAA,-,117,914,117-914
145,ATF6,NR0B2,+,117,1087,117-1087
146,ATF6,NR0B2,+,117,1087,117-1087
147,ATF6,NUCB1,+,117,1108,117-1108
148,ATF6,PDX1,-,117,1160,117-1160
149,ATF6,SRF,?,117,1502,117-1502
150,ATF6,STARD4,+,117,1514,117-1514
151,ATF6,WBP1,+,117,1698,117-1698
152,ATF6,WBP1,+,117,1698,117-1698
153,ATM,APLF,?,120,89,120-89
154,ATM,BCL2,-,120,147,120-147
155,ATM,BCL2,-,120,147,120-147
156,ATM,CDKN1A,?,120,262,120-262
