,Source_ortolog,Target_ortolog,Interaction,ID_source,ID_target,Grupo_interaccion
0,AIRE,BMP2,?,34,90,34-90
1,ANKRD1,MYL2,-,46,618,46-618
2,ANKRD1,MYL2,-,46,618,46-618
3,APBB1,LRP1,-,49,550,49-550
4,APBB1,KAG9261813.1,?,49,664,49-664
5,ARID3A,CSMD3,?,50,179,50-179
6,ARL6IP5,PARP1,-,53,709,53-709
7,ARL6IP5,XRCC1,+,53,1047,53-1047
8,ARX,KDM5C,?,55,510,55-510
9,ARX,SHHA,+,55,864,55-864
10,ARX,SHHB,+,55,864,55-864
11,KAG9280174.1,CDKN2D,+,57,148,57-148
12,KAG9280174.1,DLC,?,57,240,57-240
13,KAG9280174.1,DLL4,+,57,241,57-241
14,KAG9280174.1,PDGFRA,+,57,723,57-723
15,KAG9280174.1,PHOX2A,+,57,735,57-735
16,KAG9280174.1,RND3,+,57,836,57-836
17,KAG9280174.1,RND3,+,57,836,57-836
18,KAG9280174.1,TPH2,+,57,993,57-993
19,KAG9280174.1,TPH2,+,57,993,57-993
20,ASH1L,TGFB1,?,58,965,58-965
21,ASH1L,TGFB1,?,58,965,58-965
22,ATF3,ATF3,-,60,60,60-60
23,ATF3,CCND1,+,60,124,60-124
24,ATF3,GCK,?,60,365,60-365
25,ATF3,PDX1,-,60,727,60-727
26,ATF3,SORT1,-,60,910,60-910
27,ATF6,HSPA5,+,61,442,61-442
28,ATF6,WBP1,+,61,1035,61-1035
29,ATF6,WBP1,+,61,1035,61-1035
30,BACH2,PRDM1,-,74,770,74-770
31,BARX2,ACTBA,?,77,19,77-19
32,BARX2,ACTC1,?,77,19,77-19
33,BARX2,ACTC1,?,77,19,77-19
34,BARX2,ACTBB,?,77,19,77-19
35,BARX2,L1CAM,+,77,522,77-522
36,BARX2,L1CAM,?,77,522,77-522
37,BARX2,PAX1,?,77,710,77-710
38,KAG9276480.1,CCND1,?,81,124,81-124
39,KAG9276480.1,CXCL11.6,?,81,202,81-202
40,KAG9276480.1,NFKB1,-,81,648,81-648
41,KAG9276480.1,NFKB1,?,81,648,81-648
42,KAG9276480.1,NFKB2,?,81,649,81-649
43,KAG9276480.1,NOS1,?,81,662,81-662
44,KAG9276480.1,TNFAIP3,+,81,986,81-986
45,BMI1B,CDK1,?,89,140,89-140
46,BMI1A,CDK1,?,89,140,89-140
47,BMI1B,CDKN2D,-,89,148,89-148
48,BMI1A,CDKN2D,-,89,148,89-148
49,BMI1B,DKK1,?,89,237,89-237
50,BMI1A,DKK1,?,89,237,89-237
51,BMI1B,IKZF1,-,89,462,89-462
52,BMI1A,IKZF1,-,89,462,89-462
53,BMI1B,NFKB1,+,89,648,89-648
54,BMI1A,NFKB1,+,89,648,89-648
55,BMI1B,PTEN,?,89,784,89-784
56,BMI1B,PTEN,?,89,784,89-784
57,BMI1A,PTEN,?,89,784,89-784
58,BMI1A,PTEN,?,89,784,89-784
59,BTG1,CREB1,+,99,182,99-182
60,BTG1,CREB1,+,99,182,99-182
61,CEBPA,BCL2,+,151,79,151-79
62,CEBPA,BCL2,+,151,79,151-79
63,CEBPA,CFLAR,+,151,155,151-155
64,CEBPA,CRABP2,-,151,181,151-181
65,CEBPA,MSTNB,?,151,602,151-602
66,CEBPA,NFKB1,+,151,648,151-648
67,CEBPA,NR1H3,?,151,674,151-674
68,CEBPA,PCK1,+,151,717,151-717
69,CEBPA,PTGS2,+,151,790,151-790
70,CEBPA,PTGS2,?,151,790,151-790
71,CEBPA,SPI1,?,151,920,151-920
72,CEBPA,ZBTB16A,?,151,1050,151-1050
73,CEBPG,CEBPA,-,152,151,152-151
74,CHD4,JUN,-,159,502,159-502
75,CHD7,JAG1B,+,160,498,160-498
76,CITED3,CEBPA,+,166,151,166-151
77,CITED3,LDHBA,+,166,528,166-528
78,CITED3,LDHBB,+,166,528,166-528
79,CITED3,LDHD,+,166,529,166-529
80,CITED3,MMP9,+,166,596,166-596
81,CITED3,PDK2,+,166,726,166-726
82,CITED3,PPARG,+,166,765,166-765
83,CITED3,KAG9260855.1,+,166,896,166-896
84,CITED3,KAG9273192.1,+,166,896,166-896
85,CITED3,WNT4A,+,166,1039,166-1039
86,CLOCK,BHLHE40,+,173,85,173-85
87,CLOCK,BHLHE41,+,173,86,173-86
88,CLOCK,BHLHE40,?,173,85,173-85
89,CLOCK,BHLHE41,?,173,86,173-86
90,CLOCK,CRY1,+,173,189,173-189
91,CLOCK,CRY2,+,173,190,173-190
92,CLOCK,NR0B2,+,173,673,173-673
93,CLOCK,NR0B2,+,173,673,173-673
94,CLOCK,KAG9278600.1,+,173,729,173-729
95,CLOCK,SERPINE1,+,173,852,173-852
96,CLOCK,SERPINE2,+,173,853,173-853
97,CLOCK,THBD,?,173,970,173-970
98,CLOCK,VWF,?,173,1034,173-1034
99,CREB1,ACSL4,?,182,16,182-16
100,CREB1,ACSL4,?,182,16,182-16
101,CREB1,BCL2,?,182,79,182-79
102,CREB1,BCL2,?,182,79,182-79
103,CREB1,BCL2,?,182,79,182-79
104,CREB1,BCL2,?,182,79,182-79
105,CREB1,CFTR,?,182,156,182-156
106,CREB1,CFTR,?,182,156,182-156
107,CREB1,CLDN11,?,182,169,182-169
108,CREB1,CLDN11,?,182,169,182-169
109,CREB1,CLDN11,?,182,169,182-169
110,CREB1,CLDN11,?,182,169,182-169
111,CREB1,CRTC2,?,182,188,182-188
112,CREB1,CRTC2,?,182,188,182-188
113,CREB1,ENTPD1,+,182,291,182-291
114,CREB1,ENTPD1,+,182,291,182-291
115,CREB1,ESR1,?,182,299,182-299
116,CREB1,ESR1,?,182,299,182-299
117,CREB1,HSPA5,+,182,442,182-442
118,CREB1,HSPA5,+,182,442,182-442
119,CREB1,IL10,+,182,463,182-463
120,CREB1,IL10,+,182,463,182-463
121,CREB1,LDHA,?,182,527,182-527
