,Unnamed: 0,Source,Target,Interaction
0,4383,KAG9259423.1,KAG9260832.1,+
1,4384,KAG9259423.1,KAG9263822.1,-
2,4382,KAG9259423.1,KAG9267104.1,-
3,4311,KAG9259435.1,KAG9265347.1,-
4,5320,KAG9259545.1,KAG9261394.1,?
5,6327,KAG9259560.1,KAG9261786.1,+
6,6330,KAG9259560.1,KAG9265460.1,-
7,8228,KAG9259560.1,KAG9265518.1,?
8,3701,KAG9259576.1,KAG9259723.1,-
9,3706,KAG9259576.1,KAG9260361.1,-
10,3694,KAG9259576.1,KAG9260731.1,-
11,3695,KAG9259576.1,KAG9264736.1,-
12,3693,KAG9259576.1,KAG9266350.1,-
13,3712,KAG9259576.1,KAG9266355.1,-
14,3704,KAG9259576.1,KAG9266799.1,+
15,5040,KAG9259576.1,KAG9271618.1,?
16,3709,KAG9259576.1,KAG9271716.1,-
17,3702,KAG9259576.1,KAG9271820.1,-
18,3711,KAG9259576.1,KAG9273192.1,-
19,3708,KAG9259576.1,KAG9274257.1,-
20,3697,KAG9259576.1,KAG9274772.1,-
21,3700,KAG9259576.1,KAG9276449.1,-
22,5047,KAG9259576.1,KAG9282614.1,+
23,1540,KAG9259689.1,KAG9261678.1,+
24,1539,KAG9259689.1,KAG9281652.1,+
25,21740,KAG9259712.1,KAG9259712.1,?
26,4622,KAG9259712.1,KAG9260197.1,?
27,4616,KAG9259712.1,KAG9260731.1,?
28,5933,KAG9259712.1,KAG9263807.1,?
29,4631,KAG9259712.1,KAG9264569.1,+
30,4614,KAG9259712.1,KAG9264596.1,?
31,4626,KAG9259712.1,KAG9267480.1,?
32,5934,KAG9259712.1,KAG9267703.1,-
33,4617,KAG9259712.1,KAG9269078.1,+
34,4627,KAG9259712.1,KAG9271044.1,-
35,4630,KAG9259712.1,KAG9271889.1,+
36,4628,KAG9259712.1,KAG9273046.1,-
37,4615,KAG9259712.1,KAG9274619.1,?
38,4633,KAG9259712.1,KAG9275936.1,+
39,4620,KAG9259712.1,KAG9277258.1,+
40,4629,KAG9259712.1,KAG9278477.1,-
41,4625,KAG9259712.1,KAG9278930.1,-
42,4613,KAG9259712.1,KAG9280174.1,?
43,4619,KAG9259712.1,KAG9282293.1,-
44,2462,KAG9259743.1,KAG9265890.1,?
45,2461,KAG9259743.1,KAG9280092.1,?
46,3681,KAG9259743.1,KAG9280094.1,?
47,3683,KAG9259743.1,KAG9282155.1,+
48,2463,KAG9259743.1,KAG9282819.1,?
49,3641,KAG9259747.1,KAG9259854.1,+
50,5355,KAG9259751.1,KAG9260832.1,+
51,5348,KAG9259751.1,KAG9264203.1,+
52,5351,KAG9259751.1,KAG9267104.1,-
53,5364,KAG9259751.1,KAG9268018.1,?
54,5357,KAG9259751.1,KAG9271325.1,+
55,5359,KAG9259751.1,KAG9272360.1,+
56,4036,KAG9259751.1,KAG9272737.1,+
57,4042,KAG9259751.1,KAG9274661.1,+
58,4030,KAG9259751.1,KAG9275510.1,?
59,5358,KAG9259751.1,KAG9275630.1,+
60,4027,KAG9259751.1,KAG9276012.1,+
61,4037,KAG9259751.1,KAG9278400.1,?
62,5363,KAG9259751.1,KAG9278477.1,-
63,4041,KAG9259751.1,KAG9280026.1,?
64,5365,KAG9259751.1,KAG9281087.1,?
65,4035,KAG9259751.1,KAG9281198.1,-
66,5367,KAG9259751.1,KAG9281482.1,+
67,5362,KAG9259751.1,KAG9282484.1,+
