,Source,Target,Interaction
0,AATF,CDKN1D,?
1,AATF,CDKN1D,?
2,AATF,MYCB,+
3,AATF,MYCB,+
4,AATF,TP53,?
5,ABL1,BCL2B,-
6,ABL1,BCL2B,-
7,ABL1,CCND2A,+
8,ABL1,CDKN1D,+
9,ABL1,CDKN1D,+
10,ABL1,JUND,+
11,ABL1,PIM1,+
12,ABL1,TP53,+
13,LOC103045566,ABCG2D,?
14,LOC103045566,ABCG2D,?
15,LOC103045566,AHRRB,+
16,LOC103045566,CA9,-
17,LOC103045566,CCND1,?
18,LOC103045566,CCNG2,+
19,LOC103045566,FOSAB,?
20,LOC103045566,LOC103026214,?
21,LOC103045566,LOC103026744,+
22,LOC103045566,LOC103027829,?
23,LOC103045566,LOC103036816,+
24,LOC103045566,LOC103036816,+
25,LOC103045566,LOC103026214,?
26,LOC103045566,MFSD2AA,?
27,LOC103045566,MFSD2AA,?
28,LOC103045566,MYCB,?
29,LOC103045566,MYCB,?
30,LOC103045566,PCNA,+
31,AIRE,BMP4,?
32,AIRE,LOC103028684,?
33,AIRE,LOC103028684,?
34,ANKRD1A,MYL2B,-
35,ANKRD1A,MYL2B,-
36,APBB1,GMPS,-
37,APBB1,LRP1AB,-
38,APBB1,LRP1AB,-
39,APBB1,NOTCH1B,?
40,APC,LOC103026930,-
41,APC,DLG1B,?
42,APC,DLG1B,?
43,APC,DNMT1,-
44,APC,F8,?
45,APC,KLF4,?
46,APC,LOC103026930,-
47,APC,LOC103026958,+
48,APC,LOC103026958,+
49,APC,MYCB,-
50,APC,MYCB,-
51,APC,ODC1,-
52,APC,PTGS2B,-
53,APC,SGK1,-
54,APEX1,LOC103026652,-
55,APEX1,RELA,+
56,APEX1,SLC5A5,+
57,ARID1AA,CDKN1D,?
58,ARID1AA,CDKN1D,?
59,ARID1AA,SMAD3B,?
60,ARID1AA,SMAD3B,?
61,ARID1AA,CDKN1D,?
62,ARID1AA,CDKN1D,?
63,ARID1AA,SMAD3B,?
64,ARID1AA,SMAD3B,?
65,ARID3A,CDC6,?
66,ARID3A,CDK1,?
67,ARID3A,E2F1,?
68,ARID3A,SI:CH73-217N20.1,?
69,ARID3A,SI:CH73-217N20.1,?
70,ARL6IP5B,PARP1,-
71,ARL6IP5B,XRCC1,+
72,ARNT2,ABR,?
73,ARNT2,ADAM10A,?
74,ARNT2,ADD1,?
75,ARNT2,LOC103041141,?
76,ARNT2,ASH2L,?
77,ARNT2,ABR,?
78,ARNT2,BICD2,?
79,ARNT2,BICD2,?
80,ARNT2,BRD3B,?
81,ARNT2,C11H2ORF69,?
82,ARNT2,CAMTA1B,?
83,ARNT2,CAMTA1B,?
84,ARNT2,CAMTA1B,?
85,ARNT2,CLASP2,?
86,ARNT2,CLASP2,?
87,ARNT2,CSNK1A1,?
88,ARNT2,CTNNB1,?
89,ARNT2,DEAF1,?
90,ARNT2,DLG1B,?
91,ARNT2,DLG1B,?
92,ARNT2,DLG1B,?
93,ARNT2,DNAJC5GA,?
94,ARNT2,DYNC1I2A,?
95,ARNT2,DYNC1I2A,?
96,ARNT2,EIF4G2B,?
97,ARNT2,ETS1,?
98,ARNT2,ETS1,?
99,ARNT2,LOC103026919,?
100,ARNT2,FAXCA,?
101,ARNT2,FBXL14A,?
102,ARNT2,FBXL14A,?
103,ARNT2,LOC103046602,?
104,ARNT2,LOC103046602,?
105,ARNT2,FSCN1A,?
106,ARNT2,FXR2,?
107,ARNT2,FXR2,?
108,ARNT2,FYNA,?
109,ARNT2,FYNA,?
110,ARNT2,FZD5,?
111,ARNT2,FZD5,?
112,ARNT2,GALNT1,?
113,ARNT2,GALNT1,?
114,ARNT2,GET3,?
115,ARNT2,GRB2B,?
116,ARNT2,GRB2B,?
117,ARNT2,GRK5L,?
118,ARNT2,GRK5L,?
119,ARNT2,GSK3BB,?
120,ARNT2,GSK3BB,?
121,ARNT2,HS6ST3A,?
122,ARNT2,HS6ST3A,?
123,ARNT2,HS6ST3A,?
124,ARNT2,HS6ST3A,?
125,ARNT2,HS6ST3A,?
126,ARNT2,TRIOA,?
127,ARNT2,LOC103035435,?
128,ARNT2,KIF5BB,?
129,ARNT2,LIMK1A,?
130,ARNT2,LIMS1,?
131,ARNT2,LOC103021658,?
132,ARNT2,LOC103024026,?
133,ARNT2,MARK3B,?
134,ARNT2,CLASP2,?
135,ARNT2,QKIA,?
136,ARNT2,LOC103026919,?
137,ARNT2,ADAM10A,?
138,ARNT2,FYNA,?
139,ARNT2,LOC103030154,?
140,ARNT2,MED13A,?
141,ARNT2,PTPRFA,?
142,ARNT2,CTNNB1,?
143,ARNT2,LOC103035435,?
144,ARNT2,PPP2R2D,?
145,ARNT2,LOC103039515,?
146,ARNT2,LOC103041141,?
147,ARNT2,RAB8A,?
148,ARNT2,FYNA,?
149,ARNT2,LIMS1,?
150,ARNT2,USP9,?
151,ARNT2,LOC103046602,?
152,ARNT2,LRP1AB,?
153,ARNT2,LRP1AB,?
154,ARNT2,LRP1AB,?
155,ARNT2,MARK3B,?
156,ARNT2,MARK3B,?
157,ARNT2,MARK3B,?
158,ARNT2,MED13A,?
159,ARNT2,MED13A,?
160,ARNT2,MPDU1B,?
161,ARNT2,MTA3,?
162,ARNT2,MYO18AB,?
163,ARNT2,MYO18AB,?
164,ARNT2,NEBL,?
165,ARNT2,PAPOLG,?
166,ARNT2,PAPOLG,?
167,ARNT2,PGK1,?
168,ARNT2,PICALMA,?
169,ARNT2,PKN2B,?
170,ARNT2,PKN2B,?
171,ARNT2,PPFIA1,?
172,ARNT2,PPFIA1,?
173,ARNT2,PPP2R2D,?
174,ARNT2,PPP2R2D,?
175,ARNT2,PPP2R5A,?
176,ARNT2,PPP2R5A,?
177,ARNT2,PPP2R5A,?
178,ARNT2,PPP2R5A,?
179,ARNT2,LOC103021658,?
180,ARNT2,LOC103021658,?
181,ARNT2,LOC103021658,?
182,ARNT2,PPP3CCB,?
183,ARNT2,PRKACBB,?
184,ARNT2,PRKACBB,?
185,ARNT2,PRKACBB,?
186,ARNT2,PRKACBB,?
187,ARNT2,PTPN11A,?
188,ARNT2,PTPN2B,?
189,ARNT2,PTPN2B,?
190,ARNT2,PTPRFA,?
191,ARNT2,PTPRFA,?
192,ARNT2,QKIA,?
193,ARNT2,QKIA,?
194,ARNT2,RAB8A,?
195,ARNT2,RAB8A,?
196,ARNT2,RBM26,?
197,ARNT2,SCAMP1,?
198,ARNT2,SIN3AB,?
199,ARNT2,SIN3AB,?
200,ARNT2,SLIT1A,?
201,ARNT2,SLIT1A,?
202,ARNT2,SLKA,?
203,ARNT2,SMAD4A,?
204,ARNT2,SMAD4A,?
205,ARNT2,SMAD4A,?
206,ARNT2,SMARCC2,?
207,ARNT2,SMARCC2,?
208,ARNT2,LOC103039515,?
209,ARNT2,ZGC:110158,?
210,ARNT2,ZGC:110158,?
211,ARNT2,ZGC:110158,?
212,ARNT2,STRN3,?
213,ARNT2,SUZ12A,?
214,ARNT2,SUZ12A,?
215,ARNT2,TENM3,?
216,ARNT2,TENM3,?
217,ARNT2,TENM3,?
218,ARNT2,TIA1L,?
219,ARNT2,TIA1L,?
220,ARNT2,TLE3B,?
221,ARNT2,TLE3B,?
222,ARNT2,TRIM24,?
223,ARNT2,TRIM24,?
224,ARNT2,TRIOA,?
225,ARNT2,TRIOA,?
226,ARNT2,UGDH,?
227,ARNT2,USP7,?
228,ARNT2,USP9,?
229,ARNT2,FYNA,?
230,ARNT2,FYNA,?
231,ARNT2,ZGC:110158,?
232,ARNT2,ZRANB1B,?
233,ARNT2,ZRANB1B,?
234,ARNT2,ABR,?
235,ARNT2,ADAM10A,?
236,ARNT2,ADD1,?
237,ARNT2,LOC103041141,?
238,ARNT2,ASH2L,?
239,ARNT2,ABR,?
240,ARNT2,BICD2,?
241,ARNT2,BICD2,?
242,ARNT2,BRD3B,?
243,ARNT2,C11H2ORF69,?
244,ARNT2,CAMTA1B,?
245,ARNT2,CAMTA1B,?
246,ARNT2,CAMTA1B,?
247,ARNT2,CLASP2,?
248,ARNT2,CLASP2,?
249,ARNT2,CSNK1A1,?
250,ARNT2,CTNNB1,?
251,ARNT2,DEAF1,?
252,ARNT2,DLG1B,?
253,ARNT2,DLG1B,?
254,ARNT2,DLG1B,?
255,ARNT2,DNAJC5GA,?
256,ARNT2,DYNC1I2A,?
257,ARNT2,DYNC1I2A,?
258,ARNT2,EIF4G2B,?
259,ARNT2,ETS1,?
260,ARNT2,ETS1,?
261,ARNT2,LOC103026919,?
262,ARNT2,FAXCA,?
263,ARNT2,FBXL14A,?
264,ARNT2,FBXL14A,?
265,ARNT2,LOC103046602,?
266,ARNT2,LOC103046602,?
267,ARNT2,FSCN1A,?
268,ARNT2,FXR2,?
269,ARNT2,FXR2,?
270,ARNT2,FYNA,?
271,ARNT2,FYNA,?
272,ARNT2,FZD5,?
273,ARNT2,FZD5,?
274,ARNT2,GALNT1,?
275,ARNT2,GALNT1,?
276,ARNT2,GET3,?
277,ARNT2,GRB2B,?
278,ARNT2,GRB2B,?
279,ARNT2,GRK5L,?
280,ARNT2,GRK5L,?
281,ARNT2,GSK3BB,?
282,ARNT2,GSK3BB,?
283,ARNT2,HS6ST3A,?
284,ARNT2,HS6ST3A,?
285,ARNT2,HS6ST3A,?
286,ARNT2,HS6ST3A,?
287,ARNT2,HS6ST3A,?
288,ARNT2,TRIOA,?
289,ARNT2,LOC103035435,?
290,ARNT2,KIF5BB,?
291,ARNT2,LIMK1A,?
292,ARNT2,LIMS1,?
293,ARNT2,LOC103021658,?
294,ARNT2,LOC103024026,?
295,ARNT2,MARK3B,?
296,ARNT2,CLASP2,?
297,ARNT2,QKIA,?
298,ARNT2,LOC103026919,?
299,ARNT2,ADAM10A,?
300,ARNT2,FYNA,?
301,ARNT2,LOC103030154,?
302,ARNT2,MED13A,?
303,ARNT2,PTPRFA,?
304,ARNT2,CTNNB1,?
305,ARNT2,LOC103035435,?
306,ARNT2,PPP2R2D,?
307,ARNT2,LOC103039515,?
308,ARNT2,LOC103041141,?
309,ARNT2,RAB8A,?
310,ARNT2,FYNA,?
311,ARNT2,LIMS1,?
312,ARNT2,USP9,?
313,ARNT2,LOC103046602,?
314,ARNT2,LRP1AB,?
315,ARNT2,LRP1AB,?
316,ARNT2,LRP1AB,?
317,ARNT2,MARK3B,?
318,ARNT2,MARK3B,?
319,ARNT2,MARK3B,?
320,ARNT2,MED13A,?
321,ARNT2,MED13A,?
322,ARNT2,MPDU1B,?
323,ARNT2,MTA3,?
324,ARNT2,MYO18AB,?
325,ARNT2,MYO18AB,?
326,ARNT2,NEBL,?
327,ARNT2,PAPOLG,?
328,ARNT2,PAPOLG,?
329,ARNT2,PGK1,?
330,ARNT2,PICALMA,?
331,ARNT2,PKN2B,?
332,ARNT2,PKN2B,?
333,ARNT2,PPFIA1,?
334,ARNT2,PPFIA1,?
335,ARNT2,PPP2R2D,?
336,ARNT2,PPP2R2D,?
337,ARNT2,PPP2R5A,?
338,ARNT2,PPP2R5A,?
339,ARNT2,PPP2R5A,?
340,ARNT2,PPP2R5A,?
341,ARNT2,LOC103021658,?
342,ARNT2,LOC103021658,?
343,ARNT2,LOC103021658,?
344,ARNT2,PPP3CCB,?
345,ARNT2,PRKACBB,?
346,ARNT2,PRKACBB,?
347,ARNT2,PRKACBB,?
348,ARNT2,PRKACBB,?
349,ARNT2,PTPN11A,?
350,ARNT2,PTPN2B,?
351,ARNT2,PTPN2B,?
352,ARNT2,PTPRFA,?
353,ARNT2,PTPRFA,?
354,ARNT2,QKIA,?
355,ARNT2,QKIA,?
356,ARNT2,RAB8A,?
357,ARNT2,RAB8A,?
358,ARNT2,RBM26,?
359,ARNT2,SCAMP1,?
360,ARNT2,SIN3AB,?
361,ARNT2,SIN3AB,?
362,ARNT2,SLIT1A,?
363,ARNT2,SLIT1A,?
364,ARNT2,SLKA,?
365,ARNT2,SMAD4A,?
366,ARNT2,SMAD4A,?
367,ARNT2,SMAD4A,?
368,ARNT2,SMARCC2,?
369,ARNT2,SMARCC2,?
370,ARNT2,LOC103039515,?
371,ARNT2,ZGC:110158,?
372,ARNT2,ZGC:110158,?
373,ARNT2,ZGC:110158,?
374,ARNT2,STRN3,?
375,ARNT2,SUZ12A,?
376,ARNT2,SUZ12A,?
377,ARNT2,TENM3,?
378,ARNT2,TENM3,?
379,ARNT2,TENM3,?
380,ARNT2,TIA1L,?
381,ARNT2,TIA1L,?
382,ARNT2,TLE3B,?
383,ARNT2,TLE3B,?
384,ARNT2,TRIM24,?
385,ARNT2,TRIM24,?
386,ARNT2,TRIOA,?
387,ARNT2,TRIOA,?
388,ARNT2,UGDH,?
