Source,Target,Interaction
ABL1,BCL6,-
APBB1,KAG9261813.1,?
ARNTL,RPL13A,?
ARX,SHHA,+
BCL6,BCL6,-
CRABP2,RARAB,+
CREB1,MITF,+
CREBBP,RARAB,?
CTCF,BCL6,-
CTCF,PAX6A,-
CTNNB1,FGF8A,?
CTNNB1,MITF,?
CTNNB1,PITX3,+
CTNNB1,TBX3,?
DMRT1,SOX2,-
E2F3,MITF,?
EMX2,PAX6A,-
EOMES,SOX2,-
ESR1,RARAB,+
ESRRG,BCAS2,?
ETV6,MYO7A,?
FOSL2,BCL6,+
FOXA2,SOX2,-
FOXD3-A,MITF,-
FOXM1,SOX2,?
FOXO1B,BCL6,+
GBX2,LHX9,-
GBX2,SHHA,+
GLI2,SHHA,?
HEY1,PROX1,-
HMGA1,CRYAB,?
ID3,KAG9261813.1,-
ID4,SOX2,?
IKZF1,KAG9261813.1,?
IRF4,BCL6,-
ISL1,ISL1,?
ISL1,LHX1A,?
JUN,RARAB,-
JUND,BCL6,+
KAG9259909.1,FGF8A,+
KAG9259909.1,HES1-A,?
KAG9259909.1,PROX1,+
KAG9263746.1,SHHA,?
KAG9269893.1,KITA,?
KAG9278989.1,HES1-A,-
KDM2A,SOX2,?
KLF4,RARAB,-
KLF5,KAG9261813.1,+
LEF1,MITF,+
LEF1,MYCBP,+
LHX1A,ISL1,?
LHX1A,LHX1A,?
LHX6,LHX1A,?
LMO3,HES1-A,-
LMX1B,FGF8A,?
LMX1B,PAX2A,-
MAF,CRYAA,?
MAX,GABRA1,?
MEF2B,BCL6,?
MEIS2,PAX6A,+
MITF,KITA,+
MITF,PAX6A,+
MTF2,SHHA,-
MYB,KITA,+
MYBL2,KAG9269284.1,?
NCOA3,TBX3,+
NEUROD1,PAX6A,+
NFKB1,SHHA,+
NHLH1,HES1-A,-
NKX3-1,SIX6,?
NR4A2,PITX3,+
ONECUT1,MITF,?
ONECUT2,MITF,+
PAX2A,PAX6A,-
PAX3-A,MITF,+
PAX4,ISL1,?
PAX6A,CRYAB,+
PAX6A,NR2E1,+
PAX6A,PAX2A,-
PAX6A,SHHA,+
PAX6A,SOX2,?
PAX7,LHX1A,?
PITX1,HES1-A,-
PITX3,DLX2A,+
POU3F2,MITF,?
POU4F1,HSP90AA1,+
POU4F2,HSP90AA1,+
PROX1,KAG9261813.1,?
PROX1,SIX3,+
RBL2,SOX2,+
RNF2,SOX2,+
SMARCA2,MITF,?
SMARCA2,SOX2,?
SOX10,MITF,+
SOX18,PROX1,+
SOX2,ISL1,-
SOX2,NR2E1,+
SOX2,POU4F2,-
SOX2,SHHA,?
SOX2,SOX2,+
SOX9,HES1-A,+
SOX9,MITF,?
SP1,KITA,?
SP1,NDUFV2,+
SP1,RARAB,+
SP9,FGF8A,?
SPI1,BCL6,-
STAT3,BCL6,+
STAT5B,BCL6,-
TAL1,KITA,?
TCF4,MITF,-
TFAP2A,CRYAB,+
TFAP2A,KITA,?
TP53,CRYAB,+
TP53,HSP90AA1,-
TRRAP,MITF,-
VAX2,PAX6A,-
WT1-A,PAX2A,-
WT1-A,POU4F2,?
ZEB1,BCL6,-
