Source,Target,Interaction
ABL1,BCL6AA,-
APBB1,NOTCH1B,?
ARNTL1A,RPL13A,?
ARXA,SHHA,+
BCL6AA,BCL6AA,-
CRABP2A,RARAB,+
CREB1B,MITFB,+
CREBBPA,RARAB,?
CTCF,BCL6AA,-
CTCF,PAX6A,-
CTNNB1,FGF8A,?
CTNNB1,MITFB,?
CTNNB1,PITX3,+
CTNNB1,SHHA,-
CTNNB1,TBX3A,?
DMRT1,SOX2,-
E2F1,DLX1A,-
E2F1,DLX2A,-
E2F1,RASGEF1BA,+
EMX2,PAX6A,-
EOMESA,SOX2,-
ESR1,RARAB,+
ESRRGB,BCAS2,?
ETV6,MYO7AA,?
ETV6,SHHA,?
EWSR1A,MITFB,+
FOSL2,BCL6AA,+
FOXA2,SOX2,-
FOXD3,MITFB,-
FOXM1,SOX2,?
FOXO1B,BCL6AA,+
FOXO1B,SHHA,?
GBX2,LHX9,-
GBX2,SHHA,+
GLI2A,SHHA,?
HEY1,PROX1A,-
HMGA1A,CRYABB,?
ID3,NOTCH1B,-
ID4,SOX2,?
IKZF1,NOTCH1B,?
IRF4A,BCL6AA,-
ISL1A,DLX1A,?
ISL1A,ISL1A,?
ISL1A,LHX1A,?
JUND,BCL6AA,+
JUND,DLX1A,?
JUND,RARAB,-
JUND,RXRAA,?
KDM2AA,SOX2,?
KLF4,RARAB,-
KLF5A,NOTCH1B,+
LEF1,LOC111197019,+
LEF1,MITFB,+
LHX1A,ISL1A,?
LHX1A,LHX1A,?
LHX8A,LHX1A,?
LMO3,HER6,-
LMX1BB,FGF8A,?
LMX1BB,PAX2A,-
LOC103026609,TBX3A,+
LOC103029501,MITFB,-
LOC103030154,RARAB,?
LOC103032158,MITFB,?
LOC103032158,SOX2,?
LOC103032461,MITFB,-
LOC103039568,HER6,+
LOC103039568,MITFB,?
MAFB,CRYAA,?
MAX,GABRA1,?
MAX,RRS1,?
MEF2AA,RARAB,?
MEF2B,BCL6AA,?
MEIS1B,PAX6A,+
MITFB,KITA,+
MITFB,PAX6A,+
MSX1A,SHHA,?
MTF2,SHHA,-
MYB,KITA,+
MYBL2B,MIPB,?
NEUROD1,PAX6A,+
NFKB1,SHHA,+
NHLH2,HER6,-
NKX3-1,SIX6B,?
NOTCH3,HER6,-
NR1I2,RXRAA,?
NR2F2,SHHA,?
NR4A2A,PITX3,+
NR5A1A,RARAB,?
ONECUT1,MITFB,?
ONECUT2,MITFB,+
PAX2A,PAX6A,-
PAX4,ISL1A,?
PAX6A,CRYABB,+
PAX6A,NR2E1,+
PAX6A,PAX2A,-
PAX6A,SHHA,+
PAX6A,SOX2,?
PAX7B,LHX1A,?
PITX1,HER6,-
PITX3,DLX2A,+
POU3F2A,MITFB,?
POU4F1,HSP90AB1,+
POU4F2,HSP90AB1,+
PPARGC1A,PITX3,-
PROX1A,NOTCH1B,?
PROX1A,SIX3A,+
RBL2,SOX2,+
RELA,FGF8A,+
RELA,HER6,?
RELA,PROX1A,+
RNF2,SOX2,+
RUNX2B,SHHA,?
SIRT1,NOTCH1B,-
SIRT1,TBX3A,-
SNAI1B,KITA,?
SOX10,MITFB,+
SOX18,PROX1A,+
SOX2,ISL1A,-
SOX2,NR2E1,+
SOX2,POU4F2,-
SOX2,SHHA,?
SOX2,SOX2,+
SP1,KITA,?
SP1,NDUFV2,+
SP1,RARAB,+
SP9,FGF8A,?
SPI1B,BCL6AA,-
SRRT,SOX2,+
STAT3,BCL6AA,+
STAT5A,BCL6AA,-
STAT5A,RARAB,?
TAL1,KITA,?
TCF3B,KITA,?
TCF3B,NOTCH1B,?
TFAP2A,CRYABB,+
TFAP2A,KITA,?
TFAP2B,CRYABB,+
TFAP2C,KITA,-
TP53,CRYABB,+
TP53,HSP90AB1,-
VAX2,PAX6A,-
WT1A,PAX2A,-
WT1A,POU4F2,?
ZEB1B,BCL6AA,-
