Source,Target,Interaction
ABD-A,5-HT1A,?
ABD-A,5-HT7,?
ABD-A,ABD-A,?
ABD-A,ABD-B,?
ABD-A,AC76E,?
ABD-A,ACJ6,?
ABD-A,ALCR2,?
ABD-A,ANCE-3,?
ABD-A,APT,?
ABD-A,ARET,?
ABD-A,AST,?
ABD-A,AXO,?
ABD-A,BEAT-IA,?
ABD-A,BEAT-IB,?
ABD-A,BEAT-IC,?
ABD-A,BEAT-IIA,?
ABD-A,BEAT-IV,?
ABD-A,BEAT-VC,?
ABD-A,BEAT-VI,?
ABD-A,BRU-3,?
ABD-A,CADN2,?
ABD-A,CCAPR,?
ABD-A,CCHA2,?
ABD-A,CCKLR-17D1,?
ABD-A,CG12484,?
ABD-A,CG12594,?
ABD-A,CG13403,?
ABD-A,CG13579,?
ABD-A,CG13594,?
ABD-A,CG13856,?
ABD-A,CG14459,?
ABD-A,CG14521,?
ABD-A,CG15431,?
ABD-A,CG1688,?
ABD-A,CG17672,?
ABD-A,CG18208,?
ABD-A,CG18210,?
ABD-A,CG18265,?
ABD-A,CG2082,?
ABD-A,CG30116,?
ABD-A,CG30158,?
ABD-A,CG31191,?
ABD-A,CG31369,?
ABD-A,CG31386,?
ABD-A,CG31663,?
ABD-A,CG31708,?
ABD-A,CG31814,?
ABD-A,CG32432,?
ABD-A,CG32547,?
ABD-A,CG34351,?
ABD-A,CG34353,?
ABD-A,CG34354,?
ABD-A,CG34362,?
ABD-A,CG34370,?
ABD-A,CG42260,?
ABD-A,CG42343,?
ABD-A,CG42346,?
ABD-A,CG42594,?
ABD-A,CG42732,?
ABD-A,CG42750,?
ABD-A,CG42796,?
ABD-A,CG42843,?
ABD-A,CG43164,?
ABD-A,CG43223,?
ABD-A,CG4328,?
ABD-A,CG4409,?
ABD-A,CG6123,?
ABD-A,CG7918,?
ABD-A,CG8795,?
ABD-A,CG8861,?
ABD-A,CG9059,?
ABD-A,CNG,?
ABD-A,CON,?
ABD-A,CPR11B,?
ABD-A,D2R,?
ABD-A,DBX,?
ABD-A,DH44-R1,?
ABD-A,DH,?
ABD-A,DOPR2,?
ABD-A,DOPR,?
ABD-A,DPR11,?
ABD-A,DPR13,?
ABD-A,DPR17,?
ABD-A,DPR2,?
ABD-A,DPR3,?
ABD-A,DPR4,?
ABD-A,DPR6,?
ABD-A,DREP-3,?
ABD-A,ETS65A,?
ABD-A,EYG,?
ABD-A,EYS,?
ABD-A,FAS,?
ABD-A,FRED,?
ABD-A,GLUCLALPHA,?
ABD-A,GLU-RI,?
ABD-A,GYC88E,?
ABD-A,HAM,?
ABD-A,HBN,?
ABD-A,HS3ST-A,?
ABD-A,IA-2,?
ABD-A,IGL,?
ABD-A,LK,?
ABD-A,LKR,?
ABD-A,MIP,?
ABD-A,MUN,?
ABD-A,NACRALPHA-30D,?
ABD-A,NACRALPHA-34E,?
ABD-A,NACRALPHA-7E,?
ABD-A,NACRALPHA-96AA,?
ABD-A,NCKX30C,?
ABD-A,NEUROLIGIN,?
ABD-A,NMDAR2,?
ABD-A,OA2,?
ABD-A,OAMB,?
ABD-A,OATP58DC,?
ABD-A,OCTBETA2R,?
ABD-A,OLI,?
ABD-A,OTP,?
ABD-A,PROS,?
ABD-A,PTX1,?
ABD-A,RAB23,?
ABD-A,RGK3,?
ABD-A,RX,?
ABD-A,SCP2,?
ABD-A,SHAB,?
ABD-A,SHAWL,?
ABD-A,SIF,?
ABD-A,SLOU,?
ABD-A,SYN,?
ABD-A,TAKR99D,?
ABD-A,TOE,?
ABD-A,TOLL-6,?
ABD-A,UBX,?
ABD-A,UNC-13-4A,?
ABD-A,VARI,?
ABD-A,VMAT,?
ABD-A,VSX2,?
ABD-A,WNT4,?
ABD-A,WOR,?
AC,18W,?
AC,AATS-GLN,?
AC,ADE3,?
AC,AFT,?
AC,AL,?
AC,ANK2,?
AC,ARET,?
AC,ATG1,?
AC,BAB2,?
AC,BEAT-VII,?
AC,BRAT,?
AC,BYS,?
AC,C15,?
AC,CDI,?
AC,CENG1A,?
AC,CG10005,?
AC,CG10151,?
AC,CG10359,?
AC,CG10440,?
AC,CG10483,?
AC,CG10565,?
AC,CG10576,?
AC,CG10602,?
AC,CG11180,?
AC,CG11255,?
AC,CG11334,?
AC,CG11417,?
AC,CG11555,?
AC,CG11660,?
AC,CG11859,?
AC,CG11920,?
AC,CG11980,?
AC,CG12050,?
AC,CG12128,?
AC,CG12134,?
AC,CG12288,?
AC,CG12301,?
AC,CG12499,?
AC,CG13096,?
AC,CG13097,?
AC,CG13624,?
AC,CG13830,?
AC,CG13928,?
AC,CG14210,?
AC,CG14230,?
AC,CG14632,?
AC,CG14869,?
AC,CG15093,?
AC,CG1518,?
AC,CG1542,?
AC,CG15743,?
AC,CG1662,?
AC,CG1671,?
AC,CG16812,?
AC,CG1703,?
AC,CG17278,?
AC,CG17321,?
AC,CG1785,?
AC,CG17896,?
AC,CG18273,?
AC,CG1902,?
AC,CG31120,?
AC,CG31221,?
AC,CG31814,?
AC,CG31869,?
AC,CG31900,?
AC,CG32344,?
AC,CG32409,?
AC,CG32447,?
AC,CG32698,?
AC,CG33291,?
AC,CG3335,?
AC,CG34114,?
AC,CG34400,?
AC,CG3663,?
AC,CG3756,?
AC,CG3837,?
AC,CG4069,?
AC,CG42313,?
AC,CG42673,?
AC,CG42683,?
AC,CG42741,?
AC,CG4554,?
AC,CG4766,?
AC,CG4806,?
AC,CG5001,?
AC,CG5018,?
AC,CG5033,?
AC,CG5224,?
AC,CG5397,?
AC,CG5510,?
AC,CG5589,?
AC,CG5630,?
AC,CG5645,?
AC,CG5706,?
AC,CG5728,?
AC,CG5903,?
AC,CG6073,?
AC,CG6388,?
AC,CG6712,?
AC,CG6726,?
AC,CG6937,?
AC,CG7082,?
AC,CG7246,?
AC,CG7728,?
AC,CG7839,?
AC,CG7845,?
AC,CG7993,?
AC,CG8064,?
AC,CG8368,?
AC,CG8483,?
AC,CG8545,?
AC,CG8607,?
AC,CG8611,?
AC,CG9004,?
AC,CG9246,?
AC,CG9253,?
AC,CG9281,?
AC,CG9300,?
AC,CG9319,?
AC,CG9630,?
AC,CG9760,?
AC,CG9772,?
AC,CG9996,?
AC,CLU,?
AC,CORN,?
AC,CPB,?
AC,DGK,?
AC,DISCO-R,?
AC,DLL,?
AC,DPP,?
AC,DPR12,?
AC,DPR8,?
AC,DPR,?
AC,DRM,?
AC,DSX-C73A,?
AC,DSX,?
AC,E5,?
AC,EAP,?
AC,EIF5B,?
AC,EIF6,?
AC,FEM-1,?
AC,FILI,?
AC,FJ,?
AC,FK506-BP1,?
AC,FKBP13,?
AC,FNG,?
AC,GK,?
AC,GP150,?
AC,GRANNY-SMITH,?
AC,GSB-N,?
AC,GV1,?
