,Source,Target,Interaction
0,XP_007245269.3,XP_022528737.1,-
1,XP_007245269.3,XP_007229906.3,?
3,XP_007245269.3,XP_007233103.2,+
4,XP_007245269.3,XP_049339604.1,?
5,XP_007254055.2,XP_022528737.1,+
6,XP_007254055.2,XP_007229224.3,-
7,XP_007254055.2,XP_007253735.3,-
8,XP_007254055.2,XP_007228423.2,+
9,XP_007254055.2,XP_007229906.3,+
12,XP_007254055.2,XP_007255737.1,+
13,XP_007254055.2,XP_007259538.1,+
14,XP_007254055.2,XP_007259538.1,-
15,XP_007254055.2,XP_007251431.2,+
16,XP_007254055.2,XP_049339604.1,+
20,XP_007230096.3,XP_007234374.2,?
21,XP_007230096.3,XP_022534428.2,+
22,XP_007230096.3,XP_015462655.3,?
24,XP_007230096.3,XP_007255363.2,-
25,XP_007230096.3,XP_007254687.2,?
26,XP_007230096.3,XP_007234030.1,+
27,XP_007230096.3,XP_007251902.3,+
28,XP_007230096.3,XP_007251902.3,-
29,XP_007230096.3,XP_007251902.3,?
31,XP_007230096.3,XP_007258757.3,+
32,XP_007230096.3,XP_007258757.3,?
34,XP_007230096.3,XP_007259928.1,?
36,XP_007230096.3,XP_022536473.2,?
39,XP_007230096.3,XP_022538916.2,?
41,XP_007230096.3,XP_007233103.2,?
42,XP_007230096.3,XP_007255027.1,+
43,XP_007230096.3,XP_022537196.1,+
44,XP_007230096.3,XP_049340749.1,+
45,XP_007230096.3,XP_022523954.2,?
46,XP_022541680.2,XP_007230096.3,+
47,XP_022541680.2,XP_007240831.3,-
48,XP_022541680.2,XP_022540295.2,-
49,XP_022541680.2,XP_022521688.2,-
51,XP_049322875.1,XP_007234915.3,?
53,XP_022537011.2,XP_022535517.1,-
54,XP_022536604.2,XP_007252983.1,-
55,XP_022536604.2,XP_022538368.1,-
56,XP_022536604.2,XP_022527170.1,?
57,XP_022536604.2,XP_022534377.2,?
58,XP_022536604.2,XP_049332012.1,-
59,XP_022536604.2,XP_022532238.2,?
60,XP_022536604.2,XP_007230681.2,?
61,XP_022536604.2,XP_007233103.2,-
62,XP_022536604.2,XP_022536402.2,+
63,XP_022536604.2,XP_007257380.3,-
64,XP_022536604.2,XP_007245479.2,-
65,XP_022536604.2,XP_007245479.2,?
66,XP_022536604.2,XP_049318734.1,-
69,XP_007229800.1,XP_007256957.3,-
70,XP_007229800.1,XP_049323949.1,+
72,XP_007229800.1,XP_007230234.3,+
73,XP_007229800.1,XP_022526565.1,+
76,XP_007228437.3,XP_007252983.1,+
77,XP_007228437.3,XP_007252983.1,-
78,XP_007228437.3,XP_022525246.1,?
79,XP_007228437.3,XP_022524862.2,+
80,XP_007228437.3,XP_007247583.3,+
81,XP_007228437.3,XP_007242161.3,?
82,XP_007228437.3,XP_022525406.2,?
83,XP_007228437.3,XP_007233751.1,-
84,XP_007228437.3,XP_007256780.1,-
85,XP_007228437.3,XP_049341536.1,+
86,XP_007228437.3,XP_007240198.3,+
87,XP_007228437.3,XP_007240198.3,?
88,XP_007228437.3,XP_049326984.1,-
89,XP_007228437.3,XP_007259840.3,?
90,XP_007228437.3,XP_049338695.1,+
92,XP_007228437.3,XP_007259858.2,?
93,XP_007228437.3,XP_007229906.3,+
94,XP_007228437.3,XP_007229906.3,-
96,XP_007228437.3,XP_007237707.3,-
98,XP_007228437.3,XP_049333232.1,?
99,XP_007228437.3,XP_007245655.1,+
100,XP_007228437.3,XP_022534996.2,-
101,XP_007228437.3,XP_022522627.2,+
102,XP_007228437.3,XP_007251466.3,?
103,XP_007228437.3,XP_049329469.1,+
104,XP_007228437.3,XP_022518742.2,+
105,XP_007228437.3,XP_022518742.2,?
106,XP_007228437.3,XP_015462408.3,+
107,XP_007228437.3,XP_022539903.2,+
108,XP_007228437.3,XP_007244105.2,?
109,XP_007228437.3,XP_049329031.1,?
110,XP_007228437.3,XP_022525532.2,?
111,XP_007228437.3,XP_007251952.2,?
112,XP_007228437.3,XP_022528924.2,?
113,XP_007228437.3,XP_007240831.3,?
114,XP_007228437.3,XP_007239238.2,?
118,XP_007228437.3,XP_007246206.3,+
119,XP_007228437.3,XP_022542115.1,?
120,XP_007228437.3,XP_007259538.1,+
122,XP_007228437.3,XP_022525439.2,+
123,XP_007228437.3,XP_007246739.2,?
130,XP_007228437.3,XP_007238719.3,?
131,XP_007228437.3,XP_022521344.2,?
133,XP_007228437.3,XP_007233103.2,?
134,XP_007228437.3,XP_007245018.3,+
135,XP_007228437.3,XP_007258907.2,?
136,XP_007228437.3,XP_049323949.1,-
137,XP_007228437.3,XP_007235299.1,+
138,XP_007228437.3,XP_007235299.1,?
140,XP_007228437.3,XP_007228959.1,-
141,XP_007228437.3,XP_022534166.2,+
143,XP_007228437.3,XP_007240517.1,?
146,XP_007228437.3,XP_007244227.3,?
