Source_ortolog,Target_ortolog,Interaction,ID_source,ID_target,Grupo_interaccion
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,SPTAN1,?,30,25,30-25
ETV6,ETV6,?,30,30,30-30
ETV6,ETV6,?,30,30,30-30
ETV6,ETV6,?,30,30,30-30
ETV6,ETV6,?,30,30,30-30
ETV6,ETV6,?,30,30,30-30
ETV6,ETV6,?,30,30,30-30
ETV6,ETV6,?,30,30,30-30
ETV6,ETV6,?,30,30,30-30
ETV6,ETV6,?,30,30,30-30
ETV6,ETV6,?,30,30,30-30
ETV6,ETV6,?,30,30,30-30
ETV6,ETV6,?,30,30,30-30
ETV6,ETV6,?,30,30,30-30
ETV6,ETV6,?,30,30,30-30
ETV6,ETV6,?,30,30,30-30
ETV6,ETV6,?,30,30,30-30
ETV6,PPP1R13BB,?,30,49,30-49
ETV6,PPP1R13BB,?,30,49,30-49
ETV6,PPP1R13BB,?,30,49,30-49
ETV6,PPP1R13BB,?,30,49,30-49
ETV6,TGFBR1B,?,30,67,30-67
ETV6,ACVR1BA,?,30,67,30-67
ETV6,TGFBR1B,?,30,67,30-67
ETV6,ACVR1BA,?,30,67,30-67
ETV6,TGFBR1B,?,30,67,30-67
ETV6,ACVR1BA,?,30,67,30-67
ETV6,TGFBR1B,?,30,67,30-67
ETV6,ACVR1BA,?,30,67,30-67
ETV6,PARD3AB,?,30,70,30-70
ETV6,PARD3AB,?,30,70,30-70
ETV6,PARD3AB,?,30,70,30-70
ETV6,PARD3AB,?,30,70,30-70
ETV6,PARD3AB,?,30,70,30-70
ETV6,PARD3AB,?,30,70,30-70
ETV6,PARD3AB,?,30,70,30-70
ETV6,PARD3AB,?,30,70,30-70
ETV6,TUBB2B,?,30,79,30-79
ETV6,TUBB4BL,?,30,79,30-79
ETV6,ZGC:65894,?,30,79,30-79
ETV6,TUBB5,?,30,79,30-79
ETV6,LOC103041736,?,30,79,30-79
ETV6,TUBB6,?,30,79,30-79
ETV6,TUBB2B,?,30,79,30-79
ETV6,TUBB4BL,?,30,79,30-79
ETV6,ZGC:65894,?,30,79,30-79
ETV6,TUBB5,?,30,79,30-79
ETV6,LOC103041736,?,30,79,30-79
ETV6,TUBB6,?,30,79,30-79
ETV6,TUBB2B,?,30,79,30-79
ETV6,TUBB4BL,?,30,79,30-79
ETV6,ZGC:65894,?,30,79,30-79
ETV6,TUBB5,?,30,79,30-79
ETV6,LOC103041736,?,30,79,30-79
ETV6,TUBB6,?,30,79,30-79
ETV6,TUBB2B,?,30,79,30-79
ETV6,TUBB4BL,?,30,79,30-79
