,Source_ortolog,Target_ortolog,Interaction,ID_source,ID_target,Grupo_interaccion
0,AATF,CDKN1D,?,2,274,2-274
1,AATF,CDKN1A,?,2,274,2-274
2,AATF,CDKN1A,?,2,274,2-274
3,AATF,MYCB,+,2,1060,2-1060
4,AATF,MYCA,+,2,1060,2-1060
5,AATF,TP53,?,2,1709,2-1709
6,AATF,TP53,?,2,1709,2-1709
7,AATF,TP53,?,2,1709,2-1709
8,AATF,TP53,?,2,1709,2-1709
9,ABL1,BCL2B,-,16,149,16-149
10,ABL1,BCL2A,-,16,149,16-149
11,ABL1,BCL6AA,-,16,151,16-151
12,ABL1,BCL6AA,-,16,151,16-151
13,ABL1,BCL6AA,-,16,151,16-151
14,ABL1,BCL6AA,-,16,151,16-151
15,ABL1,CCND2A,+,16,230,16-230
16,ABL1,CDKN1D,+,16,274,16-274
17,ABL1,CDKN1A,+,16,274,16-274
18,ABL1,CDKN1A,+,16,274,16-274
19,ABL1,JUN,+,16,864,16-864
20,ABL1,JUN,-,16,864,16-864
21,ABL1,PIM1,+,16,1251,16-1251
22,ABL1,TP53,+,16,1709,16-1709
23,ABL1,TP53,+,16,1709,16-1709
24,ABL1,TP53,+,16,1709,16-1709
25,ABL1,TP53,+,16,1709,16-1709
26,LOC103045566,ABCG2D,?,59,13,59-13
27,LOC103045566,ABCG2A,?,59,13,59-13
28,AHR1B,ABCG2D,?,59,13,59-13
29,AHR1B,ABCG2A,?,59,13,59-13
30,LOC103045566,AHRRB,+,59,60,59-60
31,AHR1B,AHRRB,+,59,60,59-60
32,LOC103045566,CA9,-,59,192,59-192
33,AHR1B,CA9,-,59,192,59-192
34,LOC103045566,CCND1,?,59,229,59-229
35,AHR1B,CCND1,?,59,229,59-229
36,LOC103045566,CCNG2,+,59,233,59-233
37,AHR1B,CCNG2,+,59,233,59-233
38,LOC103045566,LOC103036816,+,59,387,59-387
39,LOC103045566,LOC103030149,+,59,387,59-387
40,AHR1B,LOC103036816,+,59,387,59-387
41,AHR1B,LOC103030149,+,59,387,59-387
42,LOC103045566,LOC103036816,?,59,387,59-387
43,LOC103045566,LOC103030149,?,59,387,59-387
44,AHR1B,LOC103036816,?,59,387,59-387
45,AHR1B,LOC103030149,?,59,387,59-387
46,LOC103045566,FOSAB,?,59,590,59-590
47,AHR1B,FOSAB,?,59,590,59-590
48,LOC103045566,LOC103026214,?,59,818,59-818
49,LOC103045566,LOC111194997,?,59,818,59-818
50,AHR1B,LOC103026214,?,59,818,59-818
51,AHR1B,LOC111194997,?,59,818,59-818
52,LOC103045566,MFSD2AA,?,59,1018,59-1018
53,LOC103045566,MFSD2AB,?,59,1018,59-1018
54,AHR1B,MFSD2AA,?,59,1018,59-1018
55,AHR1B,MFSD2AB,?,59,1018,59-1018
56,LOC103045566,MYCB,?,59,1060,59-1060
57,LOC103045566,MYCA,?,59,1060,59-1060
58,AHR1B,MYCB,?,59,1060,59-1060
59,AHR1B,MYCA,?,59,1060,59-1060
60,LOC103045566,PCNA,+,59,1199,59-1199
61,AHR1B,PCNA,+,59,1199,59-1199
62,LOC103045566,LOC103026744,+,59,1756,59-1756
63,LOC103045566,LOC103026744,+,59,1756,59-1756
64,LOC103045566,LOC103026744,+,59,1756,59-1756
65,LOC103045566,LOC103026744,+,59,1756,59-1756
66,LOC103045566,LOC103026744,+,59,1756,59-1756
67,LOC103045566,LOC103026744,+,59,1756,59-1756
68,LOC103045566,LOC103026744,+,59,1756,59-1756
69,LOC103045566,LOC103026744,+,59,1756,59-1756
70,LOC103045566,LOC103026744,+,59,1756,59-1756
71,LOC103045566,LOC103026744,+,59,1756,59-1756
72,LOC103045566,LOC103026744,+,59,1756,59-1756
73,AHR1B,LOC103026744,+,59,1756,59-1756
74,AHR1B,LOC103026744,+,59,1756,59-1756
75,AHR1B,LOC103026744,+,59,1756,59-1756
76,AHR1B,LOC103026744,+,59,1756,59-1756
77,AHR1B,LOC103026744,+,59,1756,59-1756
78,AHR1B,LOC103026744,+,59,1756,59-1756
79,AHR1B,LOC103026744,+,59,1756,59-1756
80,AHR1B,LOC103026744,+,59,1756,59-1756
81,AHR1B,LOC103026744,+,59,1756,59-1756
82,AHR1B,LOC103026744,+,59,1756,59-1756
83,AHR1B,LOC103026744,+,59,1756,59-1756
84,LOC103045566,LOC103027829,?,59,1758,59-1758
85,LOC103045566,LOC103027829,?,59,1758,59-1758
86,LOC103045566,LOC103027829,?,59,1758,59-1758
87,LOC103045566,LOC103026744,?,59,1758,59-1758
88,LOC103045566,LOC103026744,?,59,1758,59-1758
89,LOC103045566,LOC103026744,?,59,1758,59-1758
90,LOC103045566,LOC103026744,?,59,1758,59-1758
91,AHR1B,LOC103027829,?,59,1758,59-1758
92,AHR1B,LOC103027829,?,59,1758,59-1758
93,AHR1B,LOC103027829,?,59,1758,59-1758
94,AHR1B,LOC103026744,?,59,1758,59-1758
95,AHR1B,LOC103026744,?,59,1758,59-1758
96,AHR1B,LOC103026744,?,59,1758,59-1758
97,AHR1B,LOC103026744,?,59,1758,59-1758
98,LOC103034758,LOC103045566,+,61,59,61-59
99,LOC103034758,AHR1B,+,61,59,61-59
100,LOC103034758,GREB1,-,61,675,61-675
101,LOC103034758,GREB1,-,61,675,61-675
102,LOC103034758,GREB1,-,61,675,61-675
103,LOC103034758,NFKB2,-,61,1111,61-1111
104,LOC103034758,NFKB2,-,61,1111,61-1111
105,AIRE,LOC103028684,?,62,301,62-301
106,AIRE,CHRNA1,?,62,301,62-301
107,APBB1,GMPS,-,88,668,88-668
108,APBB1,GMPS,-,88,668,88-668
109,APC,LOC103026930,-,89,66,89-66
110,APC,AKT1,-,89,66,89-66
111,APC,DLG1A,?,89,430,89-430
112,APC,DLG1A,?,89,430,89-430
113,APC,DLG1B,?,89,430,89-430
114,APC,DLG1A,?,89,430,89-430
115,APC,DNMT1,-,89,446,89-446
116,APC,F8,?,89,543,89-543
117,APC,KLF4,?,89,892,89-892
