,Source_ortolog,Target_ortolog,Interaction,ID_source,ID_target,Grupo_interaccion
0,AIRE,BMP2A,?,35,94,35-94
1,ANKRD1A,MYL2B,-,48,648,48-648
2,ANKRD1A,MYL2A,-,48,648,48-648
3,APBB1,LRP1AB,-,51,572,51-572
4,APBB1,LRP1AB,-,51,572,51-572
5,APBB1,LRP1AB,-,51,572,51-572
6,APBB1,LRP1AB,-,51,572,51-572
7,APBB1,LRP1AB,-,51,572,51-572
8,APBB1,LRP1AA,-,51,572,51-572
9,APBB1,LRP1AA,-,51,572,51-572
10,APBB1,LRP1AA,-,51,572,51-572
11,APBB1,LRP1AA,-,51,572,51-572
12,APBB1,LRP1AB,-,51,572,51-572
13,APBB1,LRP1AB,-,51,572,51-572
14,APBB1,LRP1AB,-,51,572,51-572
15,APBB1,LRP1AB,-,51,572,51-572
16,APBB1,LRP1AB,-,51,572,51-572
17,APBB1,LRP1AA,-,51,572,51-572
18,APBB1,LRP1AA,-,51,572,51-572
19,APBB1,LRP1AA,-,51,572,51-572
20,APBB1,LRP1AA,-,51,572,51-572
21,APBB1,NOTCH1B,?,51,697,51-697
22,APBB1,NOTCH1B,?,51,697,51-697
23,ARID3A,SI:CH73-217N20.1,?,53,188,53-188
24,ARID3A,LOC107197146,?,53,188,53-188
25,ARL6IP5B,PARP1,-,56,742,56-742
26,ARL6IP5B,XRCC1,+,56,1103,56-1103
27,ARL6IP5B,XRCC1,+,56,1103,56-1103
28,ARL6IP5B,XRCC1,+,56,1103,56-1103
29,ARL6IP5B,XRCC1,+,56,1103,56-1103
30,ARL6IP5B,XRCC1,+,56,1103,56-1103
31,ARXA,KDM5C,?,58,531,58-531
32,ARXA,KDM5C,?,58,531,58-531
33,ARXA,KDM5C,?,58,531,58-531
34,ARXA,SHHA,+,58,907,58-907
35,ARXA,SHHB,+,58,907,58-907
36,ASCL1A,CDKN2D,+,60,154,60-154
37,ASCL1A,DLC,?,60,253,60-253
38,ASCL1A,DLL4,+,60,254,60-254
39,ASCL1A,PDGFRA,+,60,757,60-757
40,ASCL1A,PHOX2A,+,60,771,60-771
41,ASCL1A,LOC103021440,+,60,876,60-876
42,ASCL1A,RND3A,+,60,876,60-876
43,ASCL1A,TPH2,+,60,1046,60-1046
44,ASCL1A,TPH2,+,60,1046,60-1046
45,ASH1L,TGFB1A,?,61,1017,61-1017
46,ASH1L,TGFB1B,?,61,1017,61-1017
47,ASH1L,TGFB1A,?,61,1017,61-1017
48,ASH1L,TGFB1B,?,61,1017,61-1017
49,ATF3,ATF3,-,63,63,63-63
50,ATF3,CCND1,+,63,129,63-129
51,ATF3,GCK,?,63,384,63-384
52,ATF3,PDX1,-,63,761,63-761
53,ATF3,SORT1A,-,63,953,63-953
54,ATF3,SORT1B,-,63,953,63-953
55,ATF6,HSPA5,+,64,463,64-463
56,ATF6,WBP1,+,64,1089,64-1089
57,BACH2B,PRDM1A,-,76,809,76-809
58,BACH2B,PRDM1A,-,76,809,76-809
59,BARX2,ACTC1A,?,79,20,79-20
60,BARX2,ACTA1A,?,79,20,79-20
61,BARX2,ACTA1B,?,79,20,79-20
62,BARX2,ACTC2,?,79,20,79-20
63,BARX2,ACTC1B,?,79,20,79-20
