,Unnamed: 0,Source,Target,Interaction
0,243,NP_001278181.1,XP_022527546.2,+
1,633,NP_001278185.1,XP_007234217.2,-
2,632,NP_001278185.1,XP_007237377.2,?
3,634,NP_001278185.1,XP_007248745.2,?
4,631,NP_001278185.1,XP_007259888.1,+
5,630,NP_001278185.1,XP_015462112.3,+
6,6874,NP_001278193.1,XP_007244763.3,?
7,6872,NP_001278193.1,XP_049318691.1,-
8,6870,NP_001306894.1,NP_001278181.1,-
9,5437,NP_001306894.1,NP_001306894.1,+
10,5419,NP_001306894.1,XP_007229532.2,-
11,6885,NP_001306894.1,XP_007231628.2,-
12,5412,NP_001306894.1,XP_007231643.3,+
13,5423,NP_001306894.1,XP_007233695.2,?
14,6872,NP_001306894.1,XP_007234058.2,+
15,5426,NP_001306894.1,XP_007244428.2,?
16,5427,NP_001306894.1,XP_007246520.2,+
17,6869,NP_001306894.1,XP_007246903.3,+
18,6889,NP_001306894.1,XP_007250429.3,+
19,5431,NP_001306894.1,XP_007251793.3,+
20,5429,NP_001306894.1,XP_007252613.1,+
21,5435,NP_001306894.1,XP_007253071.3,?
22,5411,NP_001306894.1,XP_007254687.2,-
23,5436,NP_001306894.1,XP_007255834.1,+
24,6867,NP_001306894.1,XP_007257299.3,+
25,6886,NP_001306894.1,XP_015457861.2,-
26,5417,NP_001306894.1,XP_022517988.2,?
27,5430,NP_001306894.1,XP_022521095.1,+
28,6877,NP_001306894.1,XP_022522124.1,+
29,5418,NP_001306894.1,XP_022522949.2,?
30,6873,NP_001306894.1,XP_022525756.1,+
31,5410,NP_001306894.1,XP_022527170.1,+
32,5413,NP_001306894.1,XP_022534414.2,+
33,6881,NP_001306894.1,XP_049321660.1,+
34,6880,NP_001306894.1,XP_049321798.1,+
35,6875,NP_001306894.1,XP_049325660.1,+
36,6874,NP_001306894.1,XP_049326154.1,-
37,5420,NP_001306894.1,XP_049336983.1,+
38,6887,NP_001306894.1,XP_049341971.1,?
39,5443,XP_007227779.3,XP_022537979.1,-
40,4980,XP_007227806.1,XP_007227886.2,+
41,4979,XP_007227806.1,XP_007249126.1,-
42,4977,XP_007227806.1,XP_007259060.2,+
43,3951,XP_007227817.2,XP_007249214.1,?
44,6617,XP_007227822.1,XP_007254490.3,+
45,6616,XP_007227822.1,XP_022531208.2,-
46,7049,XP_007227838.1,XP_007228735.2,+
47,7050,XP_007227838.1,XP_007232869.2,+
48,7052,XP_007227838.1,XP_007236882.3,?
49,9334,XP_007227838.1,XP_007237827.2,?
50,9335,XP_007227838.1,XP_022532015.2,-
51,3660,XP_007227846.3,XP_007260121.1,-
52,3659,XP_007227846.3,XP_049330585.1,-
53,6646,XP_007227923.2,XP_007230953.1,+
54,6488,XP_007227935.2,XP_007229906.3,+
55,8439,XP_007227935.2,XP_007230395.2,+
56,8431,XP_007227935.2,XP_007235976.1,+
57,8435,XP_007227935.2,XP_007244808.3,+
58,8437,XP_007227935.2,XP_007254206.3,+
59,6487,XP_007227935.2,XP_007254687.2,-
60,8436,XP_007227935.2,XP_007255027.1,+
61,8432,XP_007227935.2,XP_007258982.1,+
62,6491,XP_007227935.2,XP_022519420.2,-
63,8433,XP_007227935.2,XP_022523968.2,+
64,8434,XP_007227935.2,XP_022538053.2,+
65,8430,XP_007227935.2,XP_022539296.1,?
66,6490,XP_007227935.2,XP_049321496.1,?
67,8438,XP_007227935.2,XP_049339604.1,-
68,1706,XP_007227973.3,XP_007227885.1,?
69,2539,XP_007227973.3,XP_007229224.3,+
70,1708,XP_007227973.3,XP_007231659.3,+
71,1710,XP_007227973.3,XP_007232251.1,?
72,1704,XP_007227973.3,XP_007232869.2,+
73,2551,XP_007227973.3,XP_007235107.1,+
74,1699,XP_007227973.3,XP_007243593.2,-
75,2546,XP_007227973.3,XP_007244078.1,+
76,1702,XP_007227973.3,XP_007249126.1,+
77,2540,XP_007227973.3,XP_007250634.2,?
78,1696,XP_007227973.3,XP_007252122.1,+
79,1709,XP_007227973.3,XP_007253071.3,?
80,1694,XP_007227973.3,XP_007259060.2,+
81,2552,XP_007227973.3,XP_007259538.1,?
82,2555,XP_007227973.3,XP_015460347.1,+
83,2554,XP_007227973.3,XP_022520156.2,+
84,2549,XP_007227973.3,XP_022520632.1,+
85,2556,XP_007227973.3,XP_022522599.2,-
86,2557,XP_007227973.3,XP_022525991.2,+
87,2543,XP_007227973.3,XP_049320164.1,?
88,1698,XP_007227973.3,XP_049321270.1,?
89,2541,XP_007227973.3,XP_049326984.1,-
90,3343,XP_007228106.2,XP_007231405.2,+
91,3356,XP_007228106.2,XP_007250611.2,?
92,3346,XP_007228106.2,XP_022520624.2,+
93,8735,XP_007228115.1,XP_007232923.3,?
94,6770,XP_007228115.1,XP_007241080.2,+
95,8736,XP_007228115.1,XP_022522627.2,-
96,8737,XP_007228115.1,XP_049340370.1,-
97,2982,XP_007228165.2,XP_007229906.3,+
98,4308,XP_007228165.2,XP_007229949.3,+
99,2981,XP_007228165.2,XP_007230144.3,?
100,2998,XP_007228165.2,XP_007232868.2,+
101,2999,XP_007228165.2,XP_007232869.2,-
102,3010,XP_007228165.2,XP_007233449.3,-
103,3015,XP_007228165.2,XP_007234569.2,+
104,2991,XP_007228165.2,XP_007234616.1,+
105,3022,XP_007228165.2,XP_007234736.1,?
106,3001,XP_007228165.2,XP_007234897.1,+
107,2980,XP_007228165.2,XP_007240198.3,?
108,2997,XP_007228165.2,XP_007244331.2,+
109,2987,XP_007228165.2,XP_007246023.1,+
110,3004,XP_007228165.2,XP_007246827.1,?
111,3003,XP_007228165.2,XP_007247247.1,?
112,3005,XP_007228165.2,XP_007247821.2,+
113,2996,XP_007228165.2,XP_007248426.3,+
114,3000,XP_007228165.2,XP_007249994.3,?
115,2978,XP_007228165.2,XP_007254687.2,?
116,4309,XP_007228165.2,XP_007255674.3,?
117,2973,XP_007228165.2,XP_007256097.2,?
118,2992,XP_007228165.2,XP_007258700.2,-
119,3012,XP_007228165.2,XP_007260428.2,+
120,2985,XP_007228165.2,XP_007260847.1,?
121,2977,XP_007228165.2,XP_022519592.2,?
122,2968,XP_007228165.2,XP_022520514.1,?
123,2990,XP_007228165.2,XP_022522014.1,?
124,3019,XP_007228165.2,XP_022522673.1,?
125,2976,XP_007228165.2,XP_022523460.1,?
126,2989,XP_007228165.2,XP_022524365.2,?
127,3013,XP_007228165.2,XP_022525015.2,+
128,3021,XP_007228165.2,XP_022526406.2,+
129,2975,XP_007228165.2,XP_022528807.2,?
130,3020,XP_007228165.2,XP_022531349.2,?
131,3008,XP_007228165.2,XP_022531737.2,+
132,3016,XP_007228165.2,XP_022532397.1,+
133,2974,XP_007228165.2,XP_022532935.2,?
134,3007,XP_007228165.2,XP_022534036.2,?
135,2969,XP_007228165.2,XP_022535157.1,+
136,2971,XP_007228165.2,XP_022540531.2,+
137,2995,XP_007228165.2,XP_022541820.2,?
138,3017,XP_007228165.2,XP_049323841.1,?
139,2967,XP_007228165.2,XP_049326198.1,+
140,2986,XP_007228165.2,XP_049339632.1,?
141,1766,XP_007228242.2,XP_007228165.2,-
142,2581,XP_007228242.2,XP_007229906.3,-
143,2583,XP_007228242.2,XP_007235360.1,-
144,2584,XP_007228242.2,XP_007245354.3,-
145,1767,XP_007228242.2,XP_007247821.2,-
146,2582,XP_007228242.2,XP_049332012.1,-
147,4610,XP_007228258.3,NP_001306894.1,+
148,4605,XP_007228258.3,XP_007239105.3,-
149,4607,XP_007228258.3,XP_007242815.2,?
150,5919,XP_007228258.3,XP_007250066.2,-
151,4611,XP_007228258.3,XP_007251815.1,?
152,4608,XP_007228258.3,XP_007255027.1,-
153,5921,XP_007228258.3,XP_007259922.3,-
154,4603,XP_007228258.3,XP_022527170.1,?
155,5920,XP_007228258.3,XP_049340485.1,?
156,5112,XP_007228304.1,XP_007253959.3,?
157,5113,XP_007228304.1,XP_015457861.2,+
158,9051,XP_007228381.1,XP_007228126.2,-
159,9025,XP_007228381.1,XP_007228437.3,-
160,9026,XP_007228381.1,XP_007229224.3,?
161,9057,XP_007228381.1,XP_007229851.2,?
162,9033,XP_007228381.1,XP_007229906.3,?
163,9045,XP_007228381.1,XP_007229949.3,+
164,6896,XP_007228381.1,XP_007231628.2,?
165,9060,XP_007228381.1,XP_007233103.2,-
166,9062,XP_007228381.1,XP_007233695.2,-
167,9028,XP_007228381.1,XP_007235976.1,-
168,9048,XP_007228381.1,XP_007241889.1,-
169,9054,XP_007228381.1,XP_007244056.1,-
170,6890,XP_007228381.1,XP_007244302.2,+
171,9035,XP_007228381.1,XP_007246023.1,+
172,9049,XP_007228381.1,XP_007246206.3,-
173,9076,XP_007228381.1,XP_007246237.3,-
174,9034,XP_007228381.1,XP_007247259.3,-
175,9072,XP_007228381.1,XP_007249214.1,+
176,9068,XP_007228381.1,XP_007249557.1,-
177,6887,XP_007228381.1,XP_007250218.2,+
178,9044,XP_007228381.1,XP_007251055.1,+
179,9039,XP_007228381.1,XP_007254153.2,+
180,6882,XP_007228381.1,XP_007254590.3,+
181,9067,XP_007228381.1,XP_007257380.3,+
182,9059,XP_007228381.1,XP_007257902.3,-
