Source,Target,Interaction
AATF,CDKN1D,?
AATF,CDKN1D,?
AATF,MYCB,+
AATF,MYCB,+
AATF,TP53,?
ABL1,BCL2B,-
ABL1,BCL2B,-
ABL1,BCL6AA,-
ABL1,CCND2A,+
ABL1,CDKN1D,+
ABL1,CDKN1D,+
ABL1,JUND,+
ABL1,PIM1,+
ABL1,TP53,+
LOC103045566,ABCG2D,?
LOC103045566,ABCG2D,?
LOC103045566,AHRRB,+
LOC103045566,CA9,-
LOC103045566,CCND1,?
LOC103045566,CCNG2,+
LOC103045566,FOSAB,?
LOC103045566,LOC103026214,?
LOC103045566,LOC103026744,+
LOC103045566,LOC103027829,?
LOC103045566,LOC103036816,+
LOC103045566,LOC103036816,+
LOC103045566,LOC103026214,?
LOC103045566,MFSD2AA,?
LOC103045566,MFSD2AA,?
LOC103045566,MYCB,?
LOC103045566,MYCB,?
LOC103045566,PCNA,+
AIRE,BMP4,?
AIRE,LOC103028684,?
AIRE,LOC103028684,?
ANKRD1A,MYL2B,-
ANKRD1A,MYL2B,-
APBB1,GMPS,-
APBB1,LRP1AB,-
APBB1,LRP1AB,-
APBB1,NOTCH1B,?
APC,LOC103026930,-
APC,DLG1B,?
APC,DLG1B,?
APC,DNMT1,-
APC,F8,?
APC,KLF4,?
APC,LOC103026930,-
APC,LOC103026958,+
APC,LOC103026958,+
APC,MYCB,-
APC,MYCB,-
APC,ODC1,-
APC,PTGS2B,-
APC,SGK1,-
APEX1,LOC103026652,-
APEX1,RELA,+
APEX1,SLC5A5,+
ARID1AA,CDKN1D,?
ARID1AA,CDKN1D,?
ARID1AA,SMAD3B,?
ARID1AA,SMAD3B,?
ARID1AA,CDKN1D,?
ARID1AA,CDKN1D,?
ARID1AA,SMAD3B,?
ARID1AA,SMAD3B,?
ARID3A,CDC6,?
ARID3A,CDK1,?
ARID3A,E2F1,?
ARID3A,SI:CH73-217N20.1,?
ARID3A,SI:CH73-217N20.1,?
ARL6IP5B,PARP1,-
ARL6IP5B,XRCC1,+
ARNT2,ABR,?
ARNT2,ADAM10A,?
ARNT2,ADD1,?
ARNT2,LOC103041141,?
ARNT2,ASH2L,?
ARNT2,ABR,?
ARNT2,BICD2,?
ARNT2,BICD2,?
ARNT2,BRD3B,?
ARNT2,C11H2ORF69,?
ARNT2,CAMTA1B,?
ARNT2,CAMTA1B,?
ARNT2,CAMTA1B,?
ARNT2,CLASP2,?
ARNT2,CLASP2,?
ARNT2,CSNK1A1,?
ARNT2,CTNNB1,?
ARNT2,DEAF1,?
ARNT2,DLG1B,?
ARNT2,DLG1B,?
ARNT2,DLG1B,?
ARNT2,DNAJC5GA,?
ARNT2,DYNC1I2A,?
ARNT2,DYNC1I2A,?
ARNT2,EIF4G2B,?
ARNT2,ETS1,?
ARNT2,ETS1,?
ARNT2,LOC103026919,?
ARNT2,FAXCA,?
ARNT2,FBXL14A,?
ARNT2,FBXL14A,?
ARNT2,LOC103046602,?
ARNT2,LOC103046602,?
ARNT2,FSCN1A,?
ARNT2,FXR2,?
ARNT2,FXR2,?
ARNT2,FYNA,?
ARNT2,FYNA,?
ARNT2,FZD5,?
ARNT2,FZD5,?
ARNT2,GALNT1,?
ARNT2,GALNT1,?
ARNT2,GET3,?
ARNT2,GRB2B,?
ARNT2,GRB2B,?
ARNT2,GRK5L,?
ARNT2,GRK5L,?
ARNT2,GSK3BB,?
ARNT2,GSK3BB,?
ARNT2,HS6ST3A,?
ARNT2,HS6ST3A,?
ARNT2,HS6ST3A,?
ARNT2,HS6ST3A,?
ARNT2,HS6ST3A,?
ARNT2,TRIOA,?
ARNT2,LOC103035435,?
ARNT2,KIF5BB,?
ARNT2,LIMK1A,?
ARNT2,LIMS1,?
ARNT2,LOC103021658,?
ARNT2,LOC103024026,?
ARNT2,MARK3B,?
ARNT2,CLASP2,?
ARNT2,QKIA,?
ARNT2,LOC103026919,?
ARNT2,ADAM10A,?
ARNT2,FYNA,?
ARNT2,LOC103030154,?
ARNT2,MED13A,?
ARNT2,PTPRFA,?
ARNT2,CTNNB1,?
ARNT2,LOC103035435,?
ARNT2,PPP2R2D,?
ARNT2,LOC103039515,?
ARNT2,LOC103041141,?
ARNT2,RAB8A,?
ARNT2,FYNA,?
ARNT2,LIMS1,?
ARNT2,USP9,?
ARNT2,LOC103046602,?
