,Ast,a,a2,Mus,b,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
47371,Astyanax_pachon,KAG9283761.1,37104,Mus_musculus,NP_001304102.1,37104,0.0,1691.0,0.0,1691.0
39507,Astyanax_pachon,KAG9279806.1,37469,Mus_musculus,NP_694818.3,37469,0.0,1634.0,0.0,1634.0
38805,Astyanax_pachon,KAG9279440.1,37834,Mus_musculus,NP_700451.2,37834,0.0,1693.0,0.0,1693.0
39742,Astyanax_pachon,KAG9279911.1,38200,Mus_musculus,NP_694817.2,38200,0.0,1707.0,0.0,1707.0
15198,Astyanax_pachon,KAG9267313.1,A1CF,Mus_musculus,NP_001352007.1,A1CF,5.599999999999999e-268,923.0,1.13e-268,923.0
10444,Astyanax_pachon,KAG9265127.1,A2M,Mus_musculus,NP_783327.2,A2M,6.92e-265,914.0,1.46e-265,914.0
22044,Astyanax_pachon,KAG9270539.1,A2ML1,Mus_musculus,NP_783327.2,A2M,6.5e-274,944.0,1.36e-274,944.0
21576,Astyanax_pachon,KAG9270290.1,AAAS,Mus_musculus,NP_700465.2,AAAS,4.71e-153,541.0,1.04e-153,541.0
4758,Astyanax_pachon,KAG9262020.1,AACS,Mus_musculus,NP_084486.1,AACS,0.0,1080.0,0.0,1080.0
37134,Astyanax_pachon,KAG9278495.1,AADAC,Mus_musculus,NP_075872.1,AADAC,1.11e-104,380.0,2.22e-105,380.0
1470,Astyanax_pachon,KAG9260313.1,AADACL3,Mus_musculus,NP_001078972.1,AADACL3,1.75e-78,293.0,3.51e-79,293.0
29649,Astyanax_pachon,KAG9274554.1,AADAT,Mus_musculus,NP_035964.1,AADAT,3.69e-165,581.0,7.36e-166,581.0
27432,Astyanax_pachon,KAG9273193.1,AAGAB,Mus_musculus,NP_001344252.1,AAGAB,7.03e-101,367.0,1.44e-101,367.0
21857,Astyanax_pachon,KAG9270452.1,AAK1,Mus_musculus,XP_036022033.1,AAK1,1.36e-243,843.0,2.9699999999999995e-244,843.0
26654,Astyanax_pachon,KAG9272859.1,AAMDC,Mus_musculus,NP_899074.2,AAMDC,3.1499999999999998e-52,204.0,6.5e-53,204.0
36443,Astyanax_pachon,KAG9277893.1,AAMP,Mus_musculus,NP_666222.2,AAMP,6.0000000000000005e-155,547.0,1.29e-155,547.0
35480,Astyanax_pachon,KAG9277449.1,AANAT,Mus_musculus,NP_033721.1,AANAT,6.7499999999999995e-81,300.0,1.38e-81,300.0
27392,Astyanax_pachon,KAG9273173.1,AARS1,Mus_musculus,NP_666329.2,AARS1,0.0,1614.0,0.0,1614.0
3329,Astyanax_pachon,KAG9261187.1,AARS2,Mus_musculus,NP_941010.2,AARS2,0.0,1064.0,0.0,1064.0
15217,Astyanax_pachon,KAG9267317.1,AARSD1,Mus_musculus,NP_659078.1,AARSD1,9.51e-154,543.0,1.96e-154,543.0
45286,Astyanax_pachon,KAG9282751.1,AASDH,Mus_musculus,NP_001363933.1,AASDH,5.74e-175,615.0,1.11e-175,615.0
10744,Astyanax_pachon,KAG9265290.1,AASDHPPT,Mus_musculus,NP_080552.3,AASDHPPT,2.14e-93,342.0,4.7299999999999995e-94,342.0
42111,Astyanax_pachon,KAG9280946.1,AASS,Mus_musculus,NP_038958.2,AASS,0.0,1255.0,0.0,1255.0
43888,Astyanax_pachon,KAG9281985.1,AATF,Mus_musculus,XP_006533852.1,AATF,5.950000000000001e-125,448.0,9.319999999999999e-126,448.0
15456,Astyanax_pachon,KAG9267442.1,AATK,Mus_musculus,XP_006532054.1,AATK,1.2100000000000001e-247,857.0,1.9700000000000003e-248,857.0
8144,Astyanax_pachon,KAG9263867.1,ABAT,Mus_musculus,NP_766549.2,ABAT,3.59e-214,744.0,7.410000000000001e-215,744.0
962,Astyanax_pachon,KAG9260005.1,ABCA1,Mus_musculus,NP_038482.3,ABCA1,0.0,3354.0,0.0,3354.0
4633,Astyanax_pachon,KAG9261960.1,ABCA2,Mus_musculus,NP_031405.2,ABCA2,0.0,3672.0,0.0,3672.0
9367,Astyanax_pachon,KAG9264555.1,ABCA3,Mus_musculus,NP_001034670.1,ABCA3,0.0,1969.0,0.0,1969.0
34102,Astyanax_pachon,KAG9276791.1,ABCA4,Mus_musculus,NP_031404.1,ABCA4,0.0,2904.0,0.0,2904.0
16533,Astyanax_pachon,KAG9267981.1,ABCA5,Mus_musculus,NP_671752.2,ABCA5,0.0,1641.0,0.0,1641.0
47171,Astyanax_pachon,KAG9283635.1,ABCB1,Mus_musculus,NP_035206.2,ABCB1A,0.0,1590.0,0.0,1590.0
31390,Astyanax_pachon,KAG9275465.1,ABCB10,Mus_musculus,NP_062425.1,ABCB10,5.29e-239,827.0,1.1e-239,827.0
13778,Astyanax_pachon,KAG9266695.1,ABCB11,Mus_musculus,NP_001350421.1,ABCB11,0.0,1740.0,0.0,1740.0
5146,Astyanax_pachon,KAG9262305.1,ABCB6,Mus_musculus,NP_076221.1,ABCB6,1.16e-278,959.0,2.37e-279,959.0
24870,Astyanax_pachon,KAG9271887.1,ABCB7,Mus_musculus,NP_033722.1,ABCB7,0.0,1101.0,0.0,1101.0
32549,Astyanax_pachon,KAG9276103.1,ABCB8,Mus_musculus,NP_083296.2,ABCB8,1.52e-221,769.0,3.16e-222,769.0
3789,Astyanax_pachon,KAG9261464.1,ABCB9,Mus_musculus,NP_063928.2,ABCB9,3.0299999999999997e-236,818.0,5.98e-237,818.0
8436,Astyanax_pachon,KAG9264022.1,ABCC1,Mus_musculus,NP_001412107.1,ABCC1,0.0,2124.0,0.0,2124.0
13719,Astyanax_pachon,KAG9266673.1,ABCC10,Mus_musculus,NP_733780.1,ABCC10,0.0,1394.0,0.0,1394.0
2840,Astyanax_pachon,KAG9260934.1,ABCC12,Mus_musculus,NP_766500.3,ABCC12,0.0,1320.0,0.0,1320.0
1110,Astyanax_pachon,KAG9260121.1,ABCC2,Mus_musculus,NP_038834.2,ABCC2,0.0,1676.0,0.0,1676.0
16004,Astyanax_pachon,KAG9267770.1,ABCC3,Mus_musculus,NP_001350116.1,ABCC3,0.0,1854.0,0.0,1854.0
36384,Astyanax_pachon,KAG9277872.1,ABCC4,Mus_musculus,NP_001028508.2,ABCC4,0.0,1766.0,0.0,1766.0
26609,Astyanax_pachon,KAG9272842.1,ABCC5,Mus_musculus,NP_038818.2,ABCC5,0.0,2012.0,0.0,2012.0
42517,Astyanax_pachon,KAG9281118.1,ABCC8,Mus_musculus,NP_001344467.1,ABCC8,0.0,2314.0,0.0,2314.0
41311,Astyanax_pachon,KAG9280610.1,ABCC9,Mus_musculus,NP_035641.1,ABCC9,0.0,2397.0,0.0,2397.0
21012,Astyanax_pachon,KAG9270062.1,ABCD1,Mus_musculus,NP_031461.1,ABCD1,1.4999999999999999e-292,1005.0,2.94e-293,1005.0
40862,Astyanax_pachon,KAG9280424.1,ABCD2,Mus_musculus,NP_036124.2,ABCD2,0.0,1106.0,0.0,1106.0
33424,Astyanax_pachon,KAG9276507.1,ABCD3,Mus_musculus,NP_033017.2,ABCD3,0.0,1079.0,0.0,1079.0
32121,Astyanax_pachon,KAG9275798.1,ABCD4,Mus_musculus,XP_006515676.1,ABCD4,9.47e-221,766.0,2.13e-221,766.0
19207,Astyanax_pachon,KAG9269173.1,ABCE1,Mus_musculus,NP_056566.2,ABCE1,0.0,1106.0,0.0,1106.0
39196,Astyanax_pachon,KAG9279665.1,ABCF1,Mus_musculus,NP_038882.1,ABCF1,2.2499999999999998e-287,988.0,4.39e-288,988.0
28759,Astyanax_pachon,KAG9273950.1,ABCF2,Mus_musculus,NP_001177372.1,ABCF2,0.0,1043.0,0.0,1043.0
10296,Astyanax_pachon,KAG9265059.1,ABCG1,Mus_musculus,NP_033723.1,ABCG1,0.0,1131.0,0.0,1131.0
31754,Astyanax_pachon,KAG9275618.1,ABCG2,Mus_musculus,NP_001342406.1,ABCG2,1.89e-213,742.0,3.89e-214,742.0
43484,Astyanax_pachon,KAG9281752.1,ABCG4,Mus_musculus,NP_620405.3,ABCG4,2.04e-288,991.0,4.23e-289,991.0
30726,Astyanax_pachon,KAG9275140.1,ABCG5,Mus_musculus,NP_114090.1,ABCG5,2.3499999999999997e-214,745.0,4.83e-215,745.0
30724,Astyanax_pachon,KAG9275139.1,ABCG8,Mus_musculus,NP_001334347.1,ABCG8,4.12e-235,814.0,8.43e-236,814.0
46642,Astyanax_pachon,KAG9283354.1,ABHD10,Mus_musculus,NP_766099.3,ABHD10,2.1e-96,352.0,4.4400000000000003e-97,352.0
11566,Astyanax_pachon,KAG9265673.1,ABHD11,Mus_musculus,NP_660250.1,ABHD11,8.22e-80,297.0,1.65e-80,297.0
17520,Astyanax_pachon,KAG9268445.1,ABHD12,Mus_musculus,NP_077785.2,ABHD12,3.4499999999999998e-152,538.0,6.06e-153,538.0
23311,Astyanax_pachon,KAG9271157.1,ABHD13,Mus_musculus,NP_001074588.1,ABHD13,7.42e-160,563.0,1.53e-160,563.0
2260,Astyanax_pachon,KAG9260692.1,ABHD14A,Mus_musculus,NP_001103741.2,ABHD14A,1.6300000000000002e-58,226.0,3.0800000000000003e-59,226.0
34334,Astyanax_pachon,KAG9276904.1,ABHD14B,Mus_musculus,NP_083907.3,ABHD14B,1.01e-63,243.0,2.04e-64,243.0
10556,Astyanax_pachon,KAG9265187.1,ABHD15,Mus_musculus,NP_080461.3,ABHD15,1.2500000000000001e-110,400.0,2.44e-111,400.0
32360,Astyanax_pachon,KAG9275963.1,ABHD16A,Mus_musculus,NP_848707.1,ABHD16A,5.54e-228,790.0,1.1699999999999999e-228,790.0
21203,Astyanax_pachon,KAG9270143.1,ABHD17A,Mus_musculus,NP_663396.1,ABHD17A,6.24e-150,530.0,1.21e-150,530.0
3852,Astyanax_pachon,KAG9261509.1,ABHD17B,Mus_musculus,NP_666208.2,ABHD17B,1.24e-162,572.0,2.5500000000000003e-163,572.0
13435,Astyanax_pachon,KAG9266534.1,ABHD17C,Mus_musculus,NP_598483.2,ABHD17C,2.12e-155,548.0,4.760000000000001e-156,548.0
8025,Astyanax_pachon,KAG9263810.1,ABHD18,Mus_musculus,NP_080898.2,ABHD18,1.0400000000000001e-184,646.0,2.1800000000000003e-185,646.0
13383,Astyanax_pachon,KAG9266508.1,ABHD2A,Mus_musculus,NP_061281.3,ABHD2,3.73e-199,694.0,7.090000000000001e-200,694.0
29875,Astyanax_pachon,KAG9274726.1,ABHD3,Mus_musculus,NP_598891.1,ABHD3,3.51e-162,571.0,7.29e-163,571.0
37500,Astyanax_pachon,KAG9278728.1,ABHD4,Mus_musculus,NP_598837.3,ABHD4,1.72e-119,429.0,3.38e-120,429.0
33486,Astyanax_pachon,KAG9276528.1,ABHD5,Mus_musculus,NP_080455.1,ABHD5,1.4699999999999998e-134,479.0,3.08e-135,479.0
1289,Astyanax_pachon,KAG9260211.1,ABHD6,Mus_musculus,NP_001317993.1,ABHD6,1.08e-142,506.0,2.2e-143,506.0
37333,Astyanax_pachon,KAG9278608.1,ABHD8,Mus_musculus,NP_071864.2,ABHD8,1.2800000000000001e-160,566.0,2.4900000000000003e-161,566.0
34038,Astyanax_pachon,KAG9276765.1,ABI1,Mus_musculus,NP_031406.2,ABI1,1.6900000000000001e-195,682.0,3.24e-196,682.0
24234,Astyanax_pachon,KAG9271556.1,ABI2,Mus_musculus,XP_030110866.1,ABI2,6.18e-188,657.0,1.2299999999999999e-188,657.0
3293,Astyanax_pachon,KAG9261163.1,ABI3BP,Mus_musculus,NP_001014421.2,ABI3BP,1.78e-168,593.0,3.84e-169,593.0
39441,Astyanax_pachon,KAG9279776.1,ABITRAM,Mus_musculus,NP_001074889.1,ABITRAM,1.3e-68,259.0,2.86e-69,259.0
43746,Astyanax_pachon,KAG9281890.1,ABL1,Mus_musculus,NP_001106174.1,ABL1,0.0,1367.0,0.0,1367.0
22627,Astyanax_pachon,KAG9270845.1,ABL2,Mus_musculus,XP_006496678.1,ABL2,0.0,1417.0,0.0,1417.0
44086,Astyanax_pachon,KAG9282076.1,ABR,Mus_musculus,NP_932135.1,ABR,0.0,1382.0,0.0,1382.0
39718,Astyanax_pachon,KAG9279898.1,ABRA,Mus_musculus,NP_780665.1,ABRA,1.95e-79,296.0,4.04e-80,296.0
44960,Astyanax_pachon,KAG9282592.1,ABRACL,Mus_musculus,NP_001346488.1,ABRACL,2.4700000000000002e-31,134.0,5.1e-32,134.0
11296,Astyanax_pachon,KAG9265508.1,ABRAXAS1,Mus_musculus,NP_765993.1,ABRAXAS1,1.82e-63,243.0,3.95e-64,243.0
