Model_nodos,NCBI_Product_accesion
14-3-3EPSILON,NP_732309.1
14-3-3ZETA,NP_476885.2
18W,NP_476814.1
2MIT,NP_001262529.1
5-HT1A,NP_001356890.1
5-HT7,NP_524599.1
7B2,NP_001014608.1
A,NP_524641.1
A6,NP_477309.1
AB,NP_476562.1
ABD-A,NP_732176.1
ABD-B,NP_001262648.1
ABI,NP_001247090.1
ABL,NP_001261965.1
AC,NP_476824.1
AC13E,NP_001259575.1
AC3,NP_610116.2
AC76E,NP_001246838.1
AC78C,NP_001262138.1
ACC,NP_610342.1
ACE,NP_001262530.1
ACHI,NP_725182.1
ACJ6,NP_001245683.1
ACK,NP_647859.1
ACP53C14C,NP_001188961.1
ACP65AA,NP_477282.2
ACT42A,NP_523625.1
ACT57B,NP_523800.1
ACT5C,NP_511052.1
ACT87E,NP_477091.1
ACT88F,NP_524367.1
ACTBETA,NP_651942.2
ACXD,NP_620469.2
ADAR,NP_001245474.1
ADF1,NP_995750.1
ADGF-A,NP_524130.1
ADK1,NP_731676.2
ADK2,NP_648624.1
ADK3,NP_651995.1
ADOR,NP_001263101.1
AEF1,NP_001262157.1
AFT,NP_477413.1
AG5R,NP_524770.1
AGO,NP_523922.1
AKAP200,NP_787998.1
AKH,NP_523918.1
AL,NP_722629.1
ALDH,NP_609285.1
ALDH-III,NP_610285.5
ALH,NP_001097697.2
ALIX,NP_651582.1
ALK,NP_652600.1
ALPH,NP_651701.1
ALPHA-CAT,NP_524219.1
ALPHACOP,NP_477395.1
ALPHA-EST1,NP_524269.3
ALPHA-EST2,NP_524268.3
ALPHA-EST3,NP_524267.2
ALPHA-EST4,NP_524266.1
ALPHA-EST5,NP_524265.3
ALPHA-EST8,NP_524259.2
ALPHA-EST9,NP_524258.2
ALPHA-MAN-IIB,NP_650494.2
ALPHA-SPEC,NP_476739.1
ALPHATRY,NP_476771.1
ALPHATUB67C,NP_524009.2
ALPHATUB84B,NP_476772.1
ALT,NP_732256.1
ALY,NP_001261348.1
AMD,NP_724162.1
AMN,NP_523416.2
AMON,NP_477318.1
AMUN,NP_572741.1
ANA,NP_001286226.1
ANCE,NP_477046.1
ANCE-3,NP_001285917.1
ANCE-5,NP_573392.2
ANK,NP_001162819.1
ANK2,NP_001097536.1
ANT2,NP_511110.1
ANTP,NP_996166.1
ANXB11,NP_523370.1
AOP,NP_722766.1
AP,NP_001163058.1
AP-1GAMMA,NP_788891.2
AP-1SIGMA,NP_651198.1
APC,NP_477152.1
APC2,NP_001334699.1
APH-1,NP_608710.1
APKC,NP_001260987.1
APLIP1,NP_728573.1
APP,NP_001137936.1
APPL,NP_001245450.1
APRT,NP_476637.1
APS,NP_648421.1
APT,NP_477179.1
ARA,NP_524045.2
ARG,NP_524875.1
ARI-1,NP_523399.1
ARI-2,NP_477374.1
ARM,NP_476666.1
ARR,NP_524737.2
ARS2,NP_001260719.1
ART4,NP_649963.1
ARU,NP_722663.1
ASATOR,NP_001259056.1
ASE,NP_476694.1
ASH2,NP_788735.1
ASP,NP_524488.3
ASPH,NP_001246357.1
ASPP,NP_001261122.1
AST,NP_523451.2
ASX,NP_001260969.1
ATE1,NP_477394.3
ATF-2,NP_001033973.1
ATF3,NP_001259125.1
ATG1,NP_648601.1
ATG2,NP_647748.1
ATG5,NP_572390.1
ATG6,NP_651209.1
ATG7,NP_725809.1
ATG8A,NP_727447.1
ATG9,NP_001261023.1
ATL,NP_651274.1
ATMS,NP_649493.1
ATO,NP_731223.1
ATPALPHA,NP_732572.1
ATPCL,NP_725514.2
