,Model_nodos,NCBI_Product_accesion,Astyanax_ortologos,ID
0,A2M,NP_001334352.2,"[('KAG9265127.1', 'A2M'), ('KAG9265130.1', 'A2ML1'), ('KAG9265132.1', 'A2ML1')]",1
1,AATF,NP_036270.1,"[('KAG9281985.1', 'AATF')]",2
2,ABCA1,NP_005493.2,"[('KAG9260005.1', 'ABCA1'), ('KAG9281151.1', 'ABCA1')]",3
3,ABCA3,NP_001080.2,"[('KAG9264555.1', 'ABCA3')]",4
4,ABCB1,NP_001335874.1,"[('KAG9283635.1', 'ABCB1')]",5
5,ABCB4,XP_054214378.1,"[('KAG9283635.1', 'ABCB1')]",6
6,ABCB8,NP_001269222.1,"[('KAG9276103.1', 'ABCB8')]",7
7,ABCC1,XP_054236327.1,"[('KAG9264022.1', 'ABCC1')]",8
8,ABCC2,NP_000383.2,"[('KAG9260121.1', 'ABCC2')]",9
9,ABCC3,NP_003777.2,"[('KAG9267770.1', 'ABCC3')]",10
10,ABCC4,NP_001288758.1,"[('KAG9277872.1', 'ABCC4')]",11
11,ABCG1,NP_997510.1,"[('KAG9265059.1', 'ABCG1')]",12
12,ABCG2,NP_001335916.1,"[('KAG9269220.1', 'ABCG2'), ('KAG9275618.1', 'ABCG2')]",13
13,ABCG4,NP_001335120.1,"[('KAG9265125.1', 'ABCG4'), ('KAG9281752.1', 'ABCG4')]",14
14,ABCG8,NP_071882.1,"[('KAG9275139.1', 'ABCG8')]",15
15,ABL1,NP_009297.2,"[('KAG9281890.1', 'ABL1')]",16
16,ACACA,XP_054171873.1,"[('KAG9281984.1', 'ACACA')]",17
17,ACACB,NP_001399666.1,"[('KAG9261557.1', 'ACACB')]",18
18,ACADL,NP_001599.1,"[('KAG9273471.1', 'ACADL')]",19
19,ACAT1,NP_001373606.1,"[('KAG9263112.1', 'ACAT1')]",20
20,ACAT2,NP_005882.2,"[('KAG9282919.1', 'ACAT2')]",21
21,ACBD3,NP_073572.2,"[('KAG9282923.1', 'ACBD3')]",22
22,ACE,NP_000780.1,"[('KAG9267326.1', 'ACE')]",23
23,ACE2,NP_001373188.1,"[('KAG9261029.1', 'ACE2')]",24
24,ACHE,NP_001354848.1,"[('KAG9274266.1', 'ACHE')]",25
25,ACKR3,XP_054199038.1,"[('KAG9277923.1', 'ACKR3')]",26
26,ACLY,NP_001290204.1,"[('KAG9264241.1', 'ACLY'), ('KAG9267434.1', 'ACLY')]",27
27,ACO1,XP_054218981.1,"[('KAG9274218.1', 'ACO1')]",28
28,ACOX1,NP_004026.2,"[('KAG9277452.1', 'ACOX1')]",29
29,ACP5,NP_001308952.1,"[('KAG9277353.1', 'ACP5')]",30
30,ACR,NP_001088.2,"[('KAG9269772.1', 'ACR')]",31
31,ACTA1,NP_001091.1,"[('KAG9262281.1', 'ACTBA'), ('KAG9272000.1', 'ACTC1'), ('KAG9272884.1', 'ACTC1'), ('KAG9279940.1', 'ACTBB')]",32
32,ACTA2,NP_001393397.1,"[('KAG9267709.1', 'ACTA2')]",33
33,ACTC1,NP_001393411.1,"[('KAG9262281.1', 'ACTBA'), ('KAG9272000.1', 'ACTC1'), ('KAG9272884.1', 'ACTC1'), ('KAG9279940.1', 'ACTBB')]",34
34,ACTG2,NP_001606.1,"[('KAG9262281.1', 'ACTBA'), ('KAG9272000.1', 'ACTC1'), ('KAG9272884.1', 'ACTC1'), ('KAG9279940.1', 'ACTBB')]",35
35,ACTN4,XP_054178219.1,"[('KAG9278887.1', 'ACTN4')]",36
36,ACVRL1,NP_000011.2,"[('KAG9269753.1', 'ACVR1')]",37
37,ADAM12,NP_001275902.1,"[('KAG9267464.1', 'ADAM12')]",38
38,ADAM17,NP_003174.3,"[('KAG9268484.1', 'ADAM17'), ('KAG9282938.1', 'ADAM17')]",39
39,ADAM23,XP_054200314.1,"[('KAG9271491.1', 'ADAM23')]",40
40,ADAMTS1,NP_008919.3,"[('KAG9262173.1', 'ADAMTS1')]",41
41,ADARB2,NP_061172.1,"[('KAG9276746.1', 'ADARB2')]",42
42,ADGRB1,XP_054216905.1,"[('KAG9276230.1', 'ADGRB1')]",43
43,ADH5,NP_000662.3,"[('KAG9272321.1', 'KAG9272321.1')]",44
