Model_nodos,NCBI_Product_accesion
ACVRL1,NP_000011.2
ADRB2,NP_000015.2
ADRB3,NP_000016.1
ALDOB,NP_000026.2
APOC3,NP_000031.1
AR,NP_000035.2
BLM,NP_000048.1
BRCA2,NP_000050.3
C3,NP_000055.2
CA2,NP_000058.1
CD40LG,NP_000065.1
CDK4,NP_000066.1
CDKN2A,NP_000068.1
CETP,NP_000069.2
CHRNA1,NP_000070.1
COL1A2,NP_000080.2
COL4A3,NP_000082.2
COMP,NP_000086.2
CYP17A1,NP_000093.1
CYP1B1,NP_000095.2
SLC26A3,NP_000102.1
EPOR,NP_000112.1
ERCC5,NP_000114.3
EXT1,NP_000118.2
F13A1,NP_000120.2
F8,NP_000123.1
F9,NP_000124.1
FABP2,NP_000125.2
FANCA,NP_000126.2
FXN,NP_000135.2
GALT,NP_000146.2
GJA1,NP_000156.1
GLI3,NP_000159.3
GLRA1,NP_000162.2
GP1BA,NP_000164.5
CFH,NP_000177.2
TBX5,NP_000183.2
HSD11B2,NP_000187.3
ICAM1,NP_000192.2
IL2RG,NP_000197.1
PDX1,NP_000200.1
ITGB2,NP_000202.3
ITGB3,NP_000203.2
JAG1,NP_000205.1
KRT12,NP_000214.1
LCAT,NP_000220.1
LEP,NP_000221.1
LIPC,NP_000227.2
LPL,NP_000228.1
KCNH2,NP_000229.1
LYZ,NP_000230.1
MAOA,NP_000231.1
MEFV,NP_000234.1
MLH1,NP_000240.1
MPO,NP_000241.1
MTTP,NP_000244.2
NCF1,NP_000256.4
PGK1,NP_000282.1
PKLR,NP_000289.1
PLG,NP_000292.1
POU1F1,NP_000297.1
POU3F4,NP_000298.3
PROS1,NP_000304.2
RB1,NP_000312.2
RS1,NP_000321.1
SLC3A1,NP_000332.2
SLC5A1,NP_000334.1
SOX9,NP_000337.1
STAR,NP_000340.2
TAT,NP_000344.1
TCN2,NP_000346.2
TGFBI,NP_000349.1
TH,NP_000351.2
THBD,NP_000352.1
TIMP3,NP_000353.1
TNNI3,NP_000354.4
TYR,NP_000363.1
AIRE,NP_000374.1
APOB,NP_000375.3
BLMH,NP_000377.1
SLC25A20,NP_000378.1
ABCC2,NP_000383.2
CTSK,NP_000387.1
CYBB,NP_000388.2
G6PD,NP_000393.4
GP1BB,NP_000398.1
IFNGR1,NP_000407.1
KRT17,NP_000413.1
KRT5,NP_000415.2
PCSK1,NP_000430.3
SLC26A4,NP_000432.1
PON1,NP_000437.3
PSEN2,NP_000438.2
RAG1,NP_000439.2
SELE,NP_000441.2
SLC10A2,NP_000443.2
SOD1,NP_000445.1
STK11,NP_000446.1
TEK,NP_000450.3
UGT1A1,NP_000454.1
TWIST1,NP_000465.1
NR0B1,NP_000466.2
ALB,NP_000468.1
ALPL,NP_000469.3
AMH,NP_000470.3
APOA4,NP_000473.2
AVP,NP_000481.2
CFTR,NP_000483.3
COL10A1,NP_000484.2
CYP11B2,NP_000489.3
F10,NP_000495.1
F12,NP_000496.2
FBP1,NP_000498.2
FGG,NP_000500.2
HBA2,NP_000508.1
HBB,NP_000509.1
HBD,NP_000510.1
HOXD13,NP_000514.2
HTR1A,NP_000515.2
KCNJ11,NP_000516.3
KRT14,NP_000517.3
LDLR,NP_000518.1
RAG2,NP_000527.2
REN,NP_000528.1
RFXAP,NP_000529.1
RHO,NP_000530.1
TP53,NP_000537.3
TSHB,NP_000540.2
TYRP1,NP_000541.1
VHL,NP_000542.1
VWF,NP_000543.3
WRN,NP_000544.2
CRX,NP_000545.1
GDF5,NP_000548.2
HBA1,NP_000549.1
HBG1,NP_000550.2
IL5RA,NP_000555.2
IL10,NP_000563.1
IL1B,NP_000567.1
CXCL8,NP_000575.1
IL15,NP_000576.1
IL2,NP_000577.2
IL3,NP_000579.2
IL4,NP_000580.1
TAP1,NP_000584.3
TNF,NP_000585.2
IGFBP5,NP_000590.1
IL6,NP_000591.1
NOS3,NP_000594.2
IFNA2,NP_000596.2
CD59,NP_000602.1
CD4,NP_000607.1
IFNG,NP_000610.2
NOS1,NP_000611.1
NOS2,NP_000616.3
BCL2,NP_000624.2
CXCR1,NP_000625.1
FASLG,NP_000630.1
IL11,NP_000632.1
SELL,NP_000646.3
TGFB1,NP_000651.3
ADH1A,NP_000658.1
ADH5,NP_000662.3
ADORA3,NP_000668.1
ADRA2B,NP_000673.2
ALDH1A1,NP_000680.2
ALDH1A3,NP_000684.2
ALOX12,NP_000688.2
ALOX5,NP_000689.1
CD247,NP_000725.1
CGA,NP_000726.1
CGB3,NP_000728.1
CHRNA5,NP_000736.2
CSF1,NP_000748.4
CSF2,NP_000749.2
CYP1A2,NP_000752.2
CYP2A6,NP_000753.3
CYP3A7,NP_000756.3
CYP2B6,NP_000758.1
CYP2C19,NP_000760.1
CYP2C8,NP_000761.3
CYP2C9,NP_000762.2
CYP2E1,NP_000764.1
CYP2F1,NP_000765.2
CYP2J2,NP_000766.2
CYP3A5,NP_000768.1
CYP7A1,NP_000771.2
CYP11A1,NP_000772.2
CYP27A1,NP_000775.1
CYP27B1,NP_000776.1
DBH,NP_000778.3
DCK,NP_000779.1
ACE,NP_000780.1
DHFR,NP_000782.1
DRD1,NP_000785.1
EPO,NP_000790.2
FOLR1,NP_000793.1
GAST,NP_000796.1
GNRH1,NP_000816.4
GRIN2B,NP_000825.2
GSTP1,NP_000843.1
IGF2R,NP_000867.3
IL12A,NP_000873.2
LHB,NP_000885.1
MAOB,NP_000889.3
MGP,NP_000891.2
NQO2,NP_000895.2
NPY,NP_000896.1
PGR,NP_000917.3
PTGDS,NP_000945.3
PTGER2,NP_000947.2
PTGIR,NP_000951.1
PTGS1,NP_000953.2
PTGS2,NP_000954.1
RARG,NP_000957.1
RPS3A,NP_000997.1
C4B,NP_001002029.3
FMO3,NP_001002294.1
