Model_nodos,NCBI_Product_accesion,Astyanax_ortologos,ID
14-3-3EPSILON,NP_732309.1,"[('XP_007245994.1', 'YWHAE1'), ('XP_007229712.1', 'YWHAE2'), ('XP_007245995.1', 'YWHAE1'), ('XP_049323473.1', 'YWHAE2')]",1
14-3-3ZETA,NP_476885.2,"[('XP_007241340.1', 'LOC103023259'), ('XP_049335888.1', 'YWHABA'), ('XP_022529975.1', 'YWHABL'), ('XP_049339261.1', 'YWHAQA'), ('XP_049339264.1', 'YWHAQA'), ('XP_022528284.1', 'YWHAQB')]",2
5-HT7,NP_524599.1,"[('XP_007256792.3', 'HTR1AB'), ('XP_007234230.1', 'HTR7C'), ('XP_007251794.4', 'HTR1FA'), ('XP_049341026.1', 'HTR1FA'), ('XP_007244750.1', 'HTR7A')]",3
ABI,NP_001247090.1,"[('XP_022533518.1', 'ABI1B'), ('XP_022533520.1', 'ABI1B'), ('XP_049336215.1', 'ABI1A'), ('XP_049336214.1', 'ABI1A'), ('XP_022518438.2', 'ABI1A'), ('XP_022518439.2', 'ABI1A'), ('XP_022518437.2', 'ABI1A'), ('XP_022533516.1', 'ABI1B'), ('XP_022518440.1', 'ABI1A'), ('XP_022533517.1', 'ABI1B'), ('XP_022518436.2', 'ABI1A'), ('XP_022518434.2', 'ABI1A')]",4
AC3,NP_610116.2,"[('XP_022541047.2', 'LOC103034748'), ('XP_022541050.2', 'LOC103034748'), ('XP_022541057.2', 'LOC103034748'), ('XP_007251869.2', 'ADCY3A'), ('XP_015461952.2', 'ADCY3A')]",5
AC76E,NP_001246838.1,"[('XP_022529830.2', 'ADCY2A'), ('XP_049336696.1', 'ADCY2A'), ('XP_007231788.4', 'ADCY2B')]",6
ACC,NP_610342.1,"[('XP_049331300.1', 'ACACA'), ('XP_049331298.1', 'ACACA'), ('XP_049331288.1', 'ACACA'), ('XP_049331280.1', 'ACACA'), ('XP_049331282.1', 'ACACA'), ('XP_049331266.1', 'ACACA'), ('XP_049331277.1', 'ACACA'), ('XP_049331308.1', 'ACACA'), ('XP_049326204.1', 'ACACB'), ('XP_049326203.1', 'ACACB'), ('XP_049326202.1', 'ACACB'), ('XP_049326198.1', 'ACACB'), ('XP_049326199.1', 'ACACB'), ('XP_049326200.1', 'ACACB'), ('XP_049326201.1', 'ACACB'), ('XP_049326205.1', 'ACACB'), ('XP_049326206.1', 'ACACB')]",7
ACE,NP_001262530.1,"[('XP_022521724.2', 'LOC103037776')]",8
ACJ6,NP_001245683.1,"[('XP_007244183.1', 'POU4F1'), ('XP_007244509.2', 'POU4F4')]",9
ACT42A,NP_523625.1,"[('XP_007260329.1', 'ACTB1'), ('XP_007247883.1', 'ACTB2'), ('XP_022520514.1', 'ACTA2'), ('XP_007252999.1', 'ACTC2'), ('XP_007238991.1', 'ACTA1A'), ('XP_007235317.1', 'ACTC1A'), ('XP_007248613.1', 'ACTA1B'), ('XP_015463524.1', 'ACTC1B'), ('XP_022535157.1', 'LOC103039206'), ('XP_022539577.1', 'ACTE1')]",10
ACT57B,NP_523800.1,"[('XP_007247883.1', 'ACTB2'), ('XP_007260329.1', 'ACTB1'), ('XP_022520514.1', 'ACTA2'), ('XP_007235317.1', 'ACTC1A'), ('XP_007238991.1', 'ACTA1A'), ('XP_007252999.1', 'ACTC2'), ('XP_007248613.1', 'ACTA1B'), ('XP_015463524.1', 'ACTC1B'), ('XP_022535157.1', 'LOC103039206'), ('XP_022539577.1', 'ACTE1')]",11
ACT5C,NP_511052.1,"[('XP_007260329.1', 'ACTB1'), ('XP_007247883.1', 'ACTB2'), ('XP_022520514.1', 'ACTA2'), ('XP_007252999.1', 'ACTC2'), ('XP_007238991.1', 'ACTA1A'), ('XP_007235317.1', 'ACTC1A'), ('XP_007248613.1', 'ACTA1B'), ('XP_015463524.1', 'ACTC1B'), ('XP_022535157.1', 'LOC103039206'), ('XP_022539577.1', 'ACTE1')]",12
ACT87E,NP_477091.1,"[('XP_007247883.1', 'ACTB2'), ('XP_007260329.1', 'ACTB1'), ('XP_022520514.1', 'ACTA2'), ('XP_007235317.1', 'ACTC1A'), ('XP_007238991.1', 'ACTA1A'), ('XP_007252999.1', 'ACTC2'), ('XP_007248613.1', 'ACTA1B'), ('XP_015463524.1', 'ACTC1B'), ('XP_022535157.1', 'LOC103039206'), ('XP_022539577.1', 'ACTE1')]",13
ACT88F,NP_524367.1,"[('XP_007247883.1', 'ACTB2'), ('XP_007260329.1', 'ACTB1'), ('XP_022520514.1', 'ACTA2'), ('XP_007235317.1', 'ACTC1A'), ('XP_007252999.1', 'ACTC2'), ('XP_007238991.1', 'ACTA1A'), ('XP_007248613.1', 'ACTA1B'), ('XP_015463524.1', 'ACTC1B'), ('XP_022535157.1', 'LOC103039206'), ('XP_022539577.1', 'ACTE1')]",14
ADAR,NP_001245474.1,"[('XP_049341253.1', 'ADARB1B'), ('XP_022535911.1', 'ADARB1B'), ('XP_022535910.1', 'ADARB1B'), ('XP_049327129.1', 'ADARB1A'), ('XP_007228989.2', 'ADARB1A'), ('XP_022521071.1', 'ADARB1A'), ('XP_022521070.1', 'ADARB1A')]",15
ADGF-A,NP_524130.1,"[('XP_007228411.3', 'ADA2A'), ('XP_022539506.2', 'ADA2A')]",16
ADK2,NP_648624.1,"[('XP_022540387.1', 'ADKA'), ('XP_022521756.1', 'ADKB'), ('XP_022521757.1', 'ADKB'), ('XP_022540389.1', 'ADKA')]",17
AFT,NP_477413.1,"[('XP_007260296.3', 'CMTR2')]",18
ALDH,NP_609285.1,"[('XP_022541281.1', 'LOC103036383')]",19
ALDH-III,NP_610285.5,"[('XP_022524625.2', 'ALDH3A1'), ('XP_049322743.1', 'ALDH3A1'), ('XP_022531853.2', 'ALDH3A2B'), ('XP_007246059.3', 'ALDH3A2A')]",20
ALIX,NP_651582.1,"[('XP_007245726.2', 'LOC103031070'), ('XP_007245725.2', 'LOC103031070')]",21
ALK,NP_652600.1,"[('XP_049319381.1', 'LTK')]",22
