,Dmel,a,a2,Ast,b,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
101,Drosophila_melanogaster,NP_001014522.2,MP20,Astyanax_mexicanus,XP_049332440.1,TAGLN2,4.5800000000000004e-29,127.0,2.3800000000000002e-29,127.0
109,Drosophila_melanogaster,NP_001014529.1,U3-55K,Astyanax_mexicanus,XP_007254609.3,RRP9,2.11e-71,269.0,1.05e-71,269.0
129,Drosophila_melanogaster,NP_001014549.1,SLIK,Astyanax_mexicanus,XP_007252332.3,SLKA,5.24e-114,412.0,2.29e-114,412.0
130,Drosophila_melanogaster,NP_001014552.1,ZIP,Astyanax_mexicanus,XP_022530909.1,MYH9A,0.0,1260.0,0.0,1260.0
133,Drosophila_melanogaster,NP_001014557.3,NAB,Astyanax_mexicanus,XP_049340866.1,NAB1B,2.63e-46,186.0,9.47e-47,186.0
168,Drosophila_melanogaster,NP_001014587.1,FAX,Astyanax_mexicanus,XP_049331073.1,FAXCA,8.25e-25,114.0,3.8e-25,114.0
169,Drosophila_melanogaster,NP_001014589.1,SCAF6,Astyanax_mexicanus,XP_007246254.3,LOC103033812,1.04e-71,271.0,4.930000000000001e-72,271.0
210,Drosophila_melanogaster,NP_001014605.1,GNF1,Astyanax_mexicanus,XP_007230281.3,RFC1,5.13e-168,591.0,2.84e-168,591.0
212,Drosophila_melanogaster,NP_001014617.1,CTBP,Astyanax_mexicanus,XP_007251995.1,CTBP2A,6.99e-151,533.0,2.94e-151,533.0
712,Drosophila_melanogaster,NP_001014684.1,MGAT2,Astyanax_mexicanus,XP_007230796.3,MGAT2,5.36e-100,364.0,2.43e-100,364.0
826,Drosophila_melanogaster,NP_001014708.1,EWG,Astyanax_mexicanus,XP_007237824.1,NRF1,2.24e-86,319.0,9.6e-87,319.0
866,Drosophila_melanogaster,NP_001014720.1,NORPA,Astyanax_mexicanus,XP_007232878.3,LOC103022380,0.0,1031.0,0.0,1031.0
1202,Drosophila_melanogaster,NP_001027138.2,KUG,Astyanax_mexicanus,XP_049328162.1,FAT1A,0.0,2504.0,0.0,2504.0
1255,Drosophila_melanogaster,NP_001027215.1,CG33635,Astyanax_mexicanus,XP_015459735.2,SFT2D3,4.02e-17,87.4,2.38e-17,87.4
2095,Drosophila_melanogaster,NP_001027396.1,CG33774,Astyanax_mexicanus,XP_049331053.1,OST4,1.37e-06,50.1,6.25e-07,50.1
2212,Drosophila_melanogaster,NP_001033870.1,CAPT,Astyanax_mexicanus,XP_007245760.2,CAP1,2.8899999999999998e-92,339.0,8.57e-93,339.0
2246,Drosophila_melanogaster,NP_001033943.2,NAT1,Astyanax_mexicanus,XP_007249319.3,EIF4G2B,4.22e-125,449.0,1.36e-125,449.0
2259,Drosophila_melanogaster,NP_001033973.1,ATF-2,Astyanax_mexicanus,XP_007254302.3,ATF7B,1.23e-06,53.5,7.36e-07,53.5
2260,Drosophila_melanogaster,NP_001033989.1,CG11583,Astyanax_mexicanus,XP_007252813.1,BXDC2,1.8e-81,302.0,8.629999999999999e-82,302.0
2266,Drosophila_melanogaster,NP_001034012.2,CG34039,Astyanax_mexicanus,XP_007228311.1,COMMD4,4.03e-22,104.0,2e-22,104.0
2271,Drosophila_melanogaster,NP_001034043.2,OCTBETA3R,Astyanax_mexicanus,XP_022539782.1,HTR4,8.720000000000001e-56,217.0,3.79e-56,217.0
2295,Drosophila_melanogaster,NP_001034065.1,HH,Astyanax_mexicanus,NP_001278184.1,SHHA,1.32e-97,356.0,5.96e-98,356.0
2328,Drosophila_melanogaster,NP_001036269.2,MYO10A,Astyanax_mexicanus,XP_049331452.1,MYO15AA,3.54e-242,839.0,1.3299999999999998e-242,839.0
2332,Drosophila_melanogaster,NP_001036275.1,EAG,Astyanax_mexicanus,XP_007229046.3,KCNH5B,6.88e-277,953.0,2.73e-277,953.0
2428,Drosophila_melanogaster,NP_001036338.1,PGANT5,Astyanax_mexicanus,XP_049320267.1,GALNT1,2.02e-197,688.0,8.84e-198,688.0
2431,Drosophila_melanogaster,NP_001036342.1,MNN1,Astyanax_mexicanus,XP_007255770.1,MEN1,2e-106,386.0,8.06e-107,386.0
2437,Drosophila_melanogaster,NP_001036344.1,CG34132,Astyanax_mexicanus,XP_007236608.1,TIMM13,5.22e-27,119.0,2.9100000000000003e-27,119.0
2447,Drosophila_melanogaster,NP_001036355.1,MT2,Astyanax_mexicanus,XP_022529350.1,TRDMT1,3.93e-66,251.0,2.16e-66,251.0
2449,Drosophila_melanogaster,NP_001036362.1,MOL,Astyanax_mexicanus,XP_007246594.1,DUOX2,2.25e-31,136.0,8.56e-32,136.0
2461,Drosophila_melanogaster,NP_001036387.1,RPL5,Astyanax_mexicanus,XP_007233671.2,RPL5B,1.4599999999999999e-115,415.0,7.13e-116,415.0
2481,Drosophila_melanogaster,NP_001036428.1,CG17683,Astyanax_mexicanus,XP_022518679.2,NARFL,1.42e-119,429.0,7.03e-120,429.0
2488,Drosophila_melanogaster,NP_001036438.1,GPRK1,Astyanax_mexicanus,XP_022520307.1,GRK3,6.52e-267,919.0,3.16e-267,919.0
2490,Drosophila_melanogaster,NP_001036440.1,RPL38,Astyanax_mexicanus,XP_022524794.1,RPL38,2.85e-22,103.0,1.4100000000000001e-22,103.0
2509,Drosophila_melanogaster,NP_001036444.1,P120CTN,Astyanax_mexicanus,XP_049326412.1,ARVCFB,1.82e-121,436.0,9.970000000000001e-122,436.0
2907,Drosophila_melanogaster,NP_001036532.1,SNS,Astyanax_mexicanus,XP_049323029.1,NPHS1,4.53e-150,532.0,1.8099999999999999e-150,532.0
3041,Drosophila_melanogaster,NP_001036640.1,CG40045,Astyanax_mexicanus,XP_007228661.1,UBE2G1A,1.3600000000000001e-80,298.0,6.8e-81,298.0
3043,Drosophila_melanogaster,NP_001036641.1,SNAP25,Astyanax_mexicanus,XP_007245417.1,SNAP25A,5.19e-57,220.0,2.47e-57,220.0
