,Model_nodos,NCBI_Product_accesion,Ast,a,a2,Mus,b,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
0,ABCA1,XP_006537619.1,Astyanax_mexicanus,XP_022522959.2,ABCA1A,Mus_musculus,XP_006537619.1,ABCA1,0.0,3262.0,0.0,3262.0
1,ABCA1,XP_006537619.1,Astyanax_mexicanus,XP_022522960.2,ABCA1A,Mus_musculus,XP_006537619.1,ABCA1,0.0,3256.0,0.0,3256.0
2,ABCA1,XP_006537619.1,Astyanax_mexicanus,XP_022527820.2,ABCA1B,Mus_musculus,XP_006537619.1,ABCA1,0.0,3265.0,0.0,3265.0
3,ABCA1,XP_006537619.1,Astyanax_mexicanus,XP_022527822.2,ABCA1B,Mus_musculus,XP_006537619.1,ABCA1,0.0,3265.0,0.0,3265.0
4,ABCA1,XP_006537619.1,Astyanax_mexicanus,XP_022527823.2,ABCA1B,Mus_musculus,XP_006537619.1,ABCA1,0.0,3271.0,0.0,3271.0
5,ABCA1,XP_006537619.1,Astyanax_mexicanus,XP_022527824.2,ABCA1B,Mus_musculus,XP_006537619.1,ABCA1,0.0,3271.0,0.0,3271.0
6,ABCB11,NP_066302.2,Astyanax_mexicanus,XP_022525386.2,ABCB11B,Mus_musculus,NP_066302.2,ABCB11,0.0,1739.0,0.0,1739.0
7,ABCB1A,NP_035206.2,Astyanax_mexicanus,XP_049320497.1,ABCB4,Mus_musculus,NP_035206.2,ABCB1A,0.0,1589.0,0.0,1589.0
8,ABCB1B,NP_035205.1,Astyanax_mexicanus,XP_049320497.1,ABCB4,Mus_musculus,NP_035205.1,ABCB1B,0.0,1564.0,0.0,1564.0
9,ABCB4,NP_032856.2,Astyanax_mexicanus,XP_049320497.1,ABCB4,Mus_musculus,NP_032856.2,ABCB4,0.0,1563.0,0.0,1563.0
10,ABCC2,NP_038834.2,Astyanax_mexicanus,XP_049328050.1,LOC103027747,Mus_musculus,NP_038834.2,ABCC2,0.0,1674.0,0.0,1674.0
11,ABCC6,NP_061265.2,,,,,,,,,,
12,ABCG2,NP_001342406.1,Astyanax_mexicanus,XP_007234374.2,ABCG2D,Mus_musculus,NP_001342406.1,ABCG2,1.51e-212,739.0,9.380000000000001e-213,739.0
13,ABCG2,NP_001342406.1,Astyanax_mexicanus,XP_022520165.1,ABCG2A,Mus_musculus,NP_001342406.1,ABCG2,3.76e-213,741.0,2.34e-213,741.0
