,Model_nodos,NCBI_Product_accesion,Astyanax_ortologos,ID
0,A2M,NP_001334352.2,"[('XP_007236950.3', 'LOC103029544'), ('XP_022524556.2', 'LOC103040601'), ('XP_049322902.1', 'LOC103040601'), ('XP_049322910.1', 'LOC103028185')]",1
1,AATF,NP_036270.1,"[('XP_007245269.3', 'AATF')]",2
2,ABCA1,NP_005493.2,"[('XP_022522959.2', 'ABCA1A'), ('XP_022522960.2', 'ABCA1A'), ('XP_022527820.2', 'ABCA1B'), ('XP_022527822.2', 'ABCA1B'), ('XP_022527823.2', 'ABCA1B'), ('XP_022527824.2', 'ABCA1B')]",3
3,ABCA3,NP_001080.2,"[('XP_022520829.2', 'ABCA3B')]",4
4,ABCB1,NP_001335874.1,"[('XP_049320497.1', 'ABCB4')]",5
5,ABCB4,XP_054214378.1,"[('XP_049320497.1', 'ABCB4')]",6
6,ABCB8,NP_001269222.1,"[('XP_007239333.2', 'ABCB8')]",7
7,ABCC1,XP_054236327.1,"[('XP_007235405.2', 'ABCC1'), ('XP_049323840.1', 'ABCC1')]",8
8,ABCC2,NP_000383.2,"[('XP_049328050.1', 'LOC103027747')]",9
9,ABCC3,NP_003777.2,"[('XP_007257299.3', 'ABCC3'), ('XP_007257300.3', 'ABCC3')]",10
10,ABCC4,NP_001288758.1,"[('XP_022531083.2', 'ABCC4')]",11
11,ABCG1,NP_997510.1,"[('XP_022531095.1', 'ABCG1')]",12
12,ABCG2,NP_001335916.1,"[('XP_007234374.2', 'ABCG2D'), ('XP_022520165.1', 'ABCG2A')]",13
13,ABCG4,NP_001335120.1,"[('XP_007236927.3', 'LOC103024177'), ('XP_007260569.2', 'ABCG4A')]",14
14,ABCG8,NP_071882.1,"[('XP_007255827.2', 'ABCG8')]",15
15,ABL1,NP_009297.2,"[('XP_007254055.2', 'ABL1')]",16
16,ACACA,XP_054171873.1,"[('XP_049331266.1', 'ACACA'), ('XP_049331277.1', 'ACACA'), ('XP_049331280.1', 'ACACA'), ('XP_049331282.1', 'ACACA'), ('XP_049331288.1', 'ACACA'), ('XP_049331298.1', 'ACACA'), ('XP_049331300.1', 'ACACA'), ('XP_049331308.1', 'ACACA')]",17
17,ACACB,NP_001399666.1,"[('XP_049326198.1', 'ACACB'), ('XP_049326199.1', 'ACACB'), ('XP_049326200.1', 'ACACB'), ('XP_049326201.1', 'ACACB'), ('XP_049326202.1', 'ACACB'), ('XP_049326203.1', 'ACACB'), ('XP_049326204.1', 'ACACB'), ('XP_049326205.1', 'ACACB'), ('XP_049326206.1', 'ACACB')]",18
18,ACADL,NP_001599.1,"[('XP_022542719.2', 'ACADL')]",19
19,ACAT1,NP_001373606.1,"[('XP_007244797.3', 'ACAT1')]",20
20,ACAT2,NP_005882.2,"[('XP_007260922.2', 'ACAT2')]",21
21,ACBD3,NP_073572.2,"[('XP_007260907.3', 'ACBD3'), ('XP_007260908.3', 'ACBD3')]",22
22,ACE,NP_000780.1,"[('XP_022525062.2', 'ACE')]",23
23,ACE2,NP_001373188.1,"[('XP_022523929.2', 'ACE2')]",24
24,ACHE,NP_001354848.1,"[('XP_022534078.2', 'ACHE'), ('XP_022534079.2', 'ACHE')]",25
25,ACKR3,XP_054199038.1,"[('XP_007258536.3', 'ACKR3B')]",26
26,ACLY,NP_001290204.1,"[('XP_007256318.3', 'ACLYA'), ('XP_049320392.1', 'LOC103023371'), ('XP_049320393.1', 'LOC103023371'), ('XP_049320395.1', 'LOC103023371'), ('XP_049320396.1', 'LOC103023371'), ('XP_049320397.1', 'LOC103023371')]",27
27,ACO1,XP_054218981.1,"[('XP_007255249.3', 'ACO1'), ('XP_049338441.1', 'ACO1')]",28
28,ACOT7,NP_009205.3,"[('XP_007248001.3', 'ACOT7'), ('XP_007248002.3', 'ACOT7'), ('XP_007248003.3', 'ACOT7'), ('XP_007248004.3', 'ACOT7')]",29
29,ACOX1,NP_004026.2,"[('XP_022531316.1', 'ACOX1'), ('XP_022531317.1', 'ACOX1')]",30
30,ACP5,NP_001308952.1,"[('XP_007257220.1', 'ACP5A'), ('XP_007257221.1', 'ACP5A')]",31
31,ACR,NP_001088.2,"[('XP_022532596.2', 'LOC111194057')]",32
32,ACTA1,NP_001091.1,"[('XP_007235317.1', 'ACTC1A'), ('XP_007238991.1', 'ACTA1A'), ('XP_007248613.1', 'ACTA1B'), ('XP_007252999.1', 'ACTC2'), ('XP_015463524.1', 'ACTC1B'), ('XP_022520514.1', 'ACTA2'), ('XP_022535157.1', 'LOC103039206'), ('XP_022539577.1', 'ACTE1')]",33
33,ACTC1,NP_001393411.1,"[('XP_007235317.1', 'ACTC1A'), ('XP_007238991.1', 'ACTA1A'), ('XP_007248613.1', 'ACTA1B'), ('XP_007252999.1', 'ACTC2'), ('XP_015463524.1', 'ACTC1B'), ('XP_022520514.1', 'ACTA2'), ('XP_022535157.1', 'LOC103039206'), ('XP_022539577.1', 'ACTE1')]",34
34,ACTG2,NP_001606.1,"[('XP_007235317.1', 'ACTC1A'), ('XP_007238991.1', 'ACTA1A'), ('XP_007247883.1', 'ACTB2'), ('XP_007248613.1', 'ACTA1B'), ('XP_007252999.1', 'ACTC2'), ('XP_007260329.1', 'ACTB1'), ('XP_015463524.1', 'ACTC1B'), ('XP_022520514.1', 'ACTA2'), ('XP_022535157.1', 'LOC103039206'), ('XP_022539577.1', 'ACTE1')]",35
35,ACTN4,XP_054178219.1,"[('XP_022524069.1', 'ACTN4'), ('XP_022524070.1', 'ACTN4'), ('XP_022524071.1', 'ACTN4'), ('XP_022524072.2', 'ACTN4'), ('XP_049332701.1', 'ACTN4')]",36
36,ACVRL1,NP_000011.2,"[('XP_007246816.1', 'ACVRL1'), ('XP_015460684.1', 'ACVRL1'), ('XP_015460685.1', 'ACVRL1'), ('XP_022532622.1', 'ACVRL1'), ('XP_049318709.1', 'ACVRL1')]",37
37,ADAM12,NP_001275902.1,"[('XP_022528278.2', 'ADAM12B'), ('XP_022528279.2', 'ADAM12B'), ('XP_049320339.1', 'LOC103040611'), ('XP_049320340.1', 'LOC103040611')]",38
38,ADAM17,NP_003174.3,"[('XP_007235314.3', 'ADAM17B'), ('XP_007252263.3', 'ADAM17A')]",39
39,ADAM23,XP_054200314.1,"[('XP_007258030.3', 'LOC103039143'), ('XP_049335293.1', 'ADAM23A')]",40
40,ADAMTS1,NP_008919.3,"[('XP_007237820.1', 'ADAMTS1')]",41
41,ADARB2,NP_061172.1,"[('XP_022529109.1', 'ADARB2')]",42
42,ADGRB1,XP_054216905.1,"[('XP_049336301.1', 'ADGRB1A'), ('XP_049336302.1', 'ADGRB1A'), ('XP_049336303.1', 'ADGRB1A'), ('XP_049336304.1', 'ADGRB1A'), ('XP_049336305.1', 'ADGRB1A'), ('XP_049336306.1', 'ADGRB1A'), ('XP_049336307.1', 'ADGRB1A'), ('XP_049336308.1', 'ADGRB1A')]",43
43,ADGRE5,NP_510966.1,"[('XP_049332028.1', 'LOC103030981'), ('XP_049332029.1', 'LOC103030981')]",44
44,ADH5,NP_000662.3,"[('XP_007245596.2', 'ADH5'), ('XP_049339932.1', 'ADH5')]",45
45,ADIPOQ,NP_001171271.1,"[('XP_022517956.2', 'ADIPOQB')]",46
46,ADIPOR1,NP_057083.2,"[('XP_007231740.3', 'ADIPOR1B'), ('XP_049327662.1', 'ADIPOR1A'), ('XP_049327663.1', 'ADIPOR1A'), ('XP_049327664.1', 'ADIPOR1A')]",47
47,ADIPOR2,NP_001362292.1,"[('XP_022527520.2', 'ADIPOR2')]",48
48,ADM,NP_001115.1,"[('XP_007234281.1', 'ADMA')]",49
49,ADORA1,XP_054190467.1,"[('XP_007231990.1', 'ADORA1B')]",50
50,ADORA2A,NP_001265426.1,"[('XP_007233964.1', 'ADORA2AB')]",51
51,ADRA2B,NP_000673.2,"[('XP_007234270.2', 'ADRA2B')]",52
52,ADRB2,NP_000015.2,"[('XP_007231763.3', 'ADRB2B'), ('XP_007232946.3', 'ADRB2A')]",53
53,ADRB3,NP_000016.1,"[('XP_007260201.1', 'ADRB3A')]",54
