,Model_nodos,NCBI_Product_accesion,Astyanax_ortologos,ID
0,ABCA1,XP_006537619.1,"[('XP_022522959.2', 'ABCA1A'), ('XP_022522960.2', 'ABCA1A'), ('XP_022527820.2', 'ABCA1B'), ('XP_022527822.2', 'ABCA1B'), ('XP_022527823.2', 'ABCA1B'), ('XP_022527824.2', 'ABCA1B')]",1
1,ABCB11,NP_066302.2,"[('XP_022525386.2', 'ABCB11B')]",2
2,ABCB1A,NP_035206.2,"[('XP_049320497.1', 'ABCB4')]",3
3,ABCB1B,NP_035205.1,"[('XP_049320497.1', 'ABCB4')]",4
4,ABCB4,NP_032856.2,"[('XP_049320497.1', 'ABCB4')]",5
5,ABCC2,NP_038834.2,"[('XP_049328050.1', 'LOC103027747')]",6
6,ABCG2,NP_001342406.1,"[('XP_007234374.2', 'ABCG2D'), ('XP_022520165.1', 'ABCG2A')]",7
7,ABHD14A,XP_006511866.1,"[('XP_007234506.1', 'ABHD14A')]",8
8,ABL2,NP_033725.2,"[('XP_022526757.2', 'ABL2'), ('XP_022526758.2', 'ABL2'), ('XP_049341980.1', 'ABL2')]",9
9,ACACB,NP_001390456.1,"[('XP_049326198.1', 'ACACB'), ('XP_049326199.1', 'ACACB'), ('XP_049326200.1', 'ACACB'), ('XP_049326201.1', 'ACACB'), ('XP_049326202.1', 'ACACB'), ('XP_049326203.1', 'ACACB'), ('XP_049326204.1', 'ACACB'), ('XP_049326205.1', 'ACACB'), ('XP_049326206.1', 'ACACB')]",10
10,ACADM,NP_031408.1,"[('XP_007245171.1', 'ACADM')]",11
11,ACHE,NP_033729.1,"[('XP_022534078.2', 'ACHE'), ('XP_022534079.2', 'ACHE')]",12
12,ACMSD,NP_001028213.1,"[('XP_007232480.3', 'ACMSD')]",13
13,ACP5,NP_001095874.1,"[('XP_007257220.1', 'ACP5A'), ('XP_007257221.1', 'ACP5A')]",14
14,ACSBG1,NP_444408.1,"[('XP_015460610.3', 'ACSBG1'), ('XP_022527921.2', 'ACSBG1')]",15
15,ACSL4,XP_030107239.1,"[('XP_007247481.3', 'ACSL4A'), ('XP_007247482.3', 'ACSL4A'), ('XP_007247483.3', 'ACSL4A')]",16
16,ACSS1,NP_542142.1,"[('XP_049319749.1', 'ACSS1')]",17
17,ACSS2,NP_062785.2,"[('XP_022519238.2', 'ACSS2'), ('XP_022519239.2', 'ACSS2'), ('XP_022519240.2', 'ACSS2')]",18
