Model_nodos,NCBI_Product_accesion,Astyanax_ortologos,Symbol
A2M,NP_001334352.2,KAG9265127.1,A2M
A2M,NP_001334352.2,KAG9265130.1,A2ML1
A2M,NP_001334352.2,KAG9265132.1,A2ML1
AATF,NP_036270.1,KAG9281985.1,AATF
ABCA1,NP_005493.2,KAG9260005.1,ABCA1
ABCA1,NP_005493.2,KAG9281151.1,ABCA1
ABCA3,NP_001080.2,KAG9264555.1,ABCA3
ABCB1,NP_001335874.1,KAG9283635.1,ABCB1
ABCB4,XP_054214378.1,KAG9283635.1,ABCB1
ABCB8,NP_001269222.1,KAG9276103.1,ABCB8
ABCC1,XP_054236327.1,KAG9264022.1,ABCC1
ABCC2,NP_000383.2,KAG9260121.1,ABCC2
ABCC3,NP_003777.2,KAG9267770.1,ABCC3
ABCC4,NP_001288758.1,KAG9277872.1,ABCC4
ABCG1,NP_997510.1,KAG9265059.1,ABCG1
ABCG2,NP_001335916.1,KAG9269220.1,ABCG2
ABCG2,NP_001335916.1,KAG9275618.1,ABCG2
ABCG4,NP_001335120.1,KAG9265125.1,ABCG4
ABCG4,NP_001335120.1,KAG9281752.1,ABCG4
ABCG8,NP_071882.1,KAG9275139.1,ABCG8
ABL1,NP_009297.2,KAG9281890.1,ABL1
ACACA,XP_054171873.1,KAG9281984.1,ACACA
ACACB,NP_001399666.1,KAG9261557.1,ACACB
ACADL,NP_001599.1,KAG9273471.1,ACADL
ACAT1,NP_001373606.1,KAG9263112.1,ACAT1
ACAT2,NP_005882.2,KAG9282919.1,ACAT2
ACBD3,NP_073572.2,KAG9282923.1,ACBD3
ACE,NP_000780.1,KAG9267326.1,ACE
ACE2,NP_001373188.1,KAG9261029.1,ACE2
ACHE,NP_001354848.1,KAG9274266.1,ACHE
ACKR3,XP_054199038.1,KAG9277923.1,ACKR3
ACLY,NP_001290204.1,KAG9264241.1,ACLY
ACLY,NP_001290204.1,KAG9267434.1,ACLY
ACO1,XP_054218981.1,KAG9274218.1,ACO1
ACOX1,NP_004026.2,KAG9277452.1,ACOX1
ACP5,NP_001308952.1,KAG9277353.1,ACP5
ACR,NP_001088.2,KAG9269772.1,ACR
ACTA1,NP_001091.1,KAG9262281.1,ACTBA
ACTA1,NP_001091.1,KAG9272000.1,ACTC1
ACTA1,NP_001091.1,KAG9272884.1,ACTC1
ACTA1,NP_001091.1,KAG9279940.1,ACTBB
ACTA2,NP_001393397.1,KAG9267709.1,ACTA2
ACTC1,NP_001393411.1,KAG9262281.1,ACTBA
ACTC1,NP_001393411.1,KAG9272000.1,ACTC1
ACTC1,NP_001393411.1,KAG9272884.1,ACTC1
ACTC1,NP_001393411.1,KAG9279940.1,ACTBB
ACTG2,NP_001606.1,KAG9262281.1,ACTBA
ACTG2,NP_001606.1,KAG9272000.1,ACTC1
ACTG2,NP_001606.1,KAG9272884.1,ACTC1
ACTG2,NP_001606.1,KAG9279940.1,ACTBB
ACTN4,XP_054178219.1,KAG9278887.1,ACTN4
ACVRL1,NP_000011.2,KAG9269753.1,ACVR1
ADAM12,NP_001275902.1,KAG9267464.1,ADAM12
ADAM17,NP_003174.3,KAG9268484.1,ADAM17
ADAM17,NP_003174.3,KAG9282938.1,ADAM17
ADAM23,XP_054200314.1,KAG9271491.1,ADAM23
ADAMTS1,NP_008919.3,KAG9262173.1,ADAMTS1
ADARB2,NP_061172.1,KAG9276746.1,ADARB2
ADGRB1,XP_054216905.1,KAG9276230.1,ADGRB1
ADH5,NP_000662.3,KAG9272321.1,KAG9272321.1
ADIPOR1,NP_057083.2,KAG9260470.1,ADIPOR1
ADIPOR1,NP_057083.2,KAG9270871.1,ADIPOR1
ADIPOR2,NP_001362292.1,KAG9280198.1,ADIPOR2
ADM,NP_001115.1,KAG9267137.1,ADM
ADORA1,XP_054190467.1,KAG9270758.1,ADORA1
ADORA2A,NP_001265426.1,KAG9266218.1,ADORA2A
ADRA2B,NP_000673.2,KAG9270485.1,ADRA2B
ADRB2,NP_000015.2,KAG9265923.1,ADRB2
ADRB2,NP_000015.2,KAG9272734.1,ADRB2
ADRB3,NP_000016.1,KAG9270408.1,ADRB4C
ADRB3,NP_000016.1,KAG9270409.1,ADRB4C
AGGF1,NP_060516.2,KAG9266004.1,AGGF1
AGR2,XP_054213068.1,KAG9276105.1,KAG9276105.1
AGR2,XP_054213068.1,KAG9279662.1,KAG9279662.1
AGT,NP_001369746.2,KAG9275581.1,AGT
AHR,NP_001612.1,KAG9261101.1,AHR
AHRR,NP_001364168.1,KAG9278757.1,AHRR
AIP,XP_054226424.1,KAG9275732.1,AIP
AIRE,NP_000374.1,KAG9264757.1,AIRE
AK4,NP_982289.1,KAG9277323.1,AK4
AKAP12,NP_005091.2,KAG9283009.1,AKAP12
AKR1B1,NP_001619.1,KAG9280149.1,AKR1B1
AKR1B1,NP_001619.1,KAG9280151.1,AKR1B1
AKT1,NP_001369359.1,KAG9268166.1,AKT1
ALAS1,NP_001291373.1,KAG9260450.1,ALAS1
ALAS2,NP_001033057.1,KAG9270805.1,ALAS2
ALDH1A3,NP_000684.2,KAG9266523.1,ALDH1A3
ALDOA,NP_001230106.1,KAG9265778.1,ALDOCB
ALDOA,NP_001230106.1,KAG9267404.1,KAG9267404.1
ALDOB,NP_000026.2,KAG9272192.1,ALDOB
ALK,NP_004295.2,KAG9268120.1,ALK
ALK,NP_004295.2,KAG9268855.1,ALK
ALKBH2,NP_001138846.1,KAG9261400.1,ALKBH2
ALOX12,NP_000688.2,KAG9274271.1,ALOX12
ALOX15B,NP_001132.2,KAG9269156.1,ALOXE3
ALOX15B,NP_001132.2,KAG9282355.1,ALOX15B
ALOX15B,NP_001132.2,KAG9282358.1,ALOX15B
ALOX5,NP_000689.1,KAG9275247.1,ALOX5
ALOX5AP,NP_001191335.1,KAG9263242.1,ALOX5AP
ALPI,NP_001622.2,KAG9265319.1,ALPL
ALPI,NP_001622.2,KAG9266905.1,ALPI
ALPL,NP_000469.3,KAG9260765.1,KAG9260765.1
AMACR,NP_001161067.1,KAG9265514.1,AMACR
AMH,NP_000470.3,KAG9266835.1,AMH
ANAPC4,NP_001273685.1,KAG9282781.1,ANAPC4
ANGPT1,NP_001186788.1,KAG9279899.1,ANGPT1
ANGPTL4,XP_054177121.1,KAG9278896.1,ANGPTL4
ANKRD1,NP_055206.2,KAG9268373.1,ANKRD1
ANPEP,NP_001141.2,KAG9266984.1,ANPEP
ANPEP,NP_001141.2,KAG9266986.1,ANPEP
ANPEP,NP_001141.2,KAG9272063.1,ANPEP
ANTXR1,NP_115584.1,KAG9270449.1,ANTXR1
APAF1,NP_863651.1,KAG9280671.1,APAF1
APBB1,NP_663722.1,KAG9263534.1,APBB1
APC,NP_001394375.1,KAG9263037.1,APC
APCS,NP_001630.1,KAG9276808.1,PXN1
APLF,NP_775816.1,KAG9262580.1,APLF
APLNR,NP_005152.1,KAG9263357.1,APLNRB
APLNR,NP_005152.1,KAG9270496.1,APLNRA
APOB,NP_000375.3,KAG9268103.1,APOB
APOD,NP_001638.1,KAG9273925.1,APOD
APOD,NP_001638.1,KAG9283441.1,APOD
ARF1,NP_001649.1,KAG9264198.1,ARF1
ARF1,NP_001649.1,KAG9269763.1,ARF3
ARF1,NP_001649.1,KAG9274767.1,ARF1
ARF1,NP_001649.1,KAG9276113.1,ARF1
ARF1,NP_001649.1,KAG9277049.1,ARF3
ARF6,NP_001654.1,KAG9268625.1,ARF6
ARF6,NP_001654.1,KAG9282898.1,ARF6
ARG1,NP_001231367.1,KAG9267570.1,ARG1
ARG2,NP_001163.1,KAG9274930.1,ARG2
ARHGEF1,XP_054178551.1,KAG9283584.1,ARHGEF1
ARID1A,NP_006006.3,KAG9276408.1,ARID1A
ARID1A,NP_006006.3,KAG9279294.1,ARID1A
ARID1B,XP_054212005.1,KAG9268877.1,ARID1B
ARID1B,XP_054212005.1,KAG9283094.1,ARID1B
ARID3A,XP_054176112.1,KAG9266755.1,ARID3A
ARL6IP5,NP_006398.1,KAG9269870.1,ARL6IP5
ARNT2,NP_055677.3,KAG9266533.1,ARNT2
ARX,NP_620689.1,KAG9283403.1,ARX
ASAH1,NP_004306.3,KAG9259665.1,ASAH1
ASAP2,XP_054200351.1,KAG9268481.1,ASAP2
ASCL1,NP_004307.2,KAG9280174.1,KAG9280174.1
ASF1B,NP_060624.1,KAG9279033.1,ASF1BA
ASH1L,XP_054193647.1,KAG9279390.1,ASH1L
ASNS,NP_001339425.1,KAG9279601.1,ASNS
ASNS,NP_001339425.1,KAG9279602.1,ASNS
ASPH,NP_001400830.1,KAG9274038.1,ASPH
ASS1,NP_446464.1,KAG9281630.1,ASS1
