Model_nodos,NCBI_Product_accesion,Astyanax_ortologos,Symbol
14-3-3EPSILON,NP_732309.1,KAG9265182.1,YWHAE
14-3-3EPSILON,NP_732309.1,KAG9281675.1,YWHAE
14-3-3ZETA,NP_476885.2,KAG9268141.1,YWHAB
14-3-3ZETA,NP_476885.2,KAG9270337.1,YWHABA
14-3-3ZETA,NP_476885.2,KAG9275912.1,YWHABA
14-3-3ZETA,NP_476885.2,KAG9277942.1,YWHABA
14-3-3ZETA,NP_476885.2,KAG9282939.1,YWHABA
5-HT7,NP_524599.1,KAG9262031.1,HTR7
5-HT7,NP_524599.1,KAG9265546.1,HTR1A-B
5-HT7,NP_524599.1,KAG9268393.1,HTR7
ABI,NP_001247090.1,KAG9273664.1,ABI1
ABI,NP_001247090.1,KAG9276765.1,ABI1
AC13E,NP_001259575.1,KAG9261319.1,ADCY9
AC3,NP_610116.2,KAG9276390.1,ADCY3
AC3,NP_610116.2,KAG9282289.1,ADCY3
AC76E,NP_001246838.1,KAG9260929.1,ADCY2
AC76E,NP_001246838.1,KAG9276173.1,ADCY2
AC76E,NP_001246838.1,KAG9279636.1,ADCY2
ACC,NP_610342.1,KAG9261557.1,ACACB
ACC,NP_610342.1,KAG9281984.1,ACACA
ACE,NP_001262530.1,KAG9272871.1,BCHE
ACJ6,NP_001245683.1,KAG9277807.1,POU4F1
ACT42A,NP_523625.1,KAG9262281.1,ACTBA
ACT42A,NP_523625.1,KAG9272000.1,ACTC1
ACT42A,NP_523625.1,KAG9272884.1,ACTC1
ACT42A,NP_523625.1,KAG9279940.1,ACTBB
ACT57B,NP_523800.1,KAG9262281.1,ACTBA
ACT57B,NP_523800.1,KAG9272000.1,ACTC1
ACT57B,NP_523800.1,KAG9272884.1,ACTC1
ACT57B,NP_523800.1,KAG9279940.1,ACTBB
ACT5C,NP_511052.1,KAG9262281.1,ACTBA
ACT5C,NP_511052.1,KAG9272000.1,ACTC1
ACT5C,NP_511052.1,KAG9272884.1,ACTC1
ACT5C,NP_511052.1,KAG9279940.1,ACTBB
ACT87E,NP_477091.1,KAG9262281.1,ACTBA
ACT87E,NP_477091.1,KAG9272000.1,ACTC1
ACT87E,NP_477091.1,KAG9272884.1,ACTC1
ACT87E,NP_477091.1,KAG9279940.1,ACTBB
ACT88F,NP_524367.1,KAG9262281.1,ACTBA
ACT88F,NP_524367.1,KAG9272000.1,ACTC1
ACT88F,NP_524367.1,KAG9272884.1,ACTC1
ACT88F,NP_524367.1,KAG9279940.1,ACTBB
ADAR,NP_001245474.1,KAG9261115.1,ADARB1
ADAR,NP_001245474.1,KAG9271629.1,ADARB1
ADGF-A,NP_524130.1,KAG9271964.1,ADA2A
ADK2,NP_648624.1,KAG9275437.1,ADK
AFT,NP_477413.1,KAG9266502.1,CMTR2
ALDH,NP_609285.1,KAG9261669.1,ALDH2
ALDH-III,NP_610285.5,KAG9265137.1,ALDH3A2
ALDH-III,NP_610285.5,KAG9265138.1,ALDH3A2
ALDH-III,NP_610285.5,KAG9265768.1,ALDH3A2
ALIX,NP_651582.1,KAG9279836.1,PDCD6IP
ALK,NP_652600.1,KAG9268120.1,ALK
ALPH,NP_651701.1,KAG9268015.1,PPM1B
ALPH,NP_651701.1,KAG9274956.1,PPM1A
ALPH,NP_651701.1,KAG9275137.1,PPM1B
ALPH,NP_651701.1,KAG9282816.1,PPM1A
ALPHA-CAT,NP_524219.1,KAG9281316.1,CTNNA1
ALPHACOP,NP_477395.1,KAG9273927.1,COPA
ALPHA-SPEC,NP_476739.1,KAG9266214.1,SPTAN1
ALPHATRY,NP_476771.1,KAG9273414.1,KAG9273414.1
ALPHATUB84B,NP_476772.1,KAG9262236.1,TUBA
ALPHATUB84B,NP_476772.1,KAG9271578.1,KAG9271578.1
AMON,NP_477318.1,KAG9274835.1,PCSK2
ANCE,NP_477046.1,KAG9261029.1,ACE2
ANCE-3,NP_001285917.1,KAG9261029.1,ACE2
AOP,NP_722766.1,KAG9280587.1,ETV6
AP,NP_001163058.1,KAG9269975.1,LHX2
AP-1GAMMA,NP_788891.2,KAG9267157.1,AP1G1
AP-1SIGMA,NP_651198.1,KAG9266679.1,AP1S2
AP-1SIGMA,NP_651198.1,KAG9269217.1,AP1S2
AP-1SIGMA,NP_651198.1,KAG9274258.1,AP1S1
APH-1,NP_608710.1,KAG9267205.1,APH1B
APPL,NP_001245450.1,KAG9262175.1,APP
APRT,NP_476637.1,KAG9261253.1,APRT
APS,NP_648421.1,KAG9276910.1,NUDT3
APS,NP_648421.1,KAG9280689.1,NUDT4B
ARG,NP_524875.1,KAG9267570.1,ARG1
ARI-1,NP_523399.1,KAG9266499.1,ARIH1
ARI-1,NP_523399.1,KAG9273177.1,ARIH1
ARI-2,NP_477374.1,KAG9270906.1,ARIH2
ARM,NP_476666.1,KAG9263822.1,CTNNB1
ARM,NP_476666.1,KAG9276534.1,CTNNB1
ARR,NP_524737.2,KAG9272066.1,LRP5
ART4,NP_649963.1,KAG9263926.1,CARM1
ARU,NP_722663.1,KAG9280577.1,EPS8
ASH2,NP_788735.1,KAG9263020.1,ASH2L
ASPH,NP_001246357.1,KAG9274038.1,ASPH
ATE1,NP_477394.3,KAG9274997.1,ATE1
ATG1,NP_648601.1,KAG9265136.1,ULK2
ATG1,NP_648601.1,KAG9270505.1,ULK1
ATG2,NP_647748.1,KAG9268560.1,KAG9268560.1
ATG5,NP_572390.1,KAG9278476.1,ATG5
ATG6,NP_651209.1,KAG9267249.1,BECN1
ATG8A,NP_727447.1,KAG9274238.1,GABARAP
ATG8A,NP_727447.1,KAG9281525.1,GABARAP
ATG9,NP_001261023.1,KAG9276102.1,ATG9A
ATG9,NP_001261023.1,KAG9277604.1,ATG9A
ATL,NP_651274.1,KAG9261263.1,ATL2
ATL,NP_651274.1,KAG9275482.1,ATL1
ATMS,NP_649493.1,KAG9265345.1,KAG9265345.1
ATPALPHA,NP_732572.1,KAG9262149.1,ATP1A1
ATPALPHA,NP_732572.1,KAG9262152.1,ATP1A1
ATPALPHA,NP_732572.1,KAG9262153.1,ATP1A1
ATPALPHA,NP_732572.1,KAG9271125.1,ATP1A1
ATPALPHA,NP_732572.1,KAG9275966.1,ATP1A3
ATPALPHA,NP_732572.1,KAG9279334.1,ATP1A3
ATPCL,NP_725514.2,KAG9264241.1,ACLY
ATPCL,NP_725514.2,KAG9267434.1,ACLY
AUX,NP_649438.1,KAG9261580.1,GAK
AWH,NP_001261379.1,KAG9263277.1,LHX6
AWH,NP_001261379.1,KAG9278819.1,LHX8
B,NP_476788.1,KAG9269034.1,CSAD
B52,NP_788671.2,KAG9260293.1,SRSF6
B52,NP_788671.2,KAG9269869.1,SRSF6
B52,NP_788671.2,KAG9274979.1,SRSF5
BABO,NP_476999.1,KAG9276696.1,TGFBR1
BABO,NP_476999.1,KAG9277053.1,ACVR1B
BAF,NP_609176.1,KAG9265855.1,BANF1
BAI,NP_651323.3,KAG9282294.1,TMED10
BAZ,NP_001285364.1,KAG9278225.1,KAG9278225.1
BCHS,NP_608968.2,KAG9261700.1,WDFY3
BEG,NP_648950.1,KAG9280325.1,MCAT
BEL,NP_536783.1,KAG9271099.1,AN3
BEL,NP_536783.1,KAG9277887.1,AN3
BEST1,NP_652603.1,KAG9262578.1,BEST2
BEST1,NP_652603.1,KAG9280517.1,BEST3
BETA4GALT7,NP_651319.2,KAG9272511.1,B4GALT7
BETA'COP,NP_524836.2,KAG9273797.1,COPB2
BETA-SPEC,NP_001259660.1,KAG9268524.1,SPTBN1
BETA-SPEC,NP_001259660.1,KAG9282119.1,SPTBN1
BETATRY,NP_524904.1,KAG9273414.1,KAG9273414.1
BETATUB56D,NP_523795.2,KAG9262731.1,TUBB4B
BETATUB56D,NP_523795.2,KAG9270469.1,KAG9270469.1
BETATUB56D,NP_523795.2,KAG9272564.1,TUBB4B
BETATUB56D,NP_523795.2,KAG9272950.1,TUBB3
BETATUB56D,NP_523795.2,KAG9274781.1,TUBB2A
BETATUB56D,NP_523795.2,KAG9275838.1,TUBB
BETATUB56D,NP_523795.2,KAG9281792.1,TUBB4B
BETATUB60D,NP_523842.2,KAG9262731.1,TUBB4B
BETATUB60D,NP_523842.2,KAG9272950.1,TUBB3
BETATUB60D,NP_523842.2,KAG9274781.1,TUBB2A
BETATUB60D,NP_523842.2,KAG9276734.1,TUBB6
BGB,NP_001261271.1,KAG9273258.1,CBFB
BGM,NP_524698.1,KAG9261834.1,ACSBG2
BGM,NP_524698.1,KAG9270083.1,ACSBG2
BIC,NP_476853.1,KAG9266687.1,KAG9266687.1
BIC,NP_476853.1,KAG9281962.1,BTF3
BICC,NP_476865.1,KAG9267299.1,KAG9267299.1
BICC,NP_476865.1,KAG9268429.1,KAG9268429.1
BICC,NP_476865.1,KAG9281192.1,KAG9281192.1
BICD,NP_001260531.1,KAG9260673.1,KAG9260673.1
BICD,NP_001260531.1,KAG9273063.1,KAG9273063.1
BIGMAX,NP_651556.2,KAG9264196.1,MLX
BKA,NP_524867.2,KAG9268806.1,KAG9268806.1
BLP,NP_524370.2,KAG9264547.1,PAM16
BLW,NP_726243.1,KAG9266062.1,ATP5F1A
BMCP,NP_648501.1,KAG9265895.1,SLC25A14
BMM,NP_001163445.1,KAG9280210.1,PNPLA2
BOCA,NP_724578.1,KAG9266538.1,MESD
BON,NP_001262765.1,KAG9270015.1,TRIM33
BON,NP_001262765.1,KAG9280401.1,TRIM24
BONSAI,NP_611691.1,KAG9276440.1,MRPS15
BR140,NP_610266.1,KAG9270239.1,BRPF1
BRE1,NP_647989.2,KAG9267847.1,RNF40
BRE1,NP_647989.2,KAG9272191.1,RNF20
BRF,NP_650616.2,KAG9274909.1,BRF1
BRF,NP_650616.2,KAG9282808.1,BRF1
BRM,NP_001261906.1,KAG9261732.1,SMARCA2
BRM,NP_001261906.1,KAG9264330.1,SMARCA4
BRM,NP_001261906.1,KAG9277505.1,SMARCA4
BRUCE,NP_001262462.1,KAG9268386.1,BIRC6
BRWD3,NP_732982.1,KAG9269785.1,PHIP
BRWD3,NP_732982.1,KAG9282187.1,BRWD3
BSK,NP_723541.1,KAG9266197.1,MAPK10
BSK,NP_723541.1,KAG9267362.1,MAPK8
BSK,NP_723541.1,KAG9275335.1,MAPK8A
BTL,NP_729956.1,KAG9270425.1,FGFR1A
BTL,NP_729956.1,KAG9274998.1,FGFR2
BTL,NP_729956.1,KAG9275189.1,FGFR3
BUFFY,NP_523702.1,KAG9277764.1,BOKA
BUR,NP_620114.3,KAG9273375.1,GMPS
BVES,NP_001259752.1,KAG9276466.1,BVES
