Model_nodos,NCBI_Product_accesion,Astyanax_ortologos,Symbol
14-3-3EPSILON,NP_732309.1,XP_007245994.1,YWHAE1
14-3-3EPSILON,NP_732309.1,XP_007229712.1,YWHAE2
14-3-3EPSILON,NP_732309.1,XP_007245995.1,YWHAE1
14-3-3EPSILON,NP_732309.1,XP_049323473.1,YWHAE2
14-3-3ZETA,NP_476885.2,XP_007241340.1,LOC103023259
14-3-3ZETA,NP_476885.2,XP_049335888.1,YWHABA
14-3-3ZETA,NP_476885.2,XP_022529975.1,YWHABL
14-3-3ZETA,NP_476885.2,XP_049339261.1,YWHAQA
14-3-3ZETA,NP_476885.2,XP_049339264.1,YWHAQA
14-3-3ZETA,NP_476885.2,XP_022528284.1,YWHAQB
5-HT7,NP_524599.1,XP_007256792.3,HTR1AB
5-HT7,NP_524599.1,XP_007234230.1,HTR7C
5-HT7,NP_524599.1,XP_007251794.4,HTR1FA
5-HT7,NP_524599.1,XP_049341026.1,HTR1FA
5-HT7,NP_524599.1,XP_007244750.1,HTR7A
ABI,NP_001247090.1,XP_022533518.1,ABI1B
ABI,NP_001247090.1,XP_022533520.1,ABI1B
ABI,NP_001247090.1,XP_049336215.1,ABI1A
ABI,NP_001247090.1,XP_049336214.1,ABI1A
ABI,NP_001247090.1,XP_022518438.2,ABI1A
ABI,NP_001247090.1,XP_022518439.2,ABI1A
ABI,NP_001247090.1,XP_022518437.2,ABI1A
ABI,NP_001247090.1,XP_022533516.1,ABI1B
ABI,NP_001247090.1,XP_022518440.1,ABI1A
ABI,NP_001247090.1,XP_022533517.1,ABI1B
ABI,NP_001247090.1,XP_022518436.2,ABI1A
ABI,NP_001247090.1,XP_022518434.2,ABI1A
AC3,NP_610116.2,XP_022541047.2,LOC103034748
AC3,NP_610116.2,XP_022541050.2,LOC103034748
AC3,NP_610116.2,XP_022541057.2,LOC103034748
AC3,NP_610116.2,XP_007251869.2,ADCY3A
AC3,NP_610116.2,XP_015461952.2,ADCY3A
AC76E,NP_001246838.1,XP_022529830.2,ADCY2A
AC76E,NP_001246838.1,XP_049336696.1,ADCY2A
AC76E,NP_001246838.1,XP_007231788.4,ADCY2B
ACC,NP_610342.1,XP_049331300.1,ACACA
ACC,NP_610342.1,XP_049331298.1,ACACA
ACC,NP_610342.1,XP_049331288.1,ACACA
ACC,NP_610342.1,XP_049331280.1,ACACA
ACC,NP_610342.1,XP_049331282.1,ACACA
ACC,NP_610342.1,XP_049331266.1,ACACA
ACC,NP_610342.1,XP_049331277.1,ACACA
ACC,NP_610342.1,XP_049331308.1,ACACA
ACC,NP_610342.1,XP_049326204.1,ACACB
ACC,NP_610342.1,XP_049326203.1,ACACB
ACC,NP_610342.1,XP_049326202.1,ACACB
ACC,NP_610342.1,XP_049326198.1,ACACB
ACC,NP_610342.1,XP_049326199.1,ACACB
ACC,NP_610342.1,XP_049326200.1,ACACB
ACC,NP_610342.1,XP_049326201.1,ACACB
ACC,NP_610342.1,XP_049326205.1,ACACB
ACC,NP_610342.1,XP_049326206.1,ACACB
ACE,NP_001262530.1,XP_022521724.2,LOC103037776
ACJ6,NP_001245683.1,XP_007244183.1,POU4F1
ACJ6,NP_001245683.1,XP_007244509.2,POU4F4
ACT42A,NP_523625.1,XP_007260329.1,ACTB1
ACT42A,NP_523625.1,XP_007247883.1,ACTB2
ACT42A,NP_523625.1,XP_022520514.1,ACTA2
ACT42A,NP_523625.1,XP_007252999.1,ACTC2
ACT42A,NP_523625.1,XP_007238991.1,ACTA1A
ACT42A,NP_523625.1,XP_007235317.1,ACTC1A
ACT42A,NP_523625.1,XP_007248613.1,ACTA1B
ACT42A,NP_523625.1,XP_015463524.1,ACTC1B
ACT42A,NP_523625.1,XP_022535157.1,LOC103039206
ACT42A,NP_523625.1,XP_022539577.1,ACTE1
ACT57B,NP_523800.1,XP_007247883.1,ACTB2
ACT57B,NP_523800.1,XP_007260329.1,ACTB1
ACT57B,NP_523800.1,XP_022520514.1,ACTA2
ACT57B,NP_523800.1,XP_007235317.1,ACTC1A
ACT57B,NP_523800.1,XP_007238991.1,ACTA1A
ACT57B,NP_523800.1,XP_007252999.1,ACTC2
ACT57B,NP_523800.1,XP_007248613.1,ACTA1B
ACT57B,NP_523800.1,XP_015463524.1,ACTC1B
ACT57B,NP_523800.1,XP_022535157.1,LOC103039206
ACT57B,NP_523800.1,XP_022539577.1,ACTE1
ACT5C,NP_511052.1,XP_007260329.1,ACTB1
ACT5C,NP_511052.1,XP_007247883.1,ACTB2
ACT5C,NP_511052.1,XP_022520514.1,ACTA2
ACT5C,NP_511052.1,XP_007252999.1,ACTC2
ACT5C,NP_511052.1,XP_007238991.1,ACTA1A
ACT5C,NP_511052.1,XP_007235317.1,ACTC1A
ACT5C,NP_511052.1,XP_007248613.1,ACTA1B
ACT5C,NP_511052.1,XP_015463524.1,ACTC1B
ACT5C,NP_511052.1,XP_022535157.1,LOC103039206
ACT5C,NP_511052.1,XP_022539577.1,ACTE1
ACT87E,NP_477091.1,XP_007247883.1,ACTB2
ACT87E,NP_477091.1,XP_007260329.1,ACTB1
ACT87E,NP_477091.1,XP_022520514.1,ACTA2
ACT87E,NP_477091.1,XP_007235317.1,ACTC1A
