,Model_nodos,NCBI_Product_accesion,Astyanax_ortologos,ID
0,14-3-3EPSILON,NP_732309.1,"[('KAG9265182.1', 'YWHAE'), ('KAG9281675.1', 'YWHAE')]",1
1,14-3-3ZETA,NP_476885.2,"[('KAG9268141.1', 'YWHAB'), ('KAG9270337.1', 'YWHABA'), ('KAG9275912.1', 'YWHABA'), ('KAG9277942.1', 'YWHABA'), ('KAG9282939.1', 'YWHABA')]",2
2,5-HT7,NP_524599.1,"[('KAG9262031.1', 'HTR7'), ('KAG9265546.1', 'HTR1A-B'), ('KAG9268393.1', 'HTR7')]",3
3,ABI,NP_001247090.1,"[('KAG9273664.1', 'ABI1'), ('KAG9276765.1', 'ABI1')]",4
4,AC13E,NP_001259575.1,"[('KAG9261319.1', 'ADCY9')]",5
5,AC3,NP_610116.2,"[('KAG9276390.1', 'ADCY3'), ('KAG9282289.1', 'ADCY3')]",6
6,AC76E,NP_001246838.1,"[('KAG9260929.1', 'ADCY2'), ('KAG9276173.1', 'ADCY2'), ('KAG9279636.1', 'ADCY2')]",7
7,ACC,NP_610342.1,"[('KAG9261557.1', 'ACACB'), ('KAG9281984.1', 'ACACA')]",8
8,ACE,NP_001262530.1,"[('KAG9272871.1', 'BCHE')]",9
9,ACJ6,NP_001245683.1,"[('KAG9277807.1', 'POU4F1')]",10
10,ACT42A,NP_523625.1,"[('KAG9262281.1', 'ACTBA'), ('KAG9272000.1', 'ACTC1'), ('KAG9272884.1', 'ACTC1'), ('KAG9279940.1', 'ACTBB')]",11
11,ACT57B,NP_523800.1,"[('KAG9262281.1', 'ACTBA'), ('KAG9272000.1', 'ACTC1'), ('KAG9272884.1', 'ACTC1'), ('KAG9279940.1', 'ACTBB')]",12
12,ACT5C,NP_511052.1,"[('KAG9262281.1', 'ACTBA'), ('KAG9272000.1', 'ACTC1'), ('KAG9272884.1', 'ACTC1'), ('KAG9279940.1', 'ACTBB')]",13
13,ACT87E,NP_477091.1,"[('KAG9262281.1', 'ACTBA'), ('KAG9272000.1', 'ACTC1'), ('KAG9272884.1', 'ACTC1'), ('KAG9279940.1', 'ACTBB')]",14
14,ACT88F,NP_524367.1,"[('KAG9262281.1', 'ACTBA'), ('KAG9272000.1', 'ACTC1'), ('KAG9272884.1', 'ACTC1'), ('KAG9279940.1', 'ACTBB')]",15
15,ADAR,NP_001245474.1,"[('KAG9261115.1', 'ADARB1'), ('KAG9271629.1', 'ADARB1')]",16
16,ADGF-A,NP_524130.1,"[('KAG9271964.1', 'ADA2A')]",17
17,ADK2,NP_648624.1,"[('KAG9275437.1', 'ADK')]",18
18,AFT,NP_477413.1,"[('KAG9266502.1', 'CMTR2')]",19
19,ALDH,NP_609285.1,"[('KAG9261669.1', 'ALDH2')]",20
20,ALDH-III,NP_610285.5,"[('KAG9265137.1', 'ALDH3A2'), ('KAG9265138.1', 'ALDH3A2'), ('KAG9265768.1', 'ALDH3A2')]",21
21,ALIX,NP_651582.1,"[('KAG9279836.1', 'PDCD6IP')]",22
22,ALK,NP_652600.1,"[('KAG9268120.1', 'ALK')]",23
23,ALPH,NP_651701.1,"[('KAG9268015.1', 'PPM1B'), ('KAG9274956.1', 'PPM1A'), ('KAG9275137.1', 'PPM1B'), ('KAG9282816.1', 'PPM1A')]",24
24,ALPHA-CAT,NP_524219.1,"[('KAG9281316.1', 'CTNNA1')]",25
25,ALPHA-SPEC,NP_476739.1,"[('KAG9266214.1', 'SPTAN1')]",26
26,ALPHACOP,NP_477395.1,"[('KAG9273927.1', 'COPA')]",27
27,ALPHATRY,NP_476771.1,"[('KAG9273414.1', 'KAG9273414.1')]",28
28,ALPHATUB84B,NP_476772.1,"[('KAG9262236.1', 'TUBA'), ('KAG9271578.1', 'KAG9271578.1')]",29
29,AMON,NP_477318.1,"[('KAG9274835.1', 'PCSK2')]",30
30,ANCE,NP_477046.1,"[('KAG9261029.1', 'ACE2')]",31
31,ANCE-3,NP_001285917.1,"[('KAG9261029.1', 'ACE2')]",32
32,AOP,NP_722766.1,"[('KAG9280587.1', 'ETV6')]",33
33,AP,NP_001163058.1,"[('KAG9269975.1', 'LHX2')]",34
