,Model_nodos,NCBI_Product_accesion,Ast,a,a2,Homo,b  ,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
0,ACVRL1,NP_000011.2,Astyanax_mexicanus,XP_007246816.1,ACVRL1,Homo_sapiens,NP_000011.2,ACVRL1,3.08e-153,542.0,1.44e-153,542.0
1,ACVRL1,NP_000011.2,Astyanax_mexicanus,XP_015460684.1,ACVRL1,Homo_sapiens,NP_000011.2,ACVRL1,3.08e-153,542.0,1.44e-153,542.0
2,ACVRL1,NP_000011.2,Astyanax_mexicanus,XP_015460685.1,ACVRL1,Homo_sapiens,NP_000011.2,ACVRL1,3.08e-153,542.0,1.44e-153,542.0
3,ACVRL1,NP_000011.2,Astyanax_mexicanus,XP_022532622.1,ACVRL1,Homo_sapiens,NP_000011.2,ACVRL1,1.54e-153,543.0,7.21e-154,543.0
4,ACVRL1,NP_000011.2,Astyanax_mexicanus,XP_049318709.1,ACVRL1,Homo_sapiens,NP_000011.2,ACVRL1,3.08e-153,542.0,1.44e-153,542.0
5,ADRB2,NP_000015.2,Astyanax_mexicanus,XP_007231763.3,ADRB2B,Homo_sapiens,NP_000015.2,ADRB2,3.54e-114,412.0,1.61e-114,412.0
6,ADRB2,NP_000015.2,Astyanax_mexicanus,XP_007232946.3,ADRB2A,Homo_sapiens,NP_000015.2,ADRB2,5.4e-116,418.0,2.5200000000000002e-116,418.0
7,ADRB3,NP_000016.1,Astyanax_mexicanus,XP_007260201.1,ADRB3A,Homo_sapiens,NP_000016.1,ADRB3,1.92e-86,320.0,7.88e-87,320.0
8,ALDOB,NP_000026.2,Astyanax_mexicanus,XP_022539194.2,ALDOB,Homo_sapiens,NP_000026.2,ALDOB,1.13e-153,543.0,5.22e-154,543.0
9,APOC3,NP_000031.1,,,,,,,,,,
10,AR,NP_000035.2,,,,,,,,,,
11,BLM,NP_000048.1,Astyanax_mexicanus,XP_007235739.3,BLM,Homo_sapiens,NP_000048.1,BLM,0.0,1061.0,0.0,1061.0
12,BLM,NP_000048.1,Astyanax_mexicanus,XP_007235740.3,BLM,Homo_sapiens,NP_000048.1,BLM,0.0,1049.0,0.0,1049.0
13,BLM,NP_000048.1,Astyanax_mexicanus,XP_015457498.3,BLM,Homo_sapiens,NP_000048.1,BLM,0.0,1061.0,0.0,1061.0
14,BLM,NP_000048.1,Astyanax_mexicanus,XP_022535500.2,BLM,Homo_sapiens,NP_000048.1,BLM,0.0,1048.0,0.0,1048.0
15,BRCA2,NP_000050.3,Astyanax_mexicanus,XP_015463688.3,BRCA2,Homo_sapiens,NP_000050.3,BRCA2,5.03e-222,773.0,2.84e-222,773.0
16,BRCA2,NP_000050.3,Astyanax_mexicanus,XP_022524494.2,BRCA2,Homo_sapiens,NP_000050.3,BRCA2,5.0500000000000004e-222,773.0,2.84e-222,773.0
17,C3,NP_000055.2,Astyanax_mexicanus,XP_022518996.2,LOC103045627,Homo_sapiens,NP_000055.2,C3,0.0,1323.0,0.0,1323.0
18,C3,NP_000055.2,Astyanax_mexicanus,XP_049325822.1,LOC103045627,Homo_sapiens,NP_000055.2,C3,0.0,1297.0,0.0,1297.0
19,CA2,NP_000058.1,Astyanax_mexicanus,XP_022529993.1,LOC103021731,Homo_sapiens,NP_000058.1,CA2,1.3e-93,343.0,5.99e-94,343.0
20,CA2,NP_000058.1,Astyanax_mexicanus,XP_022534849.1,CAHZ,Homo_sapiens,NP_000058.1,CA2,4.0699999999999995e-95,348.0,1.87e-95,348.0
21,CA2,NP_000058.1,Astyanax_mexicanus,XP_049334472.1,LOC125801685,Homo_sapiens,NP_000058.1,CA2,1.1e-92,340.0,4.7899999999999995e-93,340.0
22,CD40LG,NP_000065.1,,,,,,,,,,
23,CDK4,NP_000066.1,Astyanax_mexicanus,XP_007248446.1,CDK4,Homo_sapiens,NP_000066.1,CDK4,2.46e-120,432.0,1.13e-120,432.0
24,CDKN2A,NP_000068.1,,,,,,,,,,
25,CETP,NP_000069.2,Astyanax_mexicanus,XP_007249259.2,LOC103040429,Homo_sapiens,NP_000069.2,CETP,6.92e-110,398.0,3.15e-110,398.0
