Astyanax_ortologos,Symbol,ID_nuevo
XP_007245994.1,YWHAE1,YWHAE1
XP_007229712.1,YWHAE2,YWHAE1
XP_007245995.1,YWHAE1,YWHAE1
XP_049323473.1,YWHAE2,YWHAE1
XP_007241340.1,LOC103023259,LOC103023259
XP_049335888.1,YWHABA,LOC103023259
XP_022529975.1,YWHABL,LOC103023259
XP_049339261.1,YWHAQA,LOC103023259
XP_049339264.1,YWHAQA,LOC103023259
XP_022528284.1,YWHAQB,LOC103023259
XP_007256792.3,HTR1AB,HTR1AB
XP_007234230.1,HTR7C,HTR1AB
XP_007251794.4,HTR1FA,HTR1AB
XP_049341026.1,HTR1FA,HTR1AB
XP_007244750.1,HTR7A,HTR1AB
XP_022533518.1,ABI1B,ABI1B
XP_022533520.1,ABI1B,ABI1B
XP_049336215.1,ABI1A,ABI1B
XP_049336214.1,ABI1A,ABI1B
XP_022518438.2,ABI1A,ABI1B
XP_022518439.2,ABI1A,ABI1B
XP_022518437.2,ABI1A,ABI1B
XP_022533516.1,ABI1B,ABI1B
XP_022518440.1,ABI1A,ABI1B
XP_022533517.1,ABI1B,ABI1B
XP_022518436.2,ABI1A,ABI1B
XP_022518434.2,ABI1A,ABI1B
XP_022541047.2,LOC103034748,LOC103034748
XP_022541050.2,LOC103034748,LOC103034748
XP_022541057.2,LOC103034748,LOC103034748
XP_007251869.2,ADCY3A,LOC103034748
XP_015461952.2,ADCY3A,LOC103034748
XP_022529830.2,ADCY2A,ADCY2A
XP_049336696.1,ADCY2A,ADCY2A
XP_007231788.4,ADCY2B,ADCY2A
XP_049331300.1,ACACA,ACACA
XP_049331298.1,ACACA,ACACA
XP_049331288.1,ACACA,ACACA
XP_049331280.1,ACACA,ACACA
XP_049331282.1,ACACA,ACACA
XP_049331266.1,ACACA,ACACA
XP_049331277.1,ACACA,ACACA
XP_049331308.1,ACACA,ACACA
XP_049326204.1,ACACB,ACACA
XP_049326203.1,ACACB,ACACA
XP_049326202.1,ACACB,ACACA
XP_049326198.1,ACACB,ACACA
XP_049326199.1,ACACB,ACACA
XP_049326200.1,ACACB,ACACA
XP_049326201.1,ACACB,ACACA
XP_049326205.1,ACACB,ACACA
XP_049326206.1,ACACB,ACACA
XP_022521724.2,LOC103037776,LOC103037776
XP_007244183.1,POU4F1,POU4F1
XP_007244509.2,POU4F4,POU4F1
XP_007260329.1,ACTB1,ACTB1
XP_007247883.1,ACTB2,ACTB1
XP_022520514.1,ACTA2,ACTB1
XP_007252999.1,ACTC2,ACTB1
XP_007238991.1,ACTA1A,ACTB1
XP_007235317.1,ACTC1A,ACTB1
XP_007248613.1,ACTA1B,ACTB1
XP_015463524.1,ACTC1B,ACTB1
XP_022535157.1,LOC103039206,ACTB1
XP_022539577.1,ACTE1,ACTB1
XP_049341253.1,ADARB1B,ADARB1B
XP_022535911.1,ADARB1B,ADARB1B
XP_022535910.1,ADARB1B,ADARB1B
XP_049327129.1,ADARB1A,ADARB1B
XP_007228989.2,ADARB1A,ADARB1B
XP_022521071.1,ADARB1A,ADARB1B
XP_022521070.1,ADARB1A,ADARB1B
XP_007228411.3,ADA2A,ADA2A
XP_022539506.2,ADA2A,ADA2A
XP_022540387.1,ADKA,ADKA
XP_022521756.1,ADKB,ADKA
XP_022521757.1,ADKB,ADKA
XP_022540389.1,ADKA,ADKA
XP_007260296.3,CMTR2,CMTR2
XP_022541281.1,LOC103036383,LOC103036383
XP_022524625.2,ALDH3A1,ALDH3A1
XP_049322743.1,ALDH3A1,ALDH3A1
XP_022531853.2,ALDH3A2B,ALDH3A1
XP_007246059.3,ALDH3A2A,ALDH3A1
