,Source,Target,Interaction
1,XP_007245269.3,XP_022528737.1,?
3,XP_007245269.3,XP_007229906.3,?
4,XP_007245269.3,XP_007246736.1,+
5,XP_007245269.3,XP_022519420.2,+
6,XP_007254055.2,XP_022519420.2,?
7,XP_007254055.2,XP_022526406.2,?
8,XP_007256049.2,XP_022538820.1,?
9,XP_007256049.2,XP_022522673.1,?
11,XP_022521118.2,XP_022531083.2,?
12,XP_022521118.2,XP_007245039.3,?
13,XP_022521118.2,XP_022542742.2,+
14,XP_022521118.2,XP_007251902.3,+
15,XP_022521118.2,XP_007251902.3,?
17,XP_022521118.2,XP_007258757.3,?
18,XP_022521118.2,XP_007239241.2,?
19,XP_022521118.2,XP_015458327.1,-
24,XP_022521118.2,XP_007243865.2,?
26,XP_022521118.2,XP_022517974.2,+
27,XP_022521118.2,XP_022517974.2,?
28,XP_022521118.2,XP_007245478.3,+
29,XP_022521118.2,XP_007245479.2,+
31,XP_022521118.2,XP_022529326.1,?
32,XP_022521118.2,XP_022540837.2,?
33,XP_022521118.2,XP_022522673.1,+
35,XP_022521118.2,XP_049336834.1,+
36,XP_049322875.1,XP_007252122.1,?
38,XP_007232960.1,XP_007240312.2,+
39,XP_049319898.1,XP_007247247.1,-
41,XP_022537011.2,XP_049318847.1,-
42,XP_022537011.2,XP_049326243.1,?
43,XP_022536604.2,XP_007245655.1,?
44,XP_022536604.2,XP_007233103.2,-
46,XP_022536604.2,XP_022532015.2,+
47,XP_022536604.2,XP_022519420.2,-
48,XP_007229800.1,XP_049338120.1,?
49,XP_007229800.1,XP_007256697.2,+
51,XP_007229800.1,XP_049323949.1,+
52,XP_007229800.1,XP_049323949.1,?
53,XP_007229800.1,XP_022537467.1,+
54,XP_007229800.1,XP_007245479.2,+
55,XP_007229800.1,XP_007230234.3,+
56,XP_007229800.1,XP_049337598.1,-
71,XP_007240305.1,XP_022533297.2,?
74,XP_022524920.2,XP_007241082.3,?
75,XP_049319128.1,XP_007253978.3,-
76,XP_049319128.1,XP_049321057.1,+
99,XP_015462112.3,XP_007234688.2,?
100,XP_015462112.3,XP_007253071.3,+
102,XP_007259060.2,XP_007231367.2,+
103,XP_007259060.2,XP_007246050.3,?
104,XP_007259060.2,XP_007231567.2,+
105,XP_007259060.2,XP_022537979.1,?
106,XP_007259060.2,XP_022520156.2,+
107,XP_007259060.2,XP_007247707.1,+
108,XP_007259060.2,XP_007257128.2,+
109,XP_007259060.2,XP_007249281.4,+
110,XP_007230635.3,XP_022531678.2,?
114,XP_007254295.1,XP_007252148.1,+
115,XP_007254295.1,XP_007247857.1,?
116,XP_007254295.1,XP_007258230.1,?
117,XP_022536055.1,XP_007254687.2,+
118,XP_022536055.1,XP_007244901.2,+
119,XP_022536055.1,XP_007259268.3,+
120,XP_022536055.1,XP_007254686.2,+
121,XP_022536055.1,XP_007259928.1,+
122,XP_022536055.1,XP_007249173.1,+
124,XP_022536055.1,XP_007247543.2,+
125,XP_022536055.1,XP_007247543.2,?
126,XP_022536055.1,XP_007242118.3,?
127,XP_022536055.1,XP_007229695.2,+
128,XP_022536055.1,XP_007230234.3,+
129,XP_022536055.1,XP_015463393.1,+
131,XP_022536055.1,XP_007241082.3,?
132,XP_022536055.1,XP_015458358.2,?
134,XP_007245534.1,XP_007245534.1,-
135,XP_007245534.1,XP_007254687.2,+
136,XP_007245534.1,XP_007234276.1,?
137,XP_007245534.1,XP_022531969.2,-
139,XP_007245534.1,XP_007249118.1,-
140,XP_007245534.1,XP_022541400.2,-
141,XP_007245534.1,XP_022522600.2,+
143,XP_007231405.2,XP_007229906.3,+
144,XP_007231405.2,XP_007231643.3,+
145,XP_007231405.2,XP_007258427.2,+
147,XP_007231405.2,XP_022532324.1,?
148,XP_007231405.2,XP_007252148.1,+
149,XP_007231405.2,XP_007260006.3,?
151,XP_007231405.2,XP_022532531.2,?
153,XP_007231405.2,XP_007254565.2,+
155,XP_049336600.1,XP_007252148.1,+
156,XP_049336600.1,XP_007254066.2,+
157,XP_022534729.2,XP_007229906.3,-
158,XP_022534729.2,XP_022531349.2,+
159,XP_022534729.2,XP_022519420.2,+
160,XP_022534729.2,XP_022519420.2,?
169,XP_007247318.3,XP_022519420.2,-
170,XP_007254977.2,XP_049334702.1,-
171,XP_022523460.1,XP_022520514.1,?
172,XP_022523460.1,XP_049318824.1,+
173,XP_022523460.1,XP_049318824.1,?
174,XP_022523460.1,XP_049320204.1,?
179,XP_007252299.3,XP_007244424.1,+
180,XP_049320089.1,XP_022521118.2,-
181,XP_049320089.1,XP_007249986.3,+
182,XP_049320089.1,XP_007231643.3,+
183,XP_049320089.1,XP_015456426.3,?
184,XP_049320089.1,XP_007233675.2,?
186,XP_049320089.1,XP_049326243.1,?
187,XP_049320089.1,XP_007238626.3,-
188,XP_049320089.1,XP_007256963.2,-
189,XP_049336563.1,XP_007254687.2,?
190,XP_049336563.1,XP_007258141.3,?
191,XP_049336563.1,XP_015458319.1,?
192,XP_049336563.1,XP_007250892.3,?
195,XP_049336563.1,XP_049323949.1,-
196,XP_049336563.1,XP_049323949.1,?
197,XP_049336563.1,XP_022540295.2,?
198,XP_049336563.1,XP_022523017.2,?
199,XP_049336563.1,XP_022530686.2,?
200,XP_049336563.1,XP_015458358.2,-
201,XP_049336563.1,XP_015458358.2,?
202,XP_049336563.1,XP_007247395.3,+
205,XP_049336563.1,XP_049322267.1,?
206,XP_007253735.3,XP_007259929.1,-
207,XP_007253735.3,XP_007253735.3,-
208,XP_007253735.3,XP_007229906.3,-
209,XP_007253735.3,XP_007231643.3,-
210,XP_007253735.3,XP_022518820.2,-
211,XP_007253735.3,XP_049330785.1,+
212,XP_007253735.3,XP_049335661.1,-
213,XP_007253735.3,XP_007235048.2,+
214,XP_007253735.3,XP_007235048.2,-
215,XP_007253735.3,XP_049335747.1,-
220,XP_007253735.3,XP_007233103.2,+
221,XP_007253735.3,XP_049334702.1,-
223,XP_007253735.3,XP_007245048.3,?
225,XP_007242050.3,XP_007248065.1,?
227,XP_007236126.2,XP_007258982.1,?
228,XP_007236126.2,XP_007229906.3,-
229,XP_007236126.2,XP_007229906.3,?
233,XP_007236126.2,XP_007231367.2,-
234,XP_007236126.2,XP_007234058.2,?
235,XP_007236126.2,XP_022517813.2,+
237,XP_007236126.2,XP_007240370.1,-
240,XP_007236126.2,XP_049323949.1,+
242,XP_007236126.2,XP_007251223.2,?
243,NP_001278181.1,XP_022527546.2,+
244,XP_049319806.1,XP_007233695.2,?
255,XP_007256780.1,XP_007260494.1,+
256,XP_007260980.1,XP_049338120.1,?
258,XP_007257678.2,XP_007235976.1,-
263,XP_007236322.2,XP_007239571.1,-
278,XP_007254464.1,XP_007258010.1,?
279,XP_007244901.2,XP_022520829.2,?
281,XP_007244901.2,XP_022524625.2,?
283,XP_007244901.2,XP_049338120.1,?
284,XP_007244901.2,XP_007229224.3,+
285,XP_007244901.2,XP_022519644.2,+
286,XP_007244901.2,XP_007255478.3,+
287,XP_007244901.2,XP_022519251.1,-
289,XP_007244901.2,XP_022531969.2,+
291,XP_007244901.2,XP_007260513.3,+
292,XP_007244901.2,XP_007253308.2,?
293,XP_007244901.2,XP_049323949.1,+
294,XP_007244901.2,XP_022536402.2,+
295,XP_007244901.2,XP_022520970.2,?
296,XP_007244901.2,XP_007244225.3,+
298,XP_007244901.2,XP_007245479.2,+
299,XP_007244901.2,XP_007245479.2,?
301,XP_007244901.2,XP_007255787.3,+
302,XP_007244901.2,XP_007246968.1,?
303,XP_007244901.2,XP_007250128.3,?
352,XP_022522791.2,XP_007244901.2,-
355,XP_007255500.3,XP_049342101.1,+
358,XP_007256941.3,XP_007252271.1,-
359,XP_007256941.3,XP_007259538.1,-
360,XP_007256941.3,XP_022524902.1,-
361,XP_007245156.3,XP_022517988.2,?
362,XP_007245156.3,XP_022522949.2,+
363,XP_007245156.3,XP_007233695.2,?
364,XP_007245156.3,XP_007260897.3,+
365,XP_007245156.3,XP_007249478.2,+
367,XP_049338259.1,XP_007233103.2,?
368,XP_049338259.1,XP_022528246.1,-
369,XP_049338259.1,XP_022532015.2,-
371,XP_049323747.1,XP_049331676.1,+
373,XP_007245512.3,XP_007244901.2,+
374,XP_007245512.3,XP_007258738.3,-
375,XP_007245512.3,XP_007228239.1,+
376,XP_007245512.3,XP_022539602.2,+
377,XP_007245512.3,XP_007231993.3,+
379,XP_007245512.3,XP_007259880.1,+
381,XP_007245512.3,XP_007229695.2,+
382,XP_007245512.3,XP_007249214.1,+
383,XP_007245512.3,XP_049327824.1,+
384,XP_007259584.3,XP_007254615.3,+
385,XP_007259584.3,XP_007250634.2,+
386,XP_007259584.3,XP_007254615.3,?
387,XP_007259584.3,XP_007250634.2,?
388,XP_007259584.3,XP_049341457.1,+
389,XP_007259584.3,XP_022539584.2,+
391,XP_007259584.3,XP_007241050.3,+
392,XP_007259584.3,XP_022522298.2,+
393,XP_007259584.3,XP_007242118.3,+
394,XP_007259584.3,XP_007242118.3,?
395,XP_007259584.3,XP_022534711.2,+
397,XP_007259584.3,XP_007248190.2,+
398,XP_007259584.3,XP_007237525.3,+
399,XP_007259584.3,XP_007241455.3,?
400,XP_007259584.3,XP_049319847.1,?
401,XP_007259584.3,XP_022535260.2,?
402,XP_007258303.2,XP_007233103.2,?
404,XP_007258686.2,XP_007257304.2,+
405,XP_007248979.1,XP_022540220.1,?
406,XP_007260494.1,XP_007247481.3,?
407,XP_007260494.1,XP_007229224.3,?
408,XP_007260494.1,XP_007256023.3,?
409,XP_007260494.1,XP_007232732.1,?
410,XP_007260494.1,XP_007233417.2,?
411,XP_007260494.1,XP_007259268.3,+
412,XP_007260494.1,XP_007253959.3,?
415,XP_007260494.1,XP_007259928.1,+
416,XP_007260494.1,XP_007259928.1,-
417,XP_007260494.1,XP_007259928.1,?
418,XP_007260494.1,XP_007252148.1,+
420,XP_007260494.1,XP_007228114.1,?
421,XP_007260494.1,XP_007235360.1,+
422,XP_007260494.1,XP_049318691.1,+
423,XP_007260494.1,XP_022536698.2,?
425,XP_007260494.1,XP_022533636.1,?
426,XP_007260494.1,XP_015461159.1,+
427,XP_007260494.1,XP_007237824.1,?
428,XP_007260494.1,XP_022525827.2,?
429,XP_007260494.1,XP_007231129.3,?
430,XP_007260494.1,XP_022534036.2,?
431,XP_007260494.1,XP_007231471.3,?
432,XP_007260494.1,XP_049337192.1,?
433,XP_007260494.1,XP_007245479.2,+
434,XP_007260494.1,XP_007245479.2,?
435,XP_007260494.1,XP_007250916.2,?
436,XP_007260494.1,XP_007234693.3,+
437,XP_007260494.1,XP_007257867.3,+
444,XP_007244981.3,XP_049337567.1,-
446,XP_049321834.1,XP_007247871.1,+
447,XP_022529548.1,XP_049335436.1,+
448,XP_022524365.2,XP_007249311.2,+
449,XP_022524365.2,XP_007229224.3,?
450,XP_022524365.2,XP_022527170.1,+
452,XP_022524365.2,XP_007259584.3,?
453,XP_022524365.2,XP_022524365.2,-
455,XP_022524365.2,XP_007245279.1,+
456,XP_022524365.2,XP_022527915.1,+
457,XP_022524365.2,XP_049329469.1,?
458,XP_022524365.2,XP_007253959.3,?
459,XP_022524365.2,XP_007254914.2,?
460,XP_022524365.2,XP_007259928.1,+
461,XP_022524365.2,XP_007235608.3,?
462,XP_022524365.2,XP_015456426.3,+
463,XP_022524365.2,XP_007237415.1,-
464,XP_022524365.2,XP_022522456.1,?
465,XP_022524365.2,XP_022526949.2,?
466,XP_022524365.2,XP_007251001.2,?
