,Model_nodos,NCBI_Product_accesion,Ast,a,a2,Homo,b,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
0,ACVRL1,NP_000011.2,Astyanax_pachon,KAG9269753.1,ACVR1,Homo_sapiens,NP_000011.2,ACVRL1,3.08e-153,542.0,4.79e-154,542.0
1,ADRB2,NP_000015.2,Astyanax_pachon,KAG9265923.1,ADRB2,Homo_sapiens,NP_000015.2,ADRB2,7.07e-114,411.0,1.07e-114,411.0
2,ADRB2,NP_000015.2,Astyanax_pachon,KAG9272734.1,ADRB2,Homo_sapiens,NP_000015.2,ADRB2,5.4e-116,418.0,8.36e-117,418.0
3,ADRB3,NP_000016.1,Astyanax_pachon,KAG9270408.1,ADRB4C,Homo_sapiens,NP_000016.1,ADRB3,1.8700000000000002e-86,320.0,2.62e-87,320.0
4,ADRB3,NP_000016.1,Astyanax_pachon,KAG9270409.1,ADRB4C,Homo_sapiens,NP_000016.1,ADRB3,1.95e-86,320.0,2.62e-87,320.0
5,ALDOB,NP_000026.2,Astyanax_pachon,KAG9272192.1,ALDOB,Homo_sapiens,NP_000026.2,ALDOB,1.13e-153,543.0,1.73e-154,543.0
6,APOC3,NP_000031.1,,,,,,,,,,
7,AR,NP_000035.2,,,,,,,,,,
8,BLM,NP_000048.1,Astyanax_pachon,KAG9273286.1,BLM,Homo_sapiens,NP_000048.1,BLM,0.0,1056.0,0.0,1056.0
9,BRCA2,NP_000050.3,Astyanax_pachon,KAG9264639.1,BRCA2,Homo_sapiens,NP_000050.3,BRCA2,3.23e-220,767.0,6.04e-221,767.0
10,C3,NP_000055.2,Astyanax_pachon,KAG9262728.1,C3,Homo_sapiens,NP_000055.2,C3,0.0,1322.0,0.0,1322.0
11,CA2,NP_000058.1,Astyanax_pachon,KAG9275944.1,CA1,Homo_sapiens,NP_000058.1,CA2,1.3e-93,343.0,1.99e-94,343.0
12,CA2,NP_000058.1,Astyanax_pachon,KAG9278406.1,CAHZ,Homo_sapiens,NP_000058.1,CA2,2.21e-92,339.0,3.18e-93,339.0
13,CA2,NP_000058.1,Astyanax_pachon,KAG9278407.1,CAHZ,Homo_sapiens,NP_000058.1,CA2,4.0699999999999995e-95,348.0,6.22e-96,348.0
14,CD40LG,NP_000065.1,,,,,,,,,,
15,CDK4,NP_000066.1,Astyanax_pachon,KAG9260434.1,CDK4,Homo_sapiens,NP_000066.1,CDK4,2.79e-120,432.0,3.74e-121,432.0
16,CDKN2A,NP_000068.1,,,,,,,,,,
