,Ast,a,a2,Homo,b  ,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
9590,Astyanax_mexicanus,XP_007236312.1,37104,Homo_sapiens,NP_001304051.1,37104,0.0,1691.0,0.0,1691.0
37620,Astyanax_mexicanus,XP_007259890.2,37469,Homo_sapiens,XP_054216272.1,37469,0.0,1641.0,0.0,1641.0
21045,Astyanax_mexicanus,XP_007247932.1,38200,Homo_sapiens,NP_060099.2,38200,0.0,1718.0,0.0,1718.0
95961,Astyanax_mexicanus,XP_049320795.1,A1CF,Homo_sapiens,NP_001357060.1,A1CF,1.11e-278,959.0,5.03e-279,959.0
21174,Astyanax_mexicanus,XP_007248032.3,AAAS,Homo_sapiens,NP_056480.1,AAAS,1.5500000000000001e-156,553.0,7.64e-157,553.0
112403,Astyanax_mexicanus,XP_049326545.1,AACS,Homo_sapiens,NP_076417.2,AACS,0.0,1070.0,0.0,1070.0
3735,Astyanax_mexicanus,XP_007230695.2,AADAC,Homo_sapiens,NP_001077.2,AADAC,1.17e-106,387.0,5.22e-107,387.0
82585,Astyanax_mexicanus,XP_022538081.2,AADACL4,Homo_sapiens,NP_001013652.1,AADACL4,1.87e-77,290.0,8.44e-78,290.0
11340,Astyanax_mexicanus,XP_007238465.3,AADAT,Homo_sapiens,XP_054206123.1,AADAT,2.37e-171,602.0,1.15e-171,602.0
22905,Astyanax_mexicanus,XP_007249213.2,AAGAB,Homo_sapiens,NP_078942.3,AAGAB,7.410000000000001e-103,374.0,3.38e-103,374.0
7883,Astyanax_mexicanus,XP_007234816.3,AAK1A,Homo_sapiens,NP_055726.4,AAK1,1.45e-243,843.0,6.759999999999999e-244,843.0
106657,Astyanax_mexicanus,XP_049324327.1,AAK1B,Homo_sapiens,NP_055726.4,AAK1,8.51e-245,847.0,4.23e-245,847.0
49277,Astyanax_mexicanus,XP_022521706.1,AAMDC,Homo_sapiens,NP_001303889.1,AAMDC,5.32e-53,207.0,2.45e-53,207.0
68640,Astyanax_mexicanus,XP_022531319.1,AANAT1,Homo_sapiens,NP_001079.1,AANAT,2.99e-76,285.0,1.37e-76,285.0
10724,Astyanax_mexicanus,XP_007237712.1,AAR2,Homo_sapiens,NP_001258803.1,AAR2,6.97e-136,484.0,3.17e-136,484.0
22981,Astyanax_mexicanus,XP_007249234.2,AARS1,Homo_sapiens,NP_001596.2,AARS1,0.0,1576.0,0.0,1576.0
115626,Astyanax_mexicanus,XP_049327306.1,AARS2,Homo_sapiens,NP_065796.2,AARS2,0.0,1066.0,0.0,1066.0
55189,Astyanax_mexicanus,XP_022525071.2,AARSD1,Homo_sapiens,NP_001248363.1,AARSD1,6.42e-154,544.0,2.95e-154,544.0
46484,Astyanax_mexicanus,XP_022520277.2,AASDH,Homo_sapiens,NP_001310819.1,AASDH,1.45e-183,644.0,6.43e-184,644.0
21957,Astyanax_mexicanus,XP_007248647.3,AASDHPPT,Homo_sapiens,NP_056238.2,AASDHPPT,2.82e-96,352.0,1.39e-96,352.0
19130,Astyanax_mexicanus,XP_007246636.3,AASS,Homo_sapiens,NP_005754.2,AASS,0.0,1237.0,0.0,1237.0
16953,Astyanax_mexicanus,XP_007245269.3,AATF,Homo_sapiens,NP_036270.1,AATF,4.89e-139,495.0,2.26e-139,495.0
64558,Astyanax_mexicanus,XP_022529151.2,AATKA,Homo_sapiens,NP_001073864.2,AATK,1.95e-242,840.0,7.729999999999999e-243,840.0
22226,Astyanax_mexicanus,XP_007248809.3,AATKB,Homo_sapiens,NP_001073864.2,AATK,5.6e-237,822.0,2.03e-237,822.0
69164,Astyanax_mexicanus,XP_022531589.2,ABAT,Homo_sapiens,NP_000654.2,ABAT,3.88e-213,741.0,1.7800000000000002e-213,741.0
51006,Astyanax_mexicanus,XP_022522959.2,ABCA1A,Homo_sapiens,NP_005493.2,ABCA1,0.0,3362.0,0.0,3362.0
60926,Astyanax_mexicanus,XP_022527820.2,ABCA1B,Homo_sapiens,NP_005493.2,ABCA1,0.0,3349.0,0.0,3349.0
111733,Astyanax_mexicanus,XP_049326267.1,ABCA2,Homo_sapiens,NP_001397971.1,ABCA2,0.0,3690.0,0.0,3690.0
47336,Astyanax_mexicanus,XP_022520829.2,ABCA3B,Homo_sapiens,NP_001080.2,ABCA3,0.0,1999.0,0.0,1999.0
50003,Astyanax_mexicanus,XP_022522357.2,ABCA4A,Homo_sapiens,NP_000341.2,ABCA4,0.0,2889.0,0.0,2889.0
132538,Astyanax_mexicanus,XP_049332683.1,ABCA4B,Homo_sapiens,NP_000341.2,ABCA4,0.0,2988.0,0.0,2988.0
24543,Astyanax_mexicanus,XP_007250196.3,ABCA5,Homo_sapiens,NP_061142.2,ABCA5,0.0,1638.0,0.0,1638.0
86641,Astyanax_mexicanus,XP_022540372.2,ABCB10,Homo_sapiens,NP_036221.2,ABCB10,3.4100000000000002e-245,848.0,1.6200000000000001e-245,848.0
55927,Astyanax_mexicanus,XP_022525386.2,ABCB11B,Homo_sapiens,NP_003733.2,ABCB11,0.0,1841.0,0.0,1841.0
95208,Astyanax_mexicanus,XP_049320497.1,ABCB4,Homo_sapiens,NP_000918.2,ABCB1,0.0,1629.0,0.0,1629.0
6768,Astyanax_mexicanus,XP_007233771.2,ABCB6A,Homo_sapiens,NP_005680.1,ABCB6,4.879999999999999e-280,964.0,2.23e-280,964.0
84919,Astyanax_mexicanus,XP_022539439.2,ABCB7,Homo_sapiens,NP_004290.2,ABCB7,0.0,1097.0,0.0,1097.0
12042,Astyanax_mexicanus,XP_007239333.2,ABCB8,Homo_sapiens,NP_009119.2,ABCB8,3.9900000000000003e-224,778.0,1.86e-224,778.0
111859,Astyanax_mexicanus,XP_049326312.1,ABCB9,Homo_sapiens,NP_062571.1,ABCB9,1.05e-233,810.0,4.6299999999999995e-234,810.0
8586,Astyanax_mexicanus,XP_007235405.2,ABCC1,Homo_sapiens,NP_004987.2,ABCC1,0.0,2140.0,0.0,2140.0
12758,Astyanax_mexicanus,XP_007240201.3,ABCC10,Homo_sapiens,NP_001185863.1,ABCC10,0.0,1338.0,0.0,1338.0
16271,Astyanax_mexicanus,XP_007244903.3,ABCC12,Homo_sapiens,NP_001380726.1,ABCC12,0.0,1303.0,0.0,1303.0
41818,Astyanax_mexicanus,XP_015461213.3,ABCC13,Homo_sapiens,XP_054236354.1,ABCC1,5.25e-87,323.0,3.21e-87,323.0
33557,Astyanax_mexicanus,XP_007257299.3,ABCC3,Homo_sapiens,NP_003777.2,ABCC3,0.0,1837.0,0.0,1837.0
67640,Astyanax_mexicanus,XP_022531083.2,ABCC4,Homo_sapiens,NP_005836.2,ABCC4,0.0,1774.0,0.0,1774.0
49266,Astyanax_mexicanus,XP_022521697.2,ABCC5,Homo_sapiens,NP_005679.2,ABCC5,0.0,2016.0,0.0,2016.0
60962,Astyanax_mexicanus,XP_022527845.2,ABCC8,Homo_sapiens,NP_000343.2,ABCC8,0.0,2300.0,0.0,2300.0
2556,Astyanax_mexicanus,XP_007229788.3,ABCC9,Homo_sapiens,NP_005682.2,ABCC9,0.0,2384.0,0.0,2384.0
17889,Astyanax_mexicanus,XP_007245883.3,ABCD1,Homo_sapiens,NP_000024.2,ABCD1,1.26e-293,1009.0,5.6e-294,1009.0
24762,Astyanax_mexicanus,XP_007250447.3,ABCD3A,Homo_sapiens,NP_002849.1,ABCD3,0.0,1072.0,0.0,1072.0
140918,Astyanax_mexicanus,XP_049336790.1,ABCD4,Homo_sapiens,NP_005041.1,ABCD4,3.95e-234,811.0,1.83e-234,811.0
72195,Astyanax_mexicanus,XP_022533019.1,ABCE1,Homo_sapiens,NP_001035809.1,ABCE1,0.0,1106.0,0.0,1106.0
83952,Astyanax_mexicanus,XP_022538873.2,ABCF1,Homo_sapiens,NP_001081.1,ABCF1,4.84e-289,994.0,1.9900000000000001e-289,994.0
