Model_nodos,NCBI_Product_accesion,Astyanax_ortologos,Symbol
14-3-3EPSILON,NP_732309.1,XP_007245994.1,YWHAE1
14-3-3EPSILON,NP_732309.1,XP_007229712.1,YWHAE2
14-3-3EPSILON,NP_732309.1,XP_007245995.1,YWHAE1
14-3-3EPSILON,NP_732309.1,XP_049323473.1,YWHAE2
14-3-3ZETA,NP_476885.2,XP_007241340.1,LOC103023259
14-3-3ZETA,NP_476885.2,XP_049335888.1,YWHABA
14-3-3ZETA,NP_476885.2,XP_022529975.1,YWHABL
14-3-3ZETA,NP_476885.2,XP_049339261.1,YWHAQA
14-3-3ZETA,NP_476885.2,XP_049339264.1,YWHAQA
14-3-3ZETA,NP_476885.2,XP_022528284.1,YWHAQB
5-HT7,NP_524599.1,XP_007256792.3,HTR1AB
5-HT7,NP_524599.1,XP_007234230.1,HTR7C
5-HT7,NP_524599.1,XP_007251794.4,HTR1FA
5-HT7,NP_524599.1,XP_049341026.1,HTR1FA
5-HT7,NP_524599.1,XP_007244750.1,HTR7A
