,Model_nodos,NCBI_Product_accesion,Ast,a,a2,Mus,b,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
0,ABCA1,XP_006537619.1,Astyanax_pachon,KAG9260005.1,ABCA1,Mus_musculus,XP_006537619.1,ABCA1,0.0,3261.0,0.0,3261.0
1,ABCA1,XP_006537619.1,Astyanax_pachon,KAG9281151.1,ABCA1,Mus_musculus,XP_006537619.1,ABCA1,0.0,3263.0,0.0,3263.0
2,ABCB11,NP_066302.2,Astyanax_pachon,KAG9266695.1,ABCB11,Mus_musculus,NP_066302.2,ABCB11,0.0,1740.0,0.0,1740.0
3,ABCB1A,NP_035206.2,Astyanax_pachon,KAG9283635.1,ABCB1,Mus_musculus,NP_035206.2,ABCB1A,0.0,1590.0,0.0,1590.0
4,ABCB1B,NP_035205.1,Astyanax_pachon,KAG9283635.1,ABCB1,Mus_musculus,NP_035205.1,ABCB1B,0.0,1564.0,0.0,1564.0
5,ABCB4,NP_032856.2,Astyanax_pachon,KAG9283635.1,ABCB1,Mus_musculus,NP_032856.2,ABCB4,0.0,1563.0,0.0,1563.0
6,ABCC2,NP_038834.2,Astyanax_pachon,KAG9260121.1,ABCC2,Mus_musculus,NP_038834.2,ABCC2,0.0,1676.0,0.0,1676.0
7,ABCC6,NP_061265.2,,,,,,,,,,
8,ABCG2,NP_001342406.1,Astyanax_pachon,KAG9269220.1,ABCG2,Mus_musculus,NP_001342406.1,ABCG2,3.95e-213,741.0,7.78e-214,741.0
9,ABCG2,NP_001342406.1,Astyanax_pachon,KAG9275618.1,ABCG2,Mus_musculus,NP_001342406.1,ABCG2,1.89e-213,742.0,3.89e-214,742.0
10,ABHD14A,XP_006511866.1,Astyanax_pachon,KAG9260692.1,ABHD14A,Mus_musculus,XP_006511866.1,ABHD14A,1.6300000000000002e-58,226.0,3.15e-59,226.0
11,ABL1,XP_006497684.1,,,,,,,,,,
12,ABL2,NP_033725.2,Astyanax_pachon,KAG9270845.1,ABL2,Mus_musculus,NP_033725.2,ABL2,0.0,1410.0,0.0,1410.0
13,ACACB,NP_001390456.1,Astyanax_pachon,KAG9261557.1,ACACB,Mus_musculus,NP_001390456.1,ACACB,0.0,3496.0,0.0,3496.0
14,ACADM,NP_031408.1,Astyanax_pachon,KAG9264719.1,ACADM,Mus_musculus,NP_031408.1,ACADM,4.3699999999999997e-197,687.0,8.990000000000001e-198,687.0
15,ACHE,NP_033729.1,Astyanax_pachon,KAG9274266.1,ACHE,Mus_musculus,NP_033729.1,ACHE,1.0500000000000001e-223,776.0,2.12e-224,776.0
16,ACMSD,NP_001028213.1,Astyanax_pachon,KAG9271253.1,ACMSD,Mus_musculus,NP_001028213.1,ACMSD,5.64e-165,580.0,1.16e-165,580.0
17,ACP5,NP_001095874.1,Astyanax_pachon,KAG9277353.1,ACP5,Mus_musculus,NP_001095874.1,ACP5,1.76e-107,389.0,3.55e-108,389.0
18,ACRV1,NP_031417.2,,,,,,,,,,
19,ACSBG1,NP_444408.1,Astyanax_pachon,KAG9281005.1,ACSBG1,Mus_musculus,NP_444408.1,ACSBG1,1.99e-244,845.0,4.2100000000000005e-245,845.0
20,ACSL4,XP_030107239.1,Astyanax_pachon,KAG9272539.1,ACSL4,Mus_musculus,XP_030107239.1,ACSL4,0.0,1107.0,0.0,1107.0
21,ACSS1,NP_542142.1,,,,,,,,,,
22,ACSS2,NP_062785.2,Astyanax_pachon,KAG9269312.1,ACSS2,Mus_musculus,NP_062785.2,ACSS2,0.0,1091.0,0.0,1091.0
23,ACTA1,NP_033736.1,Astyanax_pachon,KAG9262281.1,ACTBA,Mus_musculus,NP_033736.1,ACTA1,1.81e-206,718.0,3.7499999999999996e-207,718.0
24,ACTA1,NP_033736.1,Astyanax_pachon,KAG9272000.1,ACTC1,Mus_musculus,NP_033736.1,ACTA1,2.1199999999999997e-216,751.0,4.36e-217,751.0
25,ACTA1,NP_033736.1,Astyanax_pachon,KAG9272884.1,ACTC1,Mus_musculus,NP_033736.1,ACTA1,2.1199999999999997e-216,751.0,4.36e-217,751.0
26,ACTA1,NP_033736.1,Astyanax_pachon,KAG9279940.1,ACTBB,Mus_musculus,NP_033736.1,ACTA1,9.04e-207,719.0,1.8699999999999998e-207,719.0
27,ACTA2,NP_031418.1,Astyanax_pachon,KAG9262281.1,ACTBA,Mus_musculus,NP_031418.1,ACTA2,1.13e-207,722.0,2.34e-208,722.0
28,ACTA2,NP_031418.1,Astyanax_pachon,KAG9272000.1,ACTC1,Mus_musculus,NP_031418.1,ACTA2,3.3800000000000004e-215,747.0,6.98e-216,747.0
29,ACTA2,NP_031418.1,Astyanax_pachon,KAG9272884.1,ACTC1,Mus_musculus,NP_031418.1,ACTA2,3.3800000000000004e-215,747.0,6.98e-216,747.0
30,ACTA2,NP_031418.1,Astyanax_pachon,KAG9279940.1,ACTBB,Mus_musculus,NP_031418.1,ACTA2,2.26e-207,721.0,4.68e-208,721.0
31,ACTC1,NP_033738.1,Astyanax_pachon,KAG9262281.1,ACTBA,Mus_musculus,NP_033738.1,ACTC1,5.650000000000001e-208,723.0,1.17e-208,723.0
32,ACTC1,NP_033738.1,Astyanax_pachon,KAG9272000.1,ACTC1,Mus_musculus,NP_033738.1,ACTC1,5.29e-217,753.0,1.09e-217,753.0
33,ACTC1,NP_033738.1,Astyanax_pachon,KAG9272884.1,ACTC1,Mus_musculus,NP_033738.1,ACTC1,5.29e-217,753.0,1.09e-217,753.0
34,ACTC1,NP_033738.1,Astyanax_pachon,KAG9279940.1,ACTBB,Mus_musculus,NP_033738.1,ACTC1,2.26e-207,721.0,4.68e-208,721.0
35,ACTG2,NP_033740.2,Astyanax_pachon,KAG9262281.1,ACTBA,Mus_musculus,NP_033740.2,ACTG2,2.26e-207,721.0,4.67e-208,721.0
36,ACTG2,NP_033740.2,Astyanax_pachon,KAG9272000.1,ACTC1,Mus_musculus,NP_033740.2,ACTG2,2.71e-214,744.0,5.57e-215,744.0
37,ACTG2,NP_033740.2,Astyanax_pachon,KAG9272884.1,ACTC1,Mus_musculus,NP_033740.2,ACTG2,2.71e-214,744.0,5.57e-215,744.0
38,ACTG2,NP_033740.2,Astyanax_pachon,KAG9279940.1,ACTBB,Mus_musculus,NP_033740.2,ACTG2,4.52e-207,720.0,9.34e-208,720.0
