,Model_nodos,NCBI_Product_accesion,Ast,a,a2,Dmel,b,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
0,14-3-3EPSILON,NP_732309.1,Astyanax_pachon,KAG9265182.1,YWHAE,Drosophila_melanogaster,NP_732309.1,14-3-3EPSILON,9.83e-115,411.0,6.79e-115,411.0
1,14-3-3EPSILON,NP_732309.1,Astyanax_pachon,KAG9281675.1,YWHAE,Drosophila_melanogaster,NP_732309.1,14-3-3EPSILON,3.93e-114,409.0,2.72e-114,409.0
2,14-3-3ZETA,NP_476885.2,Astyanax_pachon,KAG9268141.1,YWHAB,Drosophila_melanogaster,NP_476885.2,14-3-3ZETA,3.32e-101,366.0,2.26e-101,366.0
3,14-3-3ZETA,NP_476885.2,Astyanax_pachon,KAG9270337.1,YWHABA,Drosophila_melanogaster,NP_476885.2,14-3-3ZETA,5.05e-106,382.0,3.4499999999999997e-106,382.0
4,14-3-3ZETA,NP_476885.2,Astyanax_pachon,KAG9275912.1,YWHABA,Drosophila_melanogaster,NP_476885.2,14-3-3ZETA,2.6e-103,373.0,1.77e-103,373.0
5,14-3-3ZETA,NP_476885.2,Astyanax_pachon,KAG9277942.1,YWHABA,Drosophila_melanogaster,NP_476885.2,14-3-3ZETA,8.080000000000001e-105,378.0,5.52e-105,378.0
6,14-3-3ZETA,NP_476885.2,Astyanax_pachon,KAG9282939.1,YWHABA,Drosophila_melanogaster,NP_476885.2,14-3-3ZETA,1.04e-102,371.0,7.07e-103,371.0
7,18W,NP_476814.1,,,,,,,,,,
8,2MIT,NP_001262529.1,,,,,,,,,,
9,5-HT1A,NP_001356890.1,,,,,,,,,,
10,5-HT7,NP_524599.1,Astyanax_pachon,KAG9262031.1,HTR7,Drosophila_melanogaster,NP_524599.1,5-HT7,1.4e-55,215.0,1.47e-55,215.0
11,5-HT7,NP_524599.1,Astyanax_pachon,KAG9265546.1,HTR1A-B,Drosophila_melanogaster,NP_524599.1,5-HT7,7.88e-59,226.0,7.17e-59,226.0
12,5-HT7,NP_524599.1,Astyanax_pachon,KAG9268393.1,HTR7,Drosophila_melanogaster,NP_524599.1,5-HT7,4.74e-56,217.0,3.6700000000000004e-56,217.0
13,7B2,NP_001014608.1,,,,,,,,,,
14,A,NP_524641.1,,,,,,,,,,
15,A6,NP_477309.1,,,,,,,,,,
16,AB,NP_476562.1,,,,,,,,,,
17,ABD-A,NP_732176.1,,,,,,,,,,
18,ABD-B,NP_001262648.1,,,,,,,,,,
19,ABI,NP_001247090.1,Astyanax_pachon,KAG9273664.1,ABI1,Drosophila_melanogaster,NP_001247090.1,ABI,1.68e-70,265.0,1.09e-70,265.0
20,ABI,NP_001247090.1,Astyanax_pachon,KAG9276765.1,ABI1,Drosophila_melanogaster,NP_001247090.1,ABI,7.000000000000001e-70,263.0,4.36e-70,263.0
21,ABL,NP_001261965.1,,,,,,,,,,
22,AC,NP_476824.1,,,,,,,,,,
23,AC13E,NP_001259575.1,Astyanax_pachon,KAG9261319.1,ADCY9,Drosophila_melanogaster,NP_001259575.1,AC13E,2.9200000000000003e-164,578.0,2.36e-164,578.0
24,AC3,NP_610116.2,Astyanax_pachon,KAG9276390.1,ADCY3,Drosophila_melanogaster,NP_610116.2,AC3,1.49e-190,665.0,1.04e-190,665.0
