Ast,a,a2,Dmel,b,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
Astyanax_pachon,KAG9259371.1,TPH2,Drosophila_melanogaster,NP_612080.1,TRHN,1.50E-143,508,9.08E-144,508
Astyanax_pachon,KAG9259373.1,KAG9259373.1,Drosophila_melanogaster,NP_001033999.2,CG34001,2.49E-22,103,2.01E-22,103
Astyanax_pachon,KAG9259387.1,ABHD17A,Drosophila_melanogaster,NP_001163719.1,CG33096,2.47E-114,410,1.48E-114,410
Astyanax_pachon,KAG9259387.1,ABHD17A,Drosophila_melanogaster,NP_001287517.1,CG33096,2.47E-114,410,1.48E-114,410
Astyanax_pachon,KAG9259387.1,ABHD17A,Drosophila_melanogaster,NP_001287518.1,CG33096,2.47E-114,410,1.48E-114,410
Astyanax_pachon,KAG9259387.1,ABHD17A,Drosophila_melanogaster,NP_788736.2,CG33096,2.47E-114,410,1.48E-114,410
Astyanax_pachon,KAG9259387.1,ABHD17A,Drosophila_melanogaster,NP_788737.1,CG33096,2.47E-114,410,1.48E-114,410
Astyanax_pachon,KAG9259387.1,ABHD17A,Drosophila_melanogaster,NP_001356926.1,CG33096,2.47E-114,410,1.81E-114,410
Astyanax_pachon,KAG9259395.1,SLC25A24,Drosophila_melanogaster,NP_729802.1,SCAMC,6.41E-129,459,5.37E-129,459
Astyanax_pachon,KAG9259395.1,SLC25A24,Drosophila_melanogaster,NP_996067.1,SCAMC,6.41E-129,459,5.37E-129,459
Astyanax_pachon,KAG9259413.1,MMP24,Drosophila_melanogaster,NP_001189004.1,MMP1,1.87E-54,212,1.07E-54,212
Astyanax_pachon,KAG9259413.1,MMP24,Drosophila_melanogaster,NP_001246499.1,MMP1,1.87E-54,212,1.07E-54,212
Astyanax_pachon,KAG9259413.1,MMP24,Drosophila_melanogaster,NP_001189003.1,MMP1,1.87E-54,212,1.10E-54,212
Astyanax_pachon,KAG9259413.1,MMP24,Drosophila_melanogaster,NP_001189005.1,MMP1,1.87E-54,212,1.10E-54,212
