# Pachon.faa,a,Ast.faa,b ,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
KAG9259309.1,KAG9259309.1,XP_022542687.2,LOC107197437,1.66E-59,228,4.70E-60,228
KAG9259310.1,KAG9259310.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259310.1,KAG9259310.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259312.1,KAG9259312.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259312.1,KAG9259312.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259313.1,KAG9259313.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259313.1,KAG9259313.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259318.1,KAG9259318.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259318.1,KAG9259318.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259319.1,KAG9259319.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259319.1,KAG9259319.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259321.1,KAG9259321.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259321.1,KAG9259321.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259322.1,KAG9259322.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259322.1,KAG9259322.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259323.1,KAG9259323.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259323.1,KAG9259323.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259325.1,KAG9259325.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259325.1,KAG9259325.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259326.1,KAG9259326.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259326.1,KAG9259326.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259327.1,KAG9259327.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
KAG9259327.1,KAG9259327.1,XP_022519252.2,LOC111189840,1.59E-289,994,4.68E-290,994
KAG9259328.1,KAG9259328.1,XP_049330097.1,LOC111194623,3.87E-293,1006,1.13E-293,1006
