,Model_nodos,NCBI_Product_accesion,Dmel,a,a2,Ast,b,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
0,14-3-3EPSILON,NP_732309.1,Drosophila_melanogaster,NP_732309.1,14-3-3EPSILON,Astyanax_mexicanus,XP_007245994.1,YWHAE1,8.18e-114,409.0,3.93e-114,409.0
1,14-3-3EPSILON,NP_732309.1,Drosophila_melanogaster,NP_732309.1,14-3-3EPSILON,Astyanax_mexicanus,XP_007229712.1,YWHAE2,6.54e-113,406.0,3.14e-113,406.0
2,14-3-3EPSILON,NP_732309.1,Drosophila_melanogaster,NP_732309.1,14-3-3EPSILON,Astyanax_mexicanus,XP_007245995.1,YWHAE1,1.05e-111,402.0,4.74e-112,402.0
3,14-3-3EPSILON,NP_732309.1,Drosophila_melanogaster,NP_732309.1,14-3-3EPSILON,Astyanax_mexicanus,XP_049323473.1,YWHAE2,4.19e-111,400.0,1.89e-111,400.0
4,14-3-3ZETA,NP_476885.2,Drosophila_melanogaster,NP_476885.2,14-3-3ZETA,Astyanax_mexicanus,XP_007241340.1,LOC103023259,4.16e-105,380.0,2.0200000000000003e-105,380.0
5,14-3-3ZETA,NP_476885.2,Drosophila_melanogaster,NP_476885.2,14-3-3ZETA,Astyanax_mexicanus,XP_049335888.1,YWHABA,3.3299999999999997e-104,377.0,1.6199999999999997e-104,377.0
6,14-3-3ZETA,NP_476885.2,Drosophila_melanogaster,NP_476885.2,14-3-3ZETA,Astyanax_mexicanus,XP_022529975.1,YWHABL,1.06e-102,372.0,5.19e-103,372.0
7,14-3-3ZETA,NP_476885.2,Drosophila_melanogaster,NP_476885.2,14-3-3ZETA,Astyanax_mexicanus,XP_049339261.1,YWHAQA,8.51e-102,369.0,4.15e-102,369.0
8,14-3-3ZETA,NP_476885.2,Drosophila_melanogaster,NP_476885.2,14-3-3ZETA,Astyanax_mexicanus,XP_049339264.1,YWHAQA,8.51e-102,369.0,4.15e-102,369.0
9,14-3-3ZETA,NP_476885.2,Drosophila_melanogaster,NP_476885.2,14-3-3ZETA,Astyanax_mexicanus,XP_022528284.1,YWHAQB,6.81e-101,366.0,3.32e-101,366.0
10,18W,NP_476814.1,,,,,,,,,,
11,2MIT,NP_001262529.1,,,,,,,,,,
12,5-HT1A,NP_001356890.1,,,,,,,,,,
13,5-HT7,NP_524599.1,Drosophila_melanogaster,NP_524599.1,5-HT7,Astyanax_mexicanus,XP_007256792.3,HTR1AB,6.91e-57,221.0,2.52e-57,221.0
14,5-HT7,NP_524599.1,Drosophila_melanogaster,NP_524599.1,5-HT7,Astyanax_mexicanus,XP_007234230.1,HTR7C,4.42e-55,215.0,1.44e-55,215.0
15,5-HT7,NP_524599.1,Drosophila_melanogaster,NP_524599.1,5-HT7,Astyanax_mexicanus,XP_007251794.4,HTR1FA,1.41e-53,210.0,4.6099999999999996e-54,210.0
16,5-HT7,NP_524599.1,Drosophila_melanogaster,NP_524599.1,5-HT7,Astyanax_mexicanus,XP_049341026.1,HTR1FA,1.41e-53,210.0,4.6099999999999996e-54,210.0
17,5-HT7,NP_524599.1,Drosophila_melanogaster,NP_524599.1,5-HT7,Astyanax_mexicanus,XP_007244750.1,HTR7A,3.5399999999999994e-54,212.0,1.52e-54,212.0
18,7B2,NP_001014608.1,,,,,,,,,,
19,A,NP_524641.1,,,,,,,,,,
20,A6,NP_477309.1,,,,,,,,,,
21,AB,NP_476562.1,,,,,,,,,,
22,ABD-A,NP_732176.1,,,,,,,,,,
23,ABD-B,NP_001262648.1,,,,,,,,,,
24,ABI,NP_001247090.1,Drosophila_melanogaster,NP_001247090.1,ABI,Astyanax_mexicanus,XP_022533518.1,ABI1B,1.57e-76,286.0,7.62e-77,286.0
25,ABI,NP_001247090.1,Drosophila_melanogaster,NP_001247090.1,ABI,Astyanax_mexicanus,XP_022533520.1,ABI1B,6.27e-76,284.0,3.02e-76,284.0
26,ABI,NP_001247090.1,Drosophila_melanogaster,NP_001247090.1,ABI,Astyanax_mexicanus,XP_049336215.1,ABI1A,1.25e-75,283.0,6.05e-76,283.0
27,ABI,NP_001247090.1,Drosophila_melanogaster,NP_001247090.1,ABI,Astyanax_mexicanus,XP_049336214.1,ABI1A,1.25e-75,283.0,6.11e-76,283.0
28,ABI,NP_001247090.1,Drosophila_melanogaster,NP_001247090.1,ABI,Astyanax_mexicanus,XP_022518438.2,ABI1A,1e-74,280.0,5.14e-75,280.0
29,ABI,NP_001247090.1,Drosophila_melanogaster,NP_001247090.1,ABI,Astyanax_mexicanus,XP_022518439.2,ABI1A,1e-74,280.0,5.09e-75,280.0
30,ABI,NP_001247090.1,Drosophila_melanogaster,NP_001247090.1,ABI,Astyanax_mexicanus,XP_022518437.2,ABI1A,1e-74,280.0,5.19e-75,280.0
31,ABI,NP_001247090.1,Drosophila_melanogaster,NP_001247090.1,ABI,Astyanax_mexicanus,XP_022533516.1,ABI1B,4.01e-74,278.0,2.07e-74,278.0
32,ABI,NP_001247090.1,Drosophila_melanogaster,NP_001247090.1,ABI,Astyanax_mexicanus,XP_022518440.1,ABI1A,1.6000000000000002e-73,276.0,6.929999999999999e-74,276.0
