,Ast,a,a2,Dmel,b,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
18264,Astyanax_pachon,KAG9283761.1,37104,Drosophila_melanogaster,NP_001246314.1,37104,0.0,1299.0,0.0,1299.0
15269,Astyanax_pachon,KAG9279806.1,37469,Drosophila_melanogaster,NP_001246314.1,37104,0.0,1297.0,0.0,1297.0
14991,Astyanax_pachon,KAG9279440.1,37834,Drosophila_melanogaster,NP_001246314.1,37104,0.0,1256.0,0.0,1256.0
15364,Astyanax_pachon,KAG9279911.1,38200,Drosophila_melanogaster,NP_001246314.1,37104,0.0,1281.0,0.0,1281.0
8467,Astyanax_pachon,KAG9270290.1,AAAS,Drosophila_melanogaster,NP_001285049.1,ALADIN,8.89e-40,163.0,5.4599999999999996e-40,163.0
9552,Astyanax_pachon,KAG9271796.1,AAD-A,Drosophila_melanogaster,NP_001285183.1,CG2200,1.32e-69,261.0,8.88e-70,261.0
14073,Astyanax_pachon,KAG9277893.1,AAMP,Drosophila_melanogaster,NP_648731.1,CG5114,4.12e-53,207.0,2.83e-53,207.0
10592,Astyanax_pachon,KAG9273173.1,AARS1,Drosophila_melanogaster,NP_523511.2,ALARS,0.0,1140.0,0.0,1140.0
6065,Astyanax_pachon,KAG9267317.1,AARSD1,Drosophila_melanogaster,NP_570062.1,CG10802,2.0599999999999999e-81,301.0,1.4699999999999998e-81,301.0
4321,Astyanax_pachon,KAG9265290.1,AASDHPPT,Drosophila_melanogaster,NP_729788.1,CG32099,8.45e-33,139.0,5.7e-33,139.0
16261,Astyanax_pachon,KAG9280946.1,AASS,Drosophila_melanogaster,NP_001285719.1,LKRSDH,4.98e-277,952.0,3.34e-277,952.0
17014,Astyanax_pachon,KAG9281985.1,AATF,Drosophila_melanogaster,NP_609066.1,AATF,3.12e-28,125.0,1.57e-28,125.0
3231,Astyanax_pachon,KAG9263867.1,ABAT,Drosophila_melanogaster,NP_001163479.1,GABAT,1.77e-154,544.0,1.16e-154,544.0
3749,Astyanax_pachon,KAG9264555.1,ABCA3,Drosophila_melanogaster,NP_001259764.1,ABCA3,0.0,1098.0,0.0,1098.0
18195,Astyanax_pachon,KAG9283635.1,ABCB1,Drosophila_melanogaster,NP_523740.3,MDR50,1.6300000000000001e-283,974.0,1.13e-283,974.0
12241,Astyanax_pachon,KAG9275465.1,ABCB10,Drosophila_melanogaster,NP_569844.2,CG3156,3.8499999999999997e-159,560.0,2.51e-159,560.0
5500,Astyanax_pachon,KAG9266695.1,ABCB11,Drosophila_melanogaster,NP_523724.2,MDR49,1.3300000000000002e-257,888.0,8.65e-258,888.0
2017,Astyanax_pachon,KAG9262305.1,ABCB6,Drosophila_melanogaster,NP_650503.1,HMT-1,6.629999999999999e-229,792.0,4.56e-229,792.0
9608,Astyanax_pachon,KAG9271887.1,ABCB7,Drosophila_melanogaster,NP_728642.2,ABCB7,3.45e-208,723.0,2.31e-208,723.0
12620,Astyanax_pachon,KAG9276103.1,ABCB8,Drosophila_melanogaster,NP_572810.1,CG1824,3.3999999999999998e-174,610.0,2.45e-174,610.0
3337,Astyanax_pachon,KAG9264022.1,ABCC1,Drosophila_melanogaster,NP_995691.1,MRP,0.0,1439.0,0.0,1439.0
5474,Astyanax_pachon,KAG9266673.1,ABCC10,Drosophila_melanogaster,NP_609207.1,CG7806,1.57e-254,878.0,1.01e-254,878.0
397,Astyanax_pachon,KAG9260121.1,ABCC2,Drosophila_melanogaster,NP_995704.1,MRP,0.0,1389.0,0.0,1389.0
6471,Astyanax_pachon,KAG9267770.1,ABCC3,Drosophila_melanogaster,NP_995692.1,MRP,0.0,1413.0,0.0,1413.0
14053,Astyanax_pachon,KAG9277872.1,ABCC4,Drosophila_melanogaster,NP_001245943.1,CG7627,0.0,1052.0,0.0,1052.0
8224,Astyanax_pachon,KAG9270062.1,ABCD1,Drosophila_melanogaster,NP_001245409.1,ABCD1,8.22e-190,662.0,5.23e-190,662.0
15829,Astyanax_pachon,KAG9280424.1,ABCD2,Drosophila_melanogaster,NP_001245409.1,ABCD1,3.8e-193,673.0,2.55e-193,673.0
12942,Astyanax_pachon,KAG9276507.1,ABCD3,Drosophila_melanogaster,NP_001259733.1,ABCD3,1.81e-215,747.0,1.19e-215,747.0
7589,Astyanax_pachon,KAG9269173.1,ABCE1,Drosophila_melanogaster,NP_648272.1,PIX,4.01e-278,955.0,2.75e-278,955.0
15137,Astyanax_pachon,KAG9279665.1,ABCF1,Drosophila_melanogaster,NP_001285130.1,CG1703,5.490000000000001e-200,696.0,3.7600000000000005e-200,696.0
11221,Astyanax_pachon,KAG9274082.1,ABCF2,Drosophila_melanogaster,NP_001285284.1,CG9281,1.71e-243,840.0,1.1399999999999999e-243,840.0
4095,Astyanax_pachon,KAG9265059.1,ABCG1,Drosophila_melanogaster,NP_001097078.1,ATET,2.4600000000000003e-179,627.0,2.01e-179,627.0
1990,Astyanax_pachon,KAG9262279.1,ABCG2,Drosophila_melanogaster,NP_476787.1,W,1.06e-70,266.0,7.940000000000001e-71,266.0
7027,Astyanax_pachon,KAG9268437.1,ABCG23,Drosophila_melanogaster,NP_001189305.1,SNU,3.14e-152,537.0,2.32e-152,537.0
4148,Astyanax_pachon,KAG9265125.1,ABCG4,Drosophila_melanogaster,NP_001097079.1,ATET,9.639999999999999e-176,615.0,8.389999999999999e-176,615.0
4562,Astyanax_pachon,KAG9265673.1,ABHD11,Drosophila_melanogaster,NP_001188553.1,CG2059,5.36e-43,173.0,3.5300000000000003e-43,173.0
7042,Astyanax_pachon,KAG9268445.1,ABHD12,Drosophila_melanogaster,NP_611397.1,CG15111,6.73e-64,243.0,3.8100000000000005e-64,243.0
9115,Astyanax_pachon,KAG9271157.1,ABHD13,Drosophila_melanogaster,NP_477372.1,BEM46,1.9000000000000001e-66,251.0,1.28e-66,251.0
12554,Astyanax_pachon,KAG9275963.1,ABHD16A,Drosophila_melanogaster,NP_647880.1,CG1309,2.09e-114,411.0,1.36e-114,411.0
8293,Astyanax_pachon,KAG9270143.1,ABHD17A,Drosophila_melanogaster,NP_001163719.1,CG33096,6.36e-115,412.0,3.7099999999999998e-115,412.0
1459,Astyanax_pachon,KAG9261509.1,ABHD17B,Drosophila_melanogaster,NP_001163719.1,CG33096,8.47e-120,428.0,5.66e-120,428.0
5378,Astyanax_pachon,KAG9266534.1,ABHD17C,Drosophila_melanogaster,NP_001163719.1,CG33096,3.4599999999999997e-119,426.0,2.26e-119,426.0
3171,Astyanax_pachon,KAG9263810.1,ABHD18,Drosophila_melanogaster,NP_001261779.1,CG32112,5.14e-125,446.0,3.85e-125,446.0
5356,Astyanax_pachon,KAG9266508.1,ABHD2A,Drosophila_melanogaster,NP_001245852.1,HYDR2,1.1e-87,322.0,6.380000000000001e-88,322.0
10015,Astyanax_pachon,KAG9272437.1,ABHD2B,Drosophila_melanogaster,NP_001245852.1,HYDR2,3.0399999999999997e-89,327.0,1.9999999999999997e-89,327.0
11622,Astyanax_pachon,KAG9274726.1,ABHD3,Drosophila_melanogaster,NP_001286229.1,HYDR1,1.31e-79,295.0,9.43e-80,295.0
12982,Astyanax_pachon,KAG9276528.1,ABHD5,Drosophila_melanogaster,NP_001286169.1,PUML,3.22e-90,330.0,2.84e-90,330.0
10899,Astyanax_pachon,KAG9273664.1,ABI1,Drosophila_melanogaster,NP_001247091.1,ABI,4.0999999999999995e-74,277.0,2.69e-74,277.0
15221,Astyanax_pachon,KAG9279776.1,ABITRAM,Drosophila_melanogaster,NP_650316.1,CG9288,3.47e-28,123.0,2.76e-28,123.0
17059,Astyanax_pachon,KAG9282076.1,ABR,Drosophila_melanogaster,NP_001284724.1,RHOGAP1A,1.76e-116,419.0,1.42e-116,419.0
12838,Astyanax_pachon,KAG9276383.1,ABRA,Drosophila_melanogaster,NP_647757.2,CG2113,4.4e-17,85.9,3.47e-17,85.9
8235,Astyanax_pachon,KAG9270068.1,ABT1,Drosophila_melanogaster,NP_727306.1,CG32708,1.38e-34,145.0,7.34e-35,145.0
16400,Astyanax_pachon,KAG9281136.1,ABTB2,Drosophila_melanogaster,NP_996142.1,CG43980,9.39e-152,536.0,8.08e-152,536.0
8137,Astyanax_pachon,KAG9269961.1,ACAA2,Drosophila_melanogaster,NP_523528.1,YIP2,2.9199999999999998e-126,450.0,1.88e-126,450.0
17008,Astyanax_pachon,KAG9281984.1,ACACA,Drosophila_melanogaster,NP_001097226.1,ACC,0.0,2796.0,0.0,2796.0
1490,Astyanax_pachon,KAG9261557.1,ACACB,Drosophila_melanogaster,NP_001097226.1,ACC,0.0,2761.0,0.0,2761.0
3867,Astyanax_pachon,KAG9264719.1,ACADM,Drosophila_melanogaster,NP_648149.1,MCAD,5.18e-172,602.0,3.46e-172,602.0
2407,Astyanax_pachon,KAG9262939.1,ACADS,Drosophila_melanogaster,NP_650840.1,ARC42,2.3e-153,540.0,1.54e-153,540.0
6246,Astyanax_pachon,KAG9267510.1,ACADSB,Drosophila_melanogaster,NP_649069.2,CG3902,2.2e-137,487.0,1.42e-137,487.0
11463,Astyanax_pachon,KAG9274413.1,ACADVL,Drosophila_melanogaster,NP_001286611.1,ACADVL,2.99e-189,660.0,1.7999999999999997e-189,660.0
5697,Astyanax_pachon,KAG9266921.1,ACAP2,Drosophila_melanogaster,NP_524458.1,CENB1A,8.31e-137,486.0,5.68e-137,486.0
732,Astyanax_pachon,KAG9260555.1,ACAP3,Drosophila_melanogaster,NP_524458.1,CENB1A,6.58e-142,503.0,4.33e-142,503.0
2602,Astyanax_pachon,KAG9263112.1,ACAT1,Drosophila_melanogaster,NP_001284987.1,ACAT1,2.5999999999999998e-141,500.0,1.72e-141,500.0
17660,Astyanax_pachon,KAG9282919.1,ACAT2,Drosophila_melanogaster,NP_612094.2,ACAT2,6.76e-130,462.0,4.51e-130,462.0
7056,Astyanax_pachon,KAG9268467.1,ACBD3,Drosophila_melanogaster,NP_001245766.1,CG14232,5.18e-72,270.0,3.47e-72,270.0
8343,Astyanax_pachon,KAG9270182.1,ACBD6,Drosophila_melanogaster,NP_001027085.1,ANOX,1.25e-16,85.1,8.03e-17,85.1
