,# Pachon.faa,a,Ast.faa,b ,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
14408,KAG9268760.1,BMP4,NP_001278181.1,BMP4,8.87e-239,825.0,2.46e-239,825.0
12519,KAG9267594.1,PYY,NP_001278182.1,PYYB,1.58e-49,194.0,5.24e-50,194.0
5068,KAG9262568.1,DLX2B,NP_001278183.1,DLX2B,1.37e-143,508.0,4.56e-144,508.0
21881,KAG9273628.1,SHHA,NP_001278184.1,SHHA,1.8400000000000002e-248,857.0,6.119999999999999e-249,857.0
18608,KAG9271450.1,DLX2A,NP_001278185.1,DLX2A,1.02e-151,535.0,3.38e-152,535.0
5907,KAG9263174.1,KAG9263174.1,NP_001278187.1,PER1A,0.0,2392.0,0.0,2392.0
20105,KAG9272431.1,CARTPT,NP_001278189.1,CART2,1.48e-51,201.0,4.8999999999999994e-52,201.0
11510,KAG9266946.1,RX1,NP_001278190.1,RX1,1.48e-183,641.0,5.02e-184,641.0
31974,KAG9280281.1,CRY1,NP_001278191.1,CRY1A,0.0,1285.0,0.0,1285.0
24398,KAG9275391.1,FGF8A,NP_001278192.1,FGF8A,2.81e-113,407.0,8.71e-114,407.0
19373,KAG9271990.1,PAX6A,NP_001278194.1,PAX6A,6.4e-241,832.0,2.09e-241,832.0
28440,KAG9277929.1,OPN3,NP_001278195.1,TMTOPS2A,3.21e-223,773.0,1.0700000000000002e-223,773.0
31091,KAG9279702.1,AZIN1,NP_001278958.1,AZIN1B,8.91e-255,878.0,2.9599999999999998e-255,878.0
37402,KAG9283801.1,AZIN1,NP_001278960.2,AZIN1A,4.37e-261,899.0,1.45e-261,899.0
19741,KAG9272228.1,KAG9272228.1,NP_001305672.1,CRYBA1L1,4.6099999999999997e-128,456.0,1.53e-128,456.0
19740,KAG9272227.1,CRYBB1,NP_001306892.1,CRYBB1L1,3.74e-133,473.0,1.24e-133,473.0
18422,KAG9271346.1,KAG9271346.1,NP_001306893.1,CRYL1,5.2000000000000005e-167,586.0,1.7000000000000002e-167,586.0
11454,KAG9266914.1,SOX2,NP_001306894.1,SOX2,3.26e-171,600.0,1.0799999999999999e-171,600.0
2435,KAG9260853.1,CRYGNB,NP_001307135.1,CRYBGX,1.9300000000000001e-121,434.0,6.4e-122,434.0
36027,KAG9282875.1,BMP2,NP_001307136.1,BMP2B,2.1e-236,817.0,6.48e-237,817.0
8545,KAG9264972.1,CRYBB1,NP_001307137.2,CRYBB1L3,7.24e-130,462.0,2.41e-130,462.0
