,Ast,a,a2,Mus,b,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
8007,Astyanax_mexicanus,XP_007236312.1,37104,Mus_musculus,NP_001304102.1,37104,0.0,1691.0,0.0,1691.0
32934,Astyanax_mexicanus,XP_007259890.2,37469,Mus_musculus,NP_694818.3,37469,0.0,1634.0,0.0,1634.0
18428,Astyanax_mexicanus,XP_007247932.1,38200,Mus_musculus,NP_694817.2,38200,0.0,1707.0,0.0,1707.0
82882,Astyanax_mexicanus,XP_049320795.1,A1CF,Mus_musculus,NP_001074543.1,A1CF,5.409999999999999e-274,943.0,3.3e-274,943.0
18595,Astyanax_mexicanus,XP_007248032.3,AAAS,Mus_musculus,NP_700465.2,AAAS,4.71e-153,541.0,3.13e-153,541.0
98207,Astyanax_mexicanus,XP_049326545.1,AACS,Mus_musculus,NP_084486.1,AACS,0.0,1079.0,0.0,1079.0
2990,Astyanax_mexicanus,XP_007230695.2,AADAC,Mus_musculus,NP_075872.1,AADAC,1.38e-105,383.0,8.34e-106,383.0
71103,Astyanax_mexicanus,XP_022538081.2,AADACL4,Mus_musculus,NP_001078972.1,AADACL3,2.77e-77,289.0,1.69e-77,289.0
9821,Astyanax_mexicanus,XP_007238466.3,AADAT,Mus_musculus,NP_035964.1,AADAT,7.14e-165,580.0,4.43e-165,580.0
20125,Astyanax_mexicanus,XP_007249213.2,AAGAB,Mus_musculus,NP_001344252.1,AAGAB,8.79e-102,370.0,5.41e-102,370.0
34785,Astyanax_mexicanus,XP_015457191.3,AAK1A,Mus_musculus,XP_036022044.1,AAK1,1.73e-254,879.0,1.22e-254,879.0
93111,Astyanax_mexicanus,XP_049324327.1,AAK1B,Mus_musculus,NP_808430.2,AAK1,6.020000000000001e-251,867.0,3.6800000000000004e-251,867.0
43244,Astyanax_mexicanus,XP_022521706.1,AAMDC,Mus_musculus,NP_899074.2,AAMDC,3.1499999999999998e-52,204.0,1.96e-52,204.0
59216,Astyanax_mexicanus,XP_022531319.1,AANAT1,Mus_musculus,NP_033721.1,AANAT,6.7499999999999995e-81,300.0,4.15e-81,300.0
