,Ast,a,a2,Homo,b,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
56189,Astyanax_pachon,KAG9283761.1,37104,Homo_sapiens,NP_001304051.1,37104,0.0,1691.0,0.0,1691.0
46726,Astyanax_pachon,KAG9279806.1,37469,Homo_sapiens,XP_054216272.1,37469,0.0,1641.0,0.0,1641.0
45899,Astyanax_pachon,KAG9279440.1,37834,Homo_sapiens,NP_079128.2,37834,0.0,1705.0,0.0,1705.0
46978,Astyanax_pachon,KAG9279911.1,38200,Homo_sapiens,NP_060099.2,38200,0.0,1718.0,0.0,1718.0
17947,Astyanax_pachon,KAG9267313.1,A1CF,Homo_sapiens,NP_001185747.1,A1CF,3.69e-271,934.0,5.53e-272,934.0
12377,Astyanax_pachon,KAG9265127.1,A2M,Homo_sapiens,NP_000005.3,A2M,4.67e-265,915.0,7.29e-266,915.0
26166,Astyanax_pachon,KAG9270539.1,A2ML1,Homo_sapiens,XP_054227172.1,A2ML1,7.79e-289,994.0,1.19e-289,994.0
25597,Astyanax_pachon,KAG9270290.1,AAAS,Homo_sapiens,NP_056480.1,AAAS,1.5500000000000001e-156,553.0,2.5400000000000003e-157,553.0
5806,Astyanax_pachon,KAG9262020.1,AACS,Homo_sapiens,NP_076417.2,AACS,0.0,1070.0,0.0,1070.0
44120,Astyanax_pachon,KAG9278495.1,AADAC,Homo_sapiens,NP_001077.2,AADAC,2.3299999999999997e-106,386.0,3.47e-107,386.0
1861,Astyanax_pachon,KAG9260313.1,AADACL3,Homo_sapiens,NP_001013652.1,AADACL4,3.77e-77,289.0,5.61e-78,289.0
35284,Astyanax_pachon,KAG9274554.1,AADAT,Homo_sapiens,NP_001273612.1,AADAT,2.37e-171,602.0,3.51e-172,602.0
32841,Astyanax_pachon,KAG9273193.1,AAGAB,Homo_sapiens,NP_078942.3,AAGAB,1.19e-101,370.0,1.8e-102,370.0
8575,Astyanax_pachon,KAG9263400.1,AAK1,Homo_sapiens,NP_055726.4,AAK1,1.08e-235,817.0,1.5099999999999999e-236,817.0
31749,Astyanax_pachon,KAG9272859.1,AAMDC,Homo_sapiens,NP_001303889.1,AAMDC,5.32e-53,207.0,8.13e-54,207.0
43368,Astyanax_pachon,KAG9277893.1,AAMP,Homo_sapiens,NP_001078.2,AAMP,1.01e-155,550.0,1.61e-156,550.0
42193,Astyanax_pachon,KAG9277449.1,AANAT,Homo_sapiens,NP_001079.1,AANAT,2.99e-76,285.0,4.56e-77,285.0
32789,Astyanax_pachon,KAG9273173.1,AARS1,Homo_sapiens,NP_001596.2,AARS1,0.0,1575.0,0.0,1575.0
4111,Astyanax_pachon,KAG9261187.1,AARS2,Homo_sapiens,NP_065796.2,AARS2,0.0,1067.0,0.0,1067.0
17963,Astyanax_pachon,KAG9267317.1,AARSD1,Homo_sapiens,NP_001248363.1,AARSD1,6.42e-154,544.0,9.81e-155,544.0
53601,Astyanax_pachon,KAG9282751.1,AASDH,Homo_sapiens,NP_001310819.1,AASDH,1.8e-184,647.0,2.6700000000000003e-185,647.0
12728,Astyanax_pachon,KAG9265290.1,AASDHPPT,Homo_sapiens,NP_056238.2,AASDHPPT,1.41e-96,353.0,2.31e-97,353.0
49825,Astyanax_pachon,KAG9280946.1,AASS,Homo_sapiens,NP_005754.2,AASS,0.0,1239.0,0.0,1239.0
51984,Astyanax_pachon,KAG9281985.1,AATF,Homo_sapiens,NP_036270.1,AATF,2.99e-133,476.0,3.93e-134,476.0
10827,Astyanax_pachon,KAG9264357.1,AATK,Homo_sapiens,NP_001073864.2,AATK,7.96e-239,828.0,1.0499999999999999e-239,828.0
9827,Astyanax_pachon,KAG9263867.1,ABAT,Homo_sapiens,NP_000654.2,ABAT,3.88e-213,741.0,5.92e-214,741.0
1227,Astyanax_pachon,KAG9260005.1,ABCA1,Homo_sapiens,NP_005493.2,ABCA1,0.0,3361.0,0.0,3361.0
5682,Astyanax_pachon,KAG9261960.1,ABCA2,Homo_sapiens,NP_001397971.1,ABCA2,0.0,3682.0,0.0,3682.0
11233,Astyanax_pachon,KAG9264555.1,ABCA3,Homo_sapiens,NP_001080.2,ABCA3,0.0,1999.0,0.0,1999.0
40521,Astyanax_pachon,KAG9276791.1,ABCA4,Homo_sapiens,NP_000341.2,ABCA4,0.0,2887.0,0.0,2887.0
19647,Astyanax_pachon,KAG9267981.1,ABCA5,Homo_sapiens,NP_061142.2,ABCA5,0.0,1637.0,0.0,1637.0
55929,Astyanax_pachon,KAG9283635.1,ABCB1,Homo_sapiens,NP_000918.2,ABCB1,0.0,1628.0,0.0,1628.0
37345,Astyanax_pachon,KAG9275465.1,ABCB10,Homo_sapiens,NP_036221.2,ABCB10,6.81e-245,847.0,1.08e-245,847.0
