Astyanax_ortologos,Symbol,ID_nuevo
KAG9265182.1,YWHAE,YWHAE
KAG9281675.1,YWHAE,YWHAE
KAG9268141.1,YWHAB,YWHAB
KAG9270337.1,YWHABA,YWHAB
KAG9275912.1,YWHABA,YWHAB
KAG9277942.1,YWHABA,YWHAB
KAG9282939.1,YWHABA,YWHAB
KAG9262031.1,HTR7,HTR7
KAG9265546.1,HTR1A-B,HTR7
KAG9268393.1,HTR7,HTR7
KAG9273664.1,ABI1,ABI1
KAG9276765.1,ABI1,ABI1
KAG9261319.1,ADCY9,ADCY9
KAG9276390.1,ADCY3,ADCY3
KAG9282289.1,ADCY3,ADCY3
KAG9260929.1,ADCY2,ADCY2
KAG9276173.1,ADCY2,ADCY2
KAG9279636.1,ADCY2,ADCY2
KAG9261557.1,ACACB,ACACB
KAG9281984.1,ACACA,ACACB
KAG9272871.1,BCHE,BCHE
KAG9277807.1,POU4F1,POU4F1
KAG9262281.1,ACTBA,ACTBA
KAG9272000.1,ACTC1,ACTBA
KAG9272884.1,ACTC1,ACTBA
KAG9279940.1,ACTBB,ACTBA
KAG9261115.1,ADARB1,ADARB1
KAG9271629.1,ADARB1,ADARB1
KAG9271964.1,ADA2A,ADA2A
KAG9275437.1,ADK,ADK
KAG9266502.1,CMTR2,CMTR2
KAG9261669.1,ALDH2,ALDH2
KAG9265137.1,ALDH3A2,ALDH3A2
KAG9265138.1,ALDH3A2,ALDH3A2
KAG9265768.1,ALDH3A2,ALDH3A2
KAG9279836.1,PDCD6IP,PDCD6IP
KAG9268120.1,ALK,ALK
KAG9268015.1,PPM1B,PPM1B
KAG9274956.1,PPM1A,PPM1B
KAG9275137.1,PPM1B,PPM1B
KAG9282816.1,PPM1A,PPM1B
KAG9281316.1,CTNNA1,CTNNA1
KAG9273927.1,COPA,COPA
KAG9266214.1,SPTAN1,SPTAN1
KAG9273414.1,KAG9273414.1,KAG9273414.1
KAG9262236.1,TUBA,TUBA
KAG9271578.1,KAG9271578.1,TUBA
KAG9274835.1,PCSK2,PCSK2
KAG9261029.1,ACE2,ACE2
KAG9280587.1,ETV6,ETV6
KAG9269975.1,LHX2,LHX2
KAG9267157.1,AP1G1,AP1G1
KAG9266679.1,AP1S2,AP1S2
KAG9269217.1,AP1S2,AP1S2
KAG9274258.1,AP1S1,AP1S2
KAG9267205.1,APH1B,APH1B
KAG9262175.1,APP,APP
KAG9261253.1,APRT,APRT
KAG9276910.1,NUDT3,NUDT3
KAG9280689.1,NUDT4B,NUDT3
KAG9267570.1,ARG1,ARG1
KAG9266499.1,ARIH1,ARIH1
KAG9273177.1,ARIH1,ARIH1
KAG9270906.1,ARIH2,ARIH2
KAG9263822.1,CTNNB1,CTNNB1
KAG9276534.1,CTNNB1,CTNNB1
KAG9272066.1,LRP5,LRP5
KAG9263926.1,CARM1,CARM1
KAG9280577.1,EPS8,EPS8
KAG9263020.1,ASH2L,ASH2L
KAG9274038.1,ASPH,ASPH
KAG9274997.1,ATE1,ATE1
KAG9265136.1,ULK2,ULK2
KAG9270505.1,ULK1,ULK2
KAG9268560.1,KAG9268560.1,KAG9268560.1
KAG9278476.1,ATG5,ATG5
KAG9267249.1,BECN1,BECN1
KAG9274238.1,GABARAP,GABARAP
KAG9281525.1,GABARAP,GABARAP
KAG9276102.1,ATG9A,ATG9A
KAG9277604.1,ATG9A,ATG9A
KAG9261263.1,ATL2,ATL2
KAG9275482.1,ATL1,ATL2
KAG9265345.1,KAG9265345.1,KAG9265345.1
KAG9262149.1,ATP1A1,ATP1A1
KAG9262152.1,ATP1A1,ATP1A1
KAG9262153.1,ATP1A1,ATP1A1
KAG9271125.1,ATP1A1,ATP1A1
KAG9275966.1,ATP1A3,ATP1A1
KAG9279334.1,ATP1A3,ATP1A1
KAG9264241.1,ACLY,ACLY
KAG9267434.1,ACLY,ACLY
KAG9261580.1,GAK,GAK
KAG9263277.1,LHX6,LHX6
KAG9278819.1,LHX8,LHX6
KAG9269034.1,CSAD,CSAD
KAG9260293.1,SRSF6,SRSF6
KAG9269869.1,SRSF6,SRSF6
KAG9274979.1,SRSF5,SRSF6
KAG9276696.1,TGFBR1,TGFBR1
KAG9277053.1,ACVR1B,TGFBR1
KAG9265855.1,BANF1,BANF1
KAG9282294.1,TMED10,TMED10
KAG9278225.1,KAG9278225.1,KAG9278225.1
KAG9261700.1,WDFY3,WDFY3
KAG9280325.1,MCAT,MCAT
KAG9271099.1,AN3,AN3
KAG9277887.1,AN3,AN3
KAG9262578.1,BEST2,BEST2
KAG9280517.1,BEST3,BEST2
KAG9272511.1,B4GALT7,B4GALT7
KAG9273797.1,COPB2,COPB2
KAG9268524.1,SPTBN1,SPTBN1
KAG9282119.1,SPTBN1,SPTBN1
KAG9262731.1,TUBB4B,TUBB4B
KAG9270469.1,KAG9270469.1,TUBB4B
KAG9272564.1,TUBB4B,TUBB4B
KAG9272950.1,TUBB3,TUBB4B
KAG9274781.1,TUBB2A,TUBB4B
KAG9275838.1,TUBB,TUBB4B
KAG9281792.1,TUBB4B,TUBB4B
