Model_nodos,NCBI_Product_accesion,Astyanax_ortologos,Symbol
ABCA1,XP_006537619.1,XP_022522959.2,ABCA1A
ABCA1,XP_006537619.1,XP_022522960.2,ABCA1A
ABCA1,XP_006537619.1,XP_022527820.2,ABCA1B
ABCA1,XP_006537619.1,XP_022527822.2,ABCA1B
ABCA1,XP_006537619.1,XP_022527823.2,ABCA1B
ABCA1,XP_006537619.1,XP_022527824.2,ABCA1B
ABCB11,NP_066302.2,XP_022525386.2,ABCB11B
ABCB1A,NP_035206.2,XP_049320497.1,ABCB4
ABCB1B,NP_035205.1,XP_049320497.1,ABCB4
ABCB4,NP_032856.2,XP_049320497.1,ABCB4
ABCC2,NP_038834.2,XP_049328050.1,LOC103027747
ABCG2,NP_001342406.1,XP_007234374.2,ABCG2D
ABCG2,NP_001342406.1,XP_022520165.1,ABCG2A
ABHD14A,XP_006511866.1,XP_007234506.1,ABHD14A
ABL2,NP_033725.2,XP_022526757.2,ABL2
ABL2,NP_033725.2,XP_022526758.2,ABL2
ABL2,NP_033725.2,XP_049341980.1,ABL2
ACACB,NP_001390456.1,XP_049326198.1,ACACB
ACACB,NP_001390456.1,XP_049326199.1,ACACB
ACACB,NP_001390456.1,XP_049326200.1,ACACB
ACACB,NP_001390456.1,XP_049326201.1,ACACB
ACACB,NP_001390456.1,XP_049326202.1,ACACB
ACACB,NP_001390456.1,XP_049326203.1,ACACB
ACACB,NP_001390456.1,XP_049326204.1,ACACB
ACACB,NP_001390456.1,XP_049326205.1,ACACB
ACACB,NP_001390456.1,XP_049326206.1,ACACB
ACADM,NP_031408.1,XP_007245171.1,ACADM
ACHE,NP_033729.1,XP_022534078.2,ACHE
ACHE,NP_033729.1,XP_022534079.2,ACHE
ACMSD,NP_001028213.1,XP_007232480.3,ACMSD
ACP5,NP_001095874.1,XP_007257220.1,ACP5A
ACP5,NP_001095874.1,XP_007257221.1,ACP5A
ACSBG1,NP_444408.1,XP_015460610.3,ACSBG1
ACSBG1,NP_444408.1,XP_022527921.2,ACSBG1
ACSL4,XP_030107239.1,XP_007247481.3,ACSL4A
ACSL4,XP_030107239.1,XP_007247482.3,ACSL4A
ACSL4,XP_030107239.1,XP_007247483.3,ACSL4A
ACSS1,NP_542142.1,XP_049319749.1,ACSS1
ACSS2,NP_062785.2,XP_022519238.2,ACSS2
ACSS2,NP_062785.2,XP_022519239.2,ACSS2
ACSS2,NP_062785.2,XP_022519240.2,ACSS2
ACTA1,NP_033736.1,XP_007235317.1,ACTC1A
ACTA1,NP_033736.1,XP_007238991.1,ACTA1A
ACTA1,NP_033736.1,XP_007248613.1,ACTA1B
ACTA1,NP_033736.1,XP_007252999.1,ACTC2
ACTA1,NP_033736.1,XP_015463524.1,ACTC1B
ACTA1,NP_033736.1,XP_022520514.1,ACTA2
ACTA1,NP_033736.1,XP_022535157.1,LOC103039206
ACTA1,NP_033736.1,XP_022539577.1,ACTE1
ACTA2,NP_031418.1,XP_007235317.1,ACTC1A
ACTA2,NP_031418.1,XP_007238991.1,ACTA1A
ACTA2,NP_031418.1,XP_007248613.1,ACTA1B
ACTA2,NP_031418.1,XP_007252999.1,ACTC2
ACTA2,NP_031418.1,XP_015463524.1,ACTC1B
ACTA2,NP_031418.1,XP_022520514.1,ACTA2
ACTA2,NP_031418.1,XP_022535157.1,LOC103039206
ACTA2,NP_031418.1,XP_022539577.1,ACTE1
ACTC1,NP_033738.1,XP_007235317.1,ACTC1A
ACTC1,NP_033738.1,XP_007238991.1,ACTA1A
ACTC1,NP_033738.1,XP_007248613.1,ACTA1B
ACTC1,NP_033738.1,XP_007252999.1,ACTC2
ACTC1,NP_033738.1,XP_015463524.1,ACTC1B
ACTC1,NP_033738.1,XP_022520514.1,ACTA2
ACTC1,NP_033738.1,XP_022535157.1,LOC103039206
ACTC1,NP_033738.1,XP_022539577.1,ACTE1
ACTG2,NP_033740.2,XP_007235317.1,ACTC1A
ACTG2,NP_033740.2,XP_007238991.1,ACTA1A
ACTG2,NP_033740.2,XP_007247883.1,ACTB2
ACTG2,NP_033740.2,XP_007248613.1,ACTA1B
ACTG2,NP_033740.2,XP_007252999.1,ACTC2
ACTG2,NP_033740.2,XP_007260329.1,ACTB1
ACTG2,NP_033740.2,XP_015463524.1,ACTC1B
ACTG2,NP_033740.2,XP_022520514.1,ACTA2
ACTG2,NP_033740.2,XP_022535157.1,LOC103039206
ACTG2,NP_033740.2,XP_022539577.1,ACTE1
ADAM12,NP_031426.2,XP_022528278.2,ADAM12B
ADAM12,NP_031426.2,XP_022528279.2,ADAM12B
ADAM12,NP_031426.2,XP_049320339.1,LOC103040611
ADAM12,NP_031426.2,XP_049320340.1,LOC103040611
ADAM8,NP_001277995.1,XP_007248635.3,ADAM8A
ADCYAP1R1,XP_006505451.1,XP_022531576.2,ADCYAP1R1B
ADCYAP1R1,XP_006505451.1,XP_022534444.2,ADCYAP1R1A
ADD1,NP_001318011.1,XP_049322297.1,ADD1
ADD1,NP_001318011.1,XP_049322298.1,ADD1
ADD1,NP_001318011.1,XP_049322302.1,ADD1
ADD1,NP_001318011.1,XP_049322303.1,ADD1
ADD1,NP_001318011.1,XP_049322305.1,ADD1
ADD1,NP_001318011.1,XP_049322306.1,ADD1
ADD2,NP_038486.2,XP_022520402.2,ADD2
ADD2,NP_038486.2,XP_022520403.2,ADD2
ADIPOR1,NP_082596.2,XP_007231740.3,ADIPOR1B
ADIPOR1,NP_082596.2,XP_049327662.1,ADIPOR1A
ADIPOR1,NP_082596.2,XP_049327663.1,ADIPOR1A
ADIPOR1,NP_082596.2,XP_049327664.1,ADIPOR1A
ADORA2A,NP_001318025.1,XP_007233964.1,ADORA2AB
ADRA2B,NP_033763.3,XP_007234270.2,ADRA2B
AEBP2,NP_033767.2,XP_007256049.2,AEBP2
AGRP,NP_001258735.1,XP_049327118.1,LOC103047890
AGT,NP_031454.4,XP_007256132.3,AGT
AICDA,NP_033775.1,XP_022529054.2,AICDA
AIRE,NP_001258484.1,XP_049322875.1,AIRE
AKAP12,NP_112462.1,XP_022518862.2,AKAP12B
AKAP12,NP_112462.1,XP_022518869.2,AKAP12B
AKIP1,NP_065641.1,XP_015461272.3,AKIP1
AKIP1,NP_065641.1,XP_015461273.3,AKIP1
AKR1B7,NP_033861.2,XP_007230739.3,LOC125780396
AKR1B7,NP_033861.2,XP_022527461.2,AKR1B1.2
AKR1B8,NP_032038.1,XP_007230739.3,LOC125780396
AKR1B8,NP_032038.1,XP_022527461.2,AKR1B1.2
AKR1B8,NP_032038.1,XP_049330983.1,LOC103040561
AKR1B8,NP_032038.1,XP_049330984.1,LOC103040561
ALOX5,NP_033792.1,XP_007240343.3,ALOX5A
ALPL,XP_017175413.1,XP_022538195.2,ALPL
ALPL,XP_017175413.1,XP_049327776.1,ALPL
ALX1,NP_001408403.1,XP_007249311.2,ALX1
ALX3,NP_031467.1,XP_022526771.2,ALX3
ALX4,NP_031468.1,XP_007232960.1,ALX4A
AMPD1,NP_001028475.2,XP_022526324.2,AMPD1
AMPD1,NP_001028475.2,XP_049342175.1,AMPD1
ANGPT2,NP_031452.2,XP_022540932.2,ANGPT2A
ANGPTL2,NP_036053.2,XP_007248039.3,ANGPTL2B
ANGPTL2,NP_036053.2,XP_015460995.3,ANGPTL2B
ANGPTL2,NP_036053.2,XP_049330775.1,ANGPTL2A
ANKRD1,NP_038496.2,XP_049319898.1,ANKRD1A
ANPEP,XP_036008613.1,XP_022525607.2,LOC103045941
ANPEP,XP_036008613.1,XP_022525610.1,ANPEPA
ANPEP,XP_036008613.1,XP_022539693.2,ANPEPB.1
APAF1,XP_036011453.1,XP_007245039.3,APAF1
APAF1,XP_036011453.1,XP_049330251.1,APAF1
APBB1,NP_001398887.1,XP_022537011.2,APBB1
APBB1,NP_001398887.1,XP_049324732.1,APBB1
APLP1,NP_031493.2,XP_007232595.2,APLP1
APLP1,NP_031493.2,XP_007232596.2,APLP1
ARID3A,NP_001275554.1,XP_007240305.1,ARID3A
ARID3B,NP_001366282.1,XP_007246657.2,ARID3B
ARID5B,NP_076087.2,XP_022524920.2,ARID5B
